Orthogroup	Cardamine_hirsuta	Brassica_rapa
OG0000000	CARHR219390	XP_009117155.1
OG0000000	CARHR219900, CARHR034550	XP_009123079.1
OG0000000	CARHR228880, CARHR142010	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1
OG0000000	CARHR153350	XP_033138224.1, XP_009144626.1, XP_033130110.1, XP_033129351.1, XP_009117187.1, XP_009129274.1, XP_033139897.1
OG0000007	CARHR258710	XP_033140542.1
OG0000007	CARHR182520	XP_009124768.1
OG0000007	CARHR266890	XP_033131877.1
OG0000007	CARHR286510	XP_033131629.1
OG0000007	CARHR051840	XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1
OG0000008	CARHR183140	XP_033145226.1
OG0000008	CARHR215010	XP_033131033.1, XP_033133054.1, XP_033128088.1, XP_033137451.1
OG0000008	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350	XP_009115858.3
OG0000008	CARHR103530	XP_033138353.1
OG0000008	CARHR259120	XP_033131793.1
OG0000008	CARHR119350, CARHR214330, CARHR286130, CARHR178960	XP_033131838.1
OG0000009	CARHR114650	XP_009109961.2, XP_033148561.1, XP_009139324.1
OG0000009	CARHR153540, CARHR055780	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1
OG0000011	CARHR259400	XP_033140208.1, XP_033129445.1, XP_033136844.1, XP_033130854.1, XP_033144009.1, XP_033128807.1
OG0000012	CARHR032700	XP_009150017.2
OG0000014	CARHR287490	XP_033138986.1
OG0000015	CARHR258200, CARHR258330	XP_009113103.2, XP_033138269.1, XP_033136397.1, XP_033137014.1
OG0000015	CARHR110600	XP_018509062.1, XP_009118914.1, XP_033143221.1, XP_009145186.1, XP_009105628.1, XP_009107707.1
OG0000020	CARHR113350, CARHR034150, CARHR049310	XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1
OG0000021	CARHR146600	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000022	CARHR234420	XP_009142868.1
OG0000022	CARHR196550	XP_009121467.1
OG0000022	CARHR049170	XP_009112698.1
OG0000022	CARHR045470, CARHR051030, CARHR048220, CARHR049120	XP_009112701.1
OG0000022	CARHR013000	XP_033134453.1
OG0000022	CARHR046360, CARHR046370	XP_009112843.1
OG0000022	CARHR213210	XP_009140073.1
OG0000022	CARHR091960	XP_009114567.1
OG0000024	CARHR030400	XP_033133295.1
OG0000024	CARHR062310	XP_009144063.2, XP_018514372.2, XP_033148397.1
OG0000024	CARHR168020, CARHR167830	XP_009116539.1
OG0000024	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	XP_033132209.1
OG0000025	CARHR288360	XP_033129969.1
OG0000026	CARHR104160	XP_033135950.1, XP_033148527.1, XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1, XP_033148607.1, XP_033135946.1, XP_033141290.1
OG0000027	CARHR255040	XP_033142038.1
OG0000027	CARHR255010, CARHR263990, CARHR255060, CARHR254990	XP_033142132.1
OG0000027	CARHR057450	XP_009136778.1, XP_009136797.2
OG0000027	CARHR230660	XP_033143898.1
OG0000027	CARHR230630	XP_009137329.1
OG0000027	CARHR230460	XP_033143991.1
OG0000027	CARHR230450	XP_009136911.1
OG0000027	CARHR230510	XP_033132923.1
OG0000027	CARHR230500	XP_009108600.1
OG0000027	CARHR230400, CARHR230390	XP_033144191.1
OG0000027	CARHR254870	XP_009108162.1
OG0000027	CARHR230440	XP_009136791.2
OG0000027	CARHR230580	XP_009137330.1
OG0000028	CARHR220000, CARHR100780	XP_009101849.2, XP_033129787.1, XP_033138374.1
OG0000028	CARHR030090, CARHR289310	XP_033132412.1, XP_033132404.1, XP_009107001.1
OG0000028	CARHR267520, CARHR267660	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1
OG0000028	CARHR242050	XP_009148196.2
OG0000028	CARHR244240	XP_018509211.2
OG0000028	CARHR267700	XP_033140827.1, XP_033140822.1
OG0000029	CARHR116610, CARHR153140	XP_009150036.1
OG0000030	CARHR134370	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000030	CARHR025790, CARHR162370, CARHR260760, CARHR260790	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	CARHR158520, CARHR158510, CARHR158530	XP_033148474.1
OG0000030	CARHR088860, CARHR095910, CARHR026350	XP_018510426.1
OG0000032	CARHR289940	XP_033134461.1
OG0000032	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880	XP_033143621.1
OG0000034	CARHR230270, CARHR230290	XP_009137321.1, XP_009136929.1
OG0000034	CARHR230240	XP_033135404.1
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	XP_009137188.1
OG0000034	CARHR289950	XP_009134716.1
OG0000034	CARHR106160	XP_009128507.1
OG0000034	CARHR230230, CARHR230200	XP_009137317.1, XP_009108599.1
OG0000034	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650	XP_033143795.1
OG0000035	CARHR034500, CARHR120350, CARHR104490	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1
OG0000038	CARHR187570	XP_018509044.1
OG0000038	CARHR259820	XP_018509951.1, XP_009102769.1
OG0000042	CARHR116060, CARHR260310	XP_009108258.2
OG0000044	CARHR175840, CARHR175230	XP_033128241.1
OG0000044	CARHR292230	XP_018510070.1
OG0000044	CARHR175260	XP_033136809.1
OG0000044	CARHR174840	XP_018512047.1, XP_009134864.2
OG0000044	CARHR222980, CARHR290490, CARHR223500	XP_009136811.1
OG0000047	CARHR257880	XP_009120239.1, XP_033134307.1, XP_033131812.1, XP_009124182.2, XP_009114455.1, XP_033131802.1, XP_009123813.1, XP_009123814.2, XP_009123579.2, XP_033129374.1, XP_033134308.1, XP_009123766.1, XP_033148540.1, XP_009145112.2, XP_033134303.1, XP_033134289.1, XP_009123343.2, XP_009124453.2, XP_009144635.1, XP_018511422.1, XP_033143388.1, XP_033134290.1, XP_033129373.1, XP_033134312.1, XP_033134310.1, XP_033145294.1, XP_009123666.1
OG0000048	CARHR054750	XP_009125775.1
OG0000048	CARHR125110	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033148635.1, XP_033147829.1, XP_033146958.1, XP_009142442.1
OG0000048	CARHR125800	XP_033147664.1
OG0000050	CARHR154060	XP_033128725.1
OG0000050	CARHR071180, CARHR153550	XP_018509860.1, XP_009144631.1, XP_033148671.1, XP_009125369.1, XP_033136840.1, XP_009133671.1, XP_009105612.1
OG0000051	CARHR002800	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000051	CARHR109310	XP_018514205.1, XP_009113199.1
OG0000051	CARHR256260	XP_009142068.2
OG0000051	CARHR137540	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1
OG0000052	CARHR148060	XP_009152006.1
OG0000052	CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860	XP_033139477.1, XP_033135650.1
OG0000052	CARHR162490, CARHR162550	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1
OG0000052	CARHR162520, CARHR162530, CARHR292090	XP_033146405.1
OG0000054	CARHR259190	XP_033138761.1
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	CARHR094260, CARHR107830, CARHR149830, CARHR108270	XP_033143242.1
OG0000055	CARHR149840	XP_009134817.1
OG0000055	CARHR111010	XP_033128815.1
OG0000056	CARHR155600	XP_009112692.1, XP_009113075.1, XP_009149950.1
OG0000059	CARHR044830	XP_033134217.1
OG0000059	CARHR293330, CARHR148640, CARHR151940, CARHR118340	XP_033143368.1, XP_033129455.1, XP_033134209.1, XP_033128794.1, XP_033131162.1, XP_033139340.1, XP_009139344.2
OG0000059	CARHR286550, CARHR102470, CARHR152130	XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1
OG0000061	CARHR270010	XP_009133988.1
OG0000061	CARHR039590	XP_033137465.1
OG0000061	CARHR098800, CARHR037540	XP_009128582.1
