Cardamine_amara	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
evm.model.RL_1.1	419	AT5G01960.1	AT5G01960.1	orthologue	GO:1904294;GO:0061630;GO:0005575;GO:0008270;GO:0016020	RING/U-box superfamily protein
evm.model.RL_1.10	219	AT3G02070.1	AT3G02070.1	orthologue	GO:0005737;GO:0004843;GO:0005886;GO:0006508;GO:0016579	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 12 (OTU domain-containing protein 12) (EC 3.4.19.12) (Deubiquitinating enzyme OTU12)
evm.model.RL_1.100	134	AT3G01230.1, AT3G01240.1	AT3G01230.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0009507	Splicing regulatory glutamine/lysine-rich-like protein (T4P13.7 protein);Splicing regulatory glutamine/lysine-rich-like protein (T4P13.8 protein)
evm.model.RL_1.1000	363	AT3G10880.1	AT3G10880.1	orthologue	GO:0005886;GO:0003674;GO:0005737;;GO:0005200;GO:0005856	Tropomyosin
evm.model.RL_1.1001	416	AT3G10900.1, AT3G30540.1, AT3G10890.1	AT3G10890.1	orthologue	GO:0003674;GO:0008150;GO:0005576;GO:0016985;GO:0071585;GO:0048046;GO:0046686;GO:0000272;GO:0004553	Mannan endo-1,4-beta-mannosidase 3 (EC 3.2.1.78) (Beta-mannanase 3) (Endo-beta-1,4-mannanase 3) (AtMAN3);Putative mannan endo-1,4-beta-mannosidase 4 (EC 3.2.1.78) (Beta-mannanase 4) (Endo-beta-1,4-mannanase 4) (AtMAN4);Putative mannan endo-1,4-beta-mannosidase P (EC 3.2.1.78) (Beta-mannanase P) (Endo-beta-1,4-mannanase P) (AtMANP)
evm.model.RL_1.1002	183	AT3G10910.1	AT3G10910.1	orthologue	GO:0016567;GO:0048481;GO:0061630;GO:0005515;GO:0005634;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL72 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL72)
evm.model.RL_1.1003.2.687c87ec	288	AT3G10915.7	AT3G10915.7	orthologue	GO:0005634;GO:0003674;GO:0005789;GO:0009617	Reticulon-like protein;Reticulon-like protein B16 (AtRTNLB16)
evm.model.RL_1.1004	231	AT3G10920.1	AT3G10920.1	orthologue	GO:0019430;GO:0005829;GO:0005739;GO:0004784;GO:0005507;GO:0009793;GO:0030145;GO:0046872;GO:0010043;GO:0005759;GO:0006801	Superoxide dismutase (EC 1.15.1.1);Superoxide dismutase [Mn] 1, mitochondrial (EC 1.15.1.1) (Protein MANGANESE SUPEROXIDE DISMUTASE 1) (AtMSD1) (Protein MATERNAL EFFECT EMBRYO ARREST 33)
evm.model.RL_1.1005	100	AT5G05300.1	AT5G05300.1	other	GO:0009507;GO:0003674;GO:0009651;GO:0042742;GO:0042542;GO:0045088	Gb|AAF01528.1
evm.model.RL_1.1006.1.687c87ec	314	AT3G10940.1	AT3G10940.1	orthologue	GO:0009507;GO:0005737;GO:0050308;GO:2001070;GO:0005983;GO:0019203;GO:0004721;GO:0006470;GO:0046838;GO:0016311	Phosphoglucan phosphatase LSF2, chloroplastic (EC 3.1.3.-) (Phosphoglucan phosphatase like sex Four2) (Protein LIKE SEX4 2)
evm.model.RL_1.1007	92	AT3G10950.1	AT3G10950.1	orthologue	GO:0022626;GO:0022625;GO:0005829;GO:0006412;GO:0003735;GO:0005737;GO:0003674;GO:0008270;GO:0005840	Large ribosomal subunit protein eL43z (Putative 60S ribosomal protein L37a-1)
