Odontarrhena_muralis	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Om001G000020	494	AT4G17150.1	AT4G17150.1	orthologue	GO:0005634;GO:0005737;GO:0003674	Alpha/beta-Hydrolases superfamily protein
Om001G000030	211	AT4G17170.1	AT4G17170.1	orthologue	GO:0005525;GO:0003924;GO:0016192;GO:0006888;GO:0000325;GO:0005737;GO:0005794;GO:0005622;GO:0005886;GO:0015031	Ras-related protein RABB1c (AtRABB1c) (Ras-related protein Rab2A) (AtRab2A)
Om001G000040	479	AT4G17180.1	AT4G17180.1	orthologue	GO:0042973;GO:0005886;GO:0005975;GO:0006952;GO:0098552;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Om001G000050	517	AT4G17210.1	AT4G17210.1	orthologue	GO:0009904;GO:0005829;GO:0003674;GO:0009903;	Putative WEB family protein At4g17210
Om001G000060	490	AT4G17220.1	AT4G17220.1	orthologue	GO:0005874;GO:0008017;GO:0007010;GO:0005737;GO:0010051;GO:0009832;GO:0071555	Microtubule-associated protein 70-5 (AtMAP70-5) (70 kDa microtubule-associated protein 5)
Om001G000070	501	AT4G17230.1	AT4G17230.1	orthologue	GO:0005634;GO:0006355;GO:0003700;GO:0071456;GO:0009408;GO:0005737;GO:0043565	SCARECROW-like 13;Scarecrow-like protein 13 (AtSCL13) (GRAS family protein 24) (AtGRAS-24)
Om001G000080	294	AT4G17240.1	AT4G17240.1	orthologue	GO:0005575;GO:0003674	Structural maintenance of chromosomes protein
Om001G000090	350	AT4G17260.1	AT4G17260.1	orthologue	GO:0006089;GO:0009737;GO:0006090;GO:0005886;GO:0019752;GO:0005829;GO:0004459;GO:0009507;GO:0042867;GO:0005737;GO:0016616;GO:0003824;GO:0016491	L-lactate dehydrogenase (EC 1.1.1.27)
Om001G000100	343	AT4G17270.1	AT4G17270.1	orthologue	GO:0010494;GO:0043539;GO:0005829;GO:0035556;GO:0005737	Putative MO25-like protein At4g17270
Om001G000110	398	AT4G17280.1	AT4G17280.1	orthologue	GO:0003674;GO:0005576;GO:0016020;GO:0046872	Cytochrome b561 and DOMON domain-containing protein At4g17280 (Protein b561A.tha2)
Om001G000120	534	AT4G17300.2	AT4G17300.2	orthologue	GO:0006421;GO:0009507;GO:0005737;GO:0009570;GO:0048481;GO:0004816;GO:0005739;GO:0003677;GO:0005524;GO:0000166;GO:0004812;GO:0006418;GO:0003676	Asparagine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (AtNS1) (Protein OVULE ABORTION 8);asparagine--tRNA ligase (EC 6.1.1.22)
Om001G000130	1977	AT4G17330.1	AT4G17330.1	orthologue	GO:0005515;GO:0009506;GO:0005634;GO:0009651;GO:0009934;GO:0010468;GO:0071555;GO:1990841;GO:2000280	G2484-1 protein;Protein SWOLLEN 1 (Protein G2484-1) (AtG2484-1)
