Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006279031.1	121	AT5G13960.1	AT5G13960.1	other	GO:0044027;GO:0008327;GO:0042054;GO:0010428;GO:0005515;GO:0046974;GO:0008270;GO:0010385;GO:0005634;GO:0003690;GO:0018022;GO:0010429;GO:0000775;GO:0140947;GO:0032259	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4 (EC 2.1.1.-) (EC 2.1.1.367) (Histone H3-K9 methyltransferase 4) (H3-K9-HMTase 4) (Protein KRYPTONITE) (Protein SET DOMAIN GROUP 33) (Suppressor of variegation 3-9 homolog protein 4) (Su(var)3-9 homolog protein 4);Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4-like protein
XP_006279032.1	117	AT3G21110.1	AT3G21110.1	orthologue	GO:0009570;GO:0009507;GO:0006164;GO:0006189;GO:0004639;GO:0009733;GO:0005524;GO:0005737	Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic (EC 6.3.2.6) (SAICAR synthetase)
XP_006279034.1	131				GO:0006508;GO:0008234	
XP_006279037.1	293	AT1G35340.1	AT1G35340.1	orthologue	GO:0009507;GO:0005634;GO:0003674;GO:0006508;GO:0008233	ATP-dependent protease La (LON) domain protein;ATP-dependent protease La (LON) domain protein (At1g35340)
XP_006279039.2	297	AT1G09650.1, AT1G11270.1, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1, AT5G16285.1	AT1G11270.1	other	GO:0003674;GO:0005634;GO:0010286;GO:0008150;GO:0005575;GO:0009789;GO:0005515;GO:0050821;GO:0031146;GO:0004842;GO:0005739	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g11270;F-box protein At2g34280;F-box protein At5g10340;F-box/LRR-repeat/kelch-repeat protein At1g09650;Putative F-box protein At5g16285
XP_006279040.1	168	AT2G27340.2, AT3G58130.1	AT3G58130.1	orthologue	GO:0005576;GO:0006506;GO:0000225;GO:0005783;GO:0005739;GO:0016020;GO:0016811	N-acetylglucosaminylphosphatidylinositol deacetylase (EC 3.5.1.89)
XP_006279042.2	75	AT3G44280.1	AT3G44280.1	other	GO:0005575;GO:0003674;GO:0016853	Peptidyl-prolyl cis-trans isomerase G
XP_006279044.2	343	AT3G14040.1, AT3G07850.1	AT3G14040.1	orthologue	GO:0004650;GO:0005975;GO:0005576;GO:0047911;GO:0016829;GO:0071555	Exopolygalacturonase clone GBGA483 (ExoPG) (EC 3.2.1.67) (Galacturan 1,4-alpha-galacturonidase) (Pectinase);Pectin lyase-like superfamily protein (Polygalacturonase pectinase)
XP_006279047.1	317	AT3G49610.1	AT3G49610.1	orthologue	GO:0008150;GO:0003674;GO:0005634;GO:0003677	Putative B3 domain-containing protein At3g49610
XP_006279048.2	255	AT3G49601.1	AT3G49601.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005681;GO:0006397;GO:0008380	Pre-mRNA-splicing factor
XP_006279050.2	824	AT1G09040.1, AT1G09050.1	AT1G09040.1	orthologue	GO:0000118;GO:0005634;GO:0005515;GO:0003714;GO:0008150	Arginine-glutamic acid dipeptide repeat protein
XP_006279053.2	224	AT1G66300.1, AT1G66310.1, AT1G66290.1, AT1G66320.1, AT1G66640.1	AT1G66310.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0005515;	F-box/RNI-like/FBD-like domains-containing protein;FBD-associated F-box protein At1g66310;FBD-associated F-box protein At1g66320;Putative F-box/FBD/LRR-repeat protein At1g66290;Putative F-box/FBD/LRR-repeat protein At1g66300;RNI-like superfamily protein
