Arabidopsis_lyrata_Rawat	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
AL1007U10010	810				GO:0003676;GO:0008270	
AL1008U10010	252	AT5G42830.1	AT5G42830.1	other	GO:0003674;GO:0016747;GO:0005737	HXXXD-type acyl-transferase family protein (N-hydroxycinnamoyl/benzoyltransferase-like protein)
AL100U10010	556	AT2G39210.1	AT2G39210.1	orthologue	GO:0022857;GO:0099587;GO:0009507;GO:0016020;GO:0002239;GO:0009506;GO:0005886	At2g39210/T16B24.15 (Major facilitator superfamily protein) (Nodulin-like protein)
AL1010U10010	213	AT5G58730.1	AT5G58730.1	other	GO:0010264;GO:0005575;GO:0019140;GO:0005524	Inositol 3-kinase (EC 2.7.1.64) (Myo-inositol kinase) (AtMIK)
AL1010U10020	95	AT5G58720.1	AT5G58720.1	orthologue	GO:0005634;GO:0003674;GO:0005737;;GO:0005515	SMR domain-containing protein At5g58720 (PRL1-interacting protein PIPC);Smr (Small MutS Related) domain-containing protein
AL1014U10010	45					
AL1017U10010	302	AT3G22250.1	AT3G22250.1	other	GO:0016757;GO:0005575;GO:0035251;GO:0008194	UDP-glycosyltransferase 82A1 (EC 2.4.1.-)
AL1019U10010	148					
AL1025U10010	107					
AL1031U10010	213					
AL1031U10020	188	AT5G66990.1	AT5G66990.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0003677	Protein RKD3 (AtRKD3) (RWP-RK domain-containing protein 3)
AL1032U10010	156	AT1G80340.1	AT1G80340.1	other	GO:0009686;GO:0016707;GO:0010114;GO:0005515;GO:0009845;GO:0009639;GO:0009416;GO:0009507;GO:0046872	Gibberellin 3-beta-dioxygenase 2 (EC 1.14.11.15) (GA 3-oxidase 2) (AtGA3ox2) (Gibberellin 3 beta-hydroxylase 2) (Protein GA4 homolog)
AL1033U10020	237	AT1G78480.1	AT1G78480.1	other	GO:0016104;GO:0005811;GO:0009507;GO:0003674;GO:0016020;GO:0042300;GO:0016866	F3F9.1 (Prenyltransferase family protein)
AL103U10010	694				GO:0003677;GO:0046983	
AL103U10020	563	AT2G32120.1	AT2G32120.1	orthologue	GO:0009408;GO:0042026;GO:0006457;GO:0031072;GO:0051085;GO:0005737;GO:0140662;GO:0016887;GO:0044183;GO:0005524	Heat shock 70 kDa protein 8 (Heat shock protein 70-8) (AtHsp70-8) (Heat-shock protein 70T-2)
AL103U10030	274	AT2G32100.1	AT2G32100.1	orthologue	GO:0045892;GO:0005634;GO:0003674	Transcription repressor OFP16 (Ovate family protein 16) (AtOFP16)
AL103U10040	135	AT2G32090.1	AT2G32090.1	orthologue	GO:0003674;GO:0005739;GO:0005829;GO:0005783;GO:0016829	At2g32090/F22D22.16 (Expressed protein) (Lactoylglutathione lyase / glyoxalase I family protein);Lactoylglutathione lyase / glyoxalase I family protein
AL103U10050	286	AT2G32080.1	AT2G32080.1	orthologue	GO:0032422;GO:0003729;GO:0000977;GO:0000981;GO:0005634;GO:0006357;GO:0005777;GO:0005737	Transcription factor Pur-alpha 1 (Purine-rich single-stranded DNA-binding protein alpha 1)
AL103U10060	252	AT2G32070.1	AT2G32070.1	orthologue	GO:0030014;GO:0005634;GO:0004535;GO:0000932;GO:0000288;GO:0005515;GO:0030015;GO:0003723;GO:0005737;GO:0046872;GO:0003676	Probable CCR4-associated factor 1 homolog 7 (EC 3.1.13.4)
AL1040U10010	114	AT1G80620.1	AT1G80620.1	other	GO:0003735;GO:0006412;GO:0009507;GO:0005840;GO:0009536;GO:1990904	Small ribosomal subunit protein uS15c (30S ribosomal protein S15, chloroplastic)
AL1041U10010	69	AT5G61590.1	AT5G61590.1	orthologue	GO:0000976;GO:0006355;GO:0009414;GO:0005634;GO:1904277;GO:0003700;GO:0045893;GO:0019760;GO:0009873	Ethylene-responsive transcription factor ERF107
AL1046U10010	143	AT3G53690.1	AT3G53690.1	other	GO:0000151;GO:0031624;GO:0008270;GO:0004842;GO:0005737;GO:0016567;GO:0006511;GO:0061630	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
AL1048U10010	655	AT1G72270.1	AT1G72270.1	other	GO:0000466;GO:0005634;GO:0000463;GO:0005515;GO:0000123;GO:0005730;GO:0005739	Nucleolar pre-ribosomal-associated protein
AL1058U10010	190				GO:0016491;GO:0006631;GO:0070403	
AL1061U10010	338				GO:0003723;GO:0003735;GO:0005840;GO:0006412	
AL1069U10010	409				GO:0005794;GO:0006810;GO:0016020;GO:0003676;GO:0004523	
AL106U10010	511	AT1G71890.1	AT1G71890.1	orthologue	GO:0015770;GO:0048316;GO:0005985;GO:0005886;GO:0005737;GO:0015225;GO:0008515;GO:0005773;GO:0008506;GO:0009506;GO:0015293;GO:0016020	Sucrose transport protein SUC5 (AtSUC5) (Sucrose permease 5) (Sucrose-proton symporter 5)
AL106U10020	258	AT1G71900.2	AT1G71900.2	other	GO:0016020;GO:0015095;GO:0015693;GO:0005769;GO:0005886	Probable magnesium transporter;Probable magnesium transporter NIPA4
AL106U10030	115	AT1G71910.1	AT1G71910.1	orthologue	GO:0003674;GO:0009507	At1g71910
AL1072U10010	357	AT5G54190.1	AT5G54190.1	orthologue	GO:0009507;GO:0009640;GO:0009723;GO:0005515;GO:0009647;GO:0016630;GO:0015995;GO:0003729;GO:0009534;GO:0009941;GO:0015979	Protochlorophyllide reductase A, chloroplastic (PCR A) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase A) (POR A)
AL1084U10010	142	AT4G02740.2	AT4G02740.2	other	GO:0005515;GO:0005634;GO:0031146;GO:0016567;GO:0019005	F-box protein SKIP17 (SKP1-interacting partner 17);F-box/RNI-like superfamily protein
