Conringia_planisiliqua	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CP100_g56182_DN3_SP0_c.t1	68	AT4G35620.1	AT4G35620.1	other	GO:0005515;GO:0044772;GO:0000082;GO:0005815;GO:0005634;GO:0000307;GO:0016538;GO:0005737;GO:0051301	Cyclin B22;Cyclin-B2-2 (Cyc2b-At) (Cyclin-2b) (G2/mitotic-specific cyclin-B2-2) (CycB2;2)
CP100_g56183_DN3_SP0_c.t1	350	AT5G38690.1	AT5G38690.1	orthologue	GO:0005634;GO:0006355;GO:0031010;GO:0005515;GO:0005737;GO:0008270	AT5g38690/MBB18_24 (Zinc-finger domain of monoamine-oxidase A repressor R1 protein)
CP100_g56184_DN3_SP0_c.t1	187	AT5G38690.1	AT5G38690.1	orthologue	GO:0005634;GO:0006355;GO:0031010;GO:0005515;GO:0005737;GO:0008270	AT5g38690/MBB18_24 (Zinc-finger domain of monoamine-oxidase A repressor R1 protein)
CP100_g56185_DN3_SP0_c.t1	231	AT5G38690.1	AT5G38690.1	orthologue	GO:0005634;GO:0006355;GO:0031010;GO:0005515;GO:0005737;GO:0008270	AT5g38690/MBB18_24 (Zinc-finger domain of monoamine-oxidase A repressor R1 protein)
CP100_g56187_DN2_SP0_c.t1	79					
CP100_g56188_DN3_SP0_c.t1	147	AT5G38690.1	AT5G38690.1	orthologue	GO:0005634;GO:0006355;GO:0031010;GO:0005515;GO:0005737;GO:0008270	AT5g38690/MBB18_24 (Zinc-finger domain of monoamine-oxidase A repressor R1 protein)
CP100_g56189_DN2_SP0_c.t1	229	AT5G38690.1	AT5G38690.1	orthologue	GO:0005634;GO:0006355;GO:0031010;GO:0005515;GO:0005737;GO:0008270	AT5g38690/MBB18_24 (Zinc-finger domain of monoamine-oxidase A repressor R1 protein)
CP100_g56190_DN3_SP0_c.t1	139	AT5G38690.1	AT5G38690.1	orthologue	GO:0005634;GO:0006355;GO:0031010;GO:0005515;GO:0005737;GO:0008270	AT5g38690/MBB18_24 (Zinc-finger domain of monoamine-oxidase A repressor R1 protein)
CP100_g56191_DN1_SP0_c.t1	120	AT5G38690.1	AT5G38690.1	orthologue	GO:0005634;GO:0006355;GO:0031010;GO:0005515;GO:0005737;GO:0008270	AT5g38690/MBB18_24 (Zinc-finger domain of monoamine-oxidase A repressor R1 protein)
CP100_g56192_DN3_SP0_c.t1	125	AT5G38690.1	AT5G38690.1	orthologue	GO:0005634;GO:0006355;GO:0031010;GO:0005515;GO:0005737;GO:0008270	AT5g38690/MBB18_24 (Zinc-finger domain of monoamine-oxidase A repressor R1 protein)
CP102_g10406_DN2_SP0_c.t1	118					
CP102_g10409_DN2_SP0_c.t1	264					
CP102_g10410_DN2_SP0_c.t1	196					
CP102_g10411_DN1_SP0_c.t1	105					
CP102_g10412_DN3_SP0_c.t1	223				GO:0005515	
CP103_g20999_DN1_SP0_p.t1	264					
CP103_g21003_DN2_SP0_c.t1	133	AT2G07240.1	AT2G07240.1	other	GO:0006508;GO:0008234;GO:0005575	Cysteine-type peptidase
CP103_g21005_DN3_SP0_c.t1	213					
CP103_g21006_DN2_SP0_c.t1	81					
CP103_g21007_DN1_SP0_c.t1	83					
CP103_g21008_DN1_SP0_c.t1	63					
CP103_g21009_DN2_SP0_c.t1	104					
CP103_g21011_DN2_SP0_c.t1	118					
CP103_g21014_DN1_SP0_c.t1	137					
CP103_g21015_DN2_SP0_c.t1	264					
CP103_g21016_DN3_SP0_c.t1	272					
CP103_g21017_DN2_SP0_c.t1	223				GO:0005515	
CP104_g20828_DN1_SP0_p.t1	111					
CP104_g20836_DN2_SP0_c.t1	76					
CP104_g20837_DN2_SP0_c.t1	80					
CP104_g20848_DN1_SP0_c.t1	105					
CP104_g20849_DN3_SP0_c.t1	172					
CP104_g20850_DN1_SP0_c.t1	74					
CP104_g20851_DN1_SP0_c.t1	103					
CP104_g20852_DN3_SP0_c.t1	67					
CP104_g20853_DN1_SP0_p.t1	69					
CP105_g27083_DN2_SP0_c.t1	223				GO:0005515	
CP106_g29752_DN1_SP0_c.t1	62	AT1G10640.1	AT1G10640.1	other	GO:0005576;GO:0005975;GO:0004650;GO:0016829;GO:0071555	Pectin lyase-like superfamily protein
CP106_g29753_DN1_SP0_c.t1	73					
CP106_g29754_DN2_SP0_c.t1	91					
CP106_g29755_DN1_SP0_c.t1	71					
CP106_g29756_DN2_SP0_c.t1	91					
CP106_g29757_DN2_SP0_c.t1	78					
CP106_g29758_DN2_SP0_c.t1	295					
CP106_g29759_DN1_SP0_c.t1	96					
CP106_g29760_DN2_SP0_c.t1	91					
CP106_g29761_DN2_SP0_c.t1	77					
CP106_g29762_DN2_SP0_c.t1	113					
CP106_g29763_DN1_SP0_c.t1	77					
CP106_g29773_DN1_SP0_c.t1	88					
CP106_g29774_DN1_SP0_c.t1	118					
CP106_g29775_DN2_SP0_c.t1	73					
CP106_g29776_DN2_SP0_c.t1	82					
CP106_g29777_DN2_SP0_c.t1	76					
CP106_g29783_DN2_SP0_p.t1	72					
CP107_g41521_DN1_SP0_c.t1	83					
CP108_g42050_DN2_SP0_c.t1	129					
CP108_g42051_DN2_SP0_c.t1	68					
CP108_g42052_DN1_SP0_c.t1	102					
CP108_g42053_DN2_SP0_c.t1	118					
CP108_g42054_DN1_SP0_c.t1	68					
CP108_g42055_DN1_SP0_c.t1	93					
CP108_g42056_DN1_SP0_c.t1	118					
CP108_g42057_DN1_SP0_c.t1	118					
CP108_g42058_DN1_SP0_c.t1	118					
CP108_g42059_DN1_SP0_c.t1	118					
CP108_g42060_DN1_SP0_c.t1	118					
CP108_g42061_DN1_SP0_c.t1	118					
CP108_g42062_DN1_SP0_c.t1	118					
CP108_g42063_DN2_SP0_c.t1	109					
CP108_g42064_DN1_SP0_c.t1	87					
CP108_g42065_DN1_SP0_c.t1	109					
CP108_g42066_DN1_SP0_c.t1	62					
CP108_g42067_DN1_SP0_c.t1	118					
CP108_g42068_DN2_SP0_c.t1	295					
CP108_g42069_DN1_SP0_c.t1	118					
CP108_g42070_DN2_SP0_c.t1	241					
CP108_g42071_DN1_SP0_c.t1	93					
CP108_g42072_DN1_SP0_c.t1	133					
CP108_g42073_DN2_SP0_c.t1	86					
CP108_g42074_DN2_SP0_c.t1	163					
CP108_g42075_DN2_SP0_c.t1	98					
CP108_g42076_DN1_SP0_c.t1	63					
CP108_g42077_DN2_SP0_c.t1	114					
CP108_g42078_DN1_SP0_c.t1	88					
CP108_g42079_DN2_SP0_c.t1	96					
CP108_g42080_DN1_SP0_c.t1	61					
CP108_g42081_DN1_SP0_c.t1	92					
CP108_g42082_DN1_SP0_c.t1	98					
CP108_g42083_DN1_SP0_c.t1	68					
CP108_g42084_DN1_SP0_c.t1	56					
CP108_g42085_DN1_SP0_c.t1	92					
CP108_g42086_DN1_SP0_c.t1	97					
CP108_g42087_DN1_SP0_c.t1	98					
CP108_g42088_DN2_SP0_c.t1	68					
CP108_g42089_DN2_SP0_c.t1	93					
CP10_g42090_DN3_SP0_c.t1	510	AT3G02065.2	AT3G02065.2	orthologue	GO:0003729;GO:0005634;GO:0003724;GO:0009507;GO:0003723;GO:0005524;GO:0008270;GO:0016887;GO:0003676	DEAD-box ATP-dependent RNA helicase 41 (EC 3.6.4.13)
CP10_g42091_DN3_SP8_c.t1	822	AT3G02060.1	AT3G02060.1	orthologue	GO:0005634;GO:0003674;GO:0003677;GO:0004386;GO:0005524;GO:0009507;GO:0016887;GO:0003676	ATP-dependent DNA helicase At3g02060, chloroplastic (EC 3.6.4.12)
CP10_g42092_DN3_SP3_c.t1	792	AT3G02050.1	AT3G02050.1	orthologue	GO:0006813;GO:0071805;GO:0015079;GO:0005829;GO:0009507;GO:0016020;GO:0005886	Potassium transporter 4 (AtKT4) (AtKUP3) (AtPOT4)
CP10_g42093_DN2_SP0_c.t1	116	AT5G13930.1	AT5G13930.1	other	GO:0009715;GO:0009813;GO:0005515;GO:0005783;GO:0016210;GO:0009753;GO:0009733;GO:0009926;GO:0030639;GO:0009611;GO:0016747;GO:0005634;GO:0009629;GO:0010224;GO:0031540;GO:0006979;GO:0005737;GO:0009705;GO:0009058;GO:0016746	Chalcone synthase (EC 2.3.1.74) (Naringenin-chalcone synthase) (Protein TRANSPARENT TESTA 4)
CP10_g42094_DN3_SP2_c.t1	378	AT3G19250.1, AT3G19330.1	AT3G19330.1	orthologue	GO:0005634;GO:0008150;GO:0005739;GO:0003674;GO:0005575;GO:0016020	UPF0496 protein At3g19250;UPF0496 protein At3g19330
CP10_g42095_DN3_SP8_c.t1	486	AT3G19340.1	AT3G19340.1	orthologue	GO:0005886;GO:0003674;GO:0005783;GO:0005829;GO:0004177	Aminopeptidase (DUF3754)
