"legend"	"Aethionema_saxatile"	"Alyssum_gmelinii"	"Arabidopsis_arenosa"	"Arabidopsis_lyrata_NCBI"	"Arabidopsis_lyrata_Rawat"	"Arabis_alpina"	"Brassica_napus"	"Brassica_oleracea"	"Brassica_rapa"	"Camelina_sativa"	"Capsella_rubella"	"Cardamine_amara"	"Cardamine_glauca"	"Cardamine_hirsuta"	"Cochlearia_excelsa"	"Conringia_planisiliqua"	"Erysimum_linariifolium"	"Euclidium_syriacum"	"Eutrema_salsugineum"	"Noccaea_praecox"	"Odontarrhena_muralis"	"Raphanus_sativus"
"Genes total"	"25 353 (100%)"	"32 164 (100%)"	"33 938 (100%)"	"29 817 (100%)"	"33 221 (100%)"	"34 212 (100%)"	"90 897 (100%)"	"44 382 (100%)"	"41 403 (100%)"	"82 569 (100%)"	"26 410 (100%)"	"25 330 (100%)"	"24 828 (100%)"	"29 458 (100%)"	"54 424 (100%)"	"34 766 (100%)"	"30 393 (100%)"	"33 001 (100%)"	"26 943 (100%)"	"30 370 (100%)"	"29 940 (100%)"	"49 855 (100%)"
"A: OrthoFinder orthologues"	"19 191 (76%)"	"22 518 (70%)"	"24 343 (72%)"	"25 082 (84%)"	"24 215 (73%)"	"20 795 (61%)"	"61 897 (68%)"	"30 763 (69%)"	"30 364 (73%)"	"64 195 (78%)"	"23 061 (87%)"	"20 734 (82%)"	"21 391 (86%)"	"22 788 (77%)"	"21 750 (40%)"	"19 688 (57%)"	"23 161 (76%)"	"21 332 (65%)"	"21 035 (78%)"	"21 419 (71%)"	"20 924 (70%)"	"35 769 (72%)"
"B: BLAST Reciprocal Best Hits"	"13 501 (53%)"	"15 873 (49%)"	"21 330 (63%)"	"22 709 (76%)"	"21 556 (65%)"	"16 650 (49%)"	"17 632 (19%)"	"17 103 (39%)"	"17 034 (41%)"	"20 817 (25%)"	"20 115 (76%)"	"17 949 (71%)"	"18 645 (75%)"	"18 697 (63%)"	"14 644 (27%)"	"16 575 (48%)"	"10 892 (36%)"	"15 686 (48%)"	"18 064 (67%)"	"9 603 (32%)"	"16 305 (54%)"	"6 787 (14%)"
"A + B"	"19 709 (78%)"	"23 173 (72%)"	"24 669 (73%)"	"25 349 (85%)"	"24 513 (74%)"	"21 570 (63%)"	"62 970 (69%)"	"31 696 (71%)"	"31 300 (76%)"	"64 688 (78%)"	"23 362 (88%)"	"21 179 (84%)"	"21 801 (88%)"	"23 271 (79%)"	"22 593 (42%)"	"20 373 (59%)"	"23 359 (77%)"	"21 678 (66%)"	"21 722 (81%)"	"21 793 (72%)"	"21 532 (72%)"	"36 190 (73%)"
"C: Shared N0 hierarchical orthogroups"	"19 182 (76%)"	"24 032 (75%)"	"26 549 (78%)"	"26 786 (90%)"	"26 346 (79%)"	"22 240 (65%)"	"68 177 (75%)"	"33 844 (76%)"	"33 211 (80%)"	"69 183 (84%)"	"24 556 (93%)"	"21 798 (86%)"	"22 457 (90%)"	"24 685 (84%)"	"24 058 (44%)"	"20 752 (60%)"	"24 880 (82%)"	"21 127 (64%)"	"22 666 (84%)"	"22 777 (75%)"	"22 141 (74%)"	"39 394 (79%)"
"A + B + C"	"20 292 (80%)"	"24 890 (77%)"	"26 753 (79%)"	"26 903 (90%)"	"26 496 (80%)"	"22 934 (67%)"	"69 730 (77%)"	"34 652 (78%)"	"34 026 (82%)"	"69 660 (84%)"	"24 715 (94%)"	"22 187 (88%)"	"22 789 (92%)"	"25 125 (85%)"	"24 892 (46%)"	"21 447 (62%)"	"25 111 (83%)"	"22 104 (67%)"	"23 210 (86%)"	"23 304 (77%)"	"22 825 (76%)"	"40 197 (81%)"
"D: Shared Orthogroups"	"20 863 (82%)"	"26 316 (82%)"	"27 660 (82%)"	"27 516 (92%)"	"27 312 (82%)"	"23 872 (70%)"	"73 283 (81%)"	"36 319 (82%)"	"35 481 (86%)"	"71 654 (87%)"	"25 309 (96%)"	"22 872 (90%)"	"23 403 (94%)"	"26 189 (89%)"	"26 081 (48%)"	"22 479 (65%)"	"26 063 (86%)"	"24 300 (74%)"	"24 164 (90%)"	"24 403 (80%)"	"23 888 (80%)"	"42 162 (85%)"
"A + B + C + D"	"20 876 (82%)"	"26 326 (82%)"	"27 717 (82%)"	"27 542 (92%)"	"27 336 (82%)"	"23 908 (70%)"	"73 364 (81%)"	"36 340 (82%)"	"35 525 (86%)"	"71 741 (87%)"	"25 320 (96%)"	"22 887 (90%)"	"23 408 (94%)"	"26 214 (89%)"	"26 195 (48%)"	"22 498 (65%)"	"26 069 (86%)"	"24 327 (74%)"	"24 173 (90%)"	"24 407 (80%)"	"23 896 (80%)"	"42 176 (85%)"
"E: BLAST hits (pident > 40, qcovhsp > 50)"	"21 050 (83%)"	"28 277 (88%)"	"27 929 (82%)"	"9 427 (32%)"	"27 533 (83%)"	"12 782 (37%)"	"40 211 (44%)"	"19 583 (44%)"	"18 882 (46%)"	"32 815 (40%)"	"9 854 (37%)"	"23 305 (92%)"	"23 534 (95%)"	"26 745 (91%)"	"28 812 (53%)"	"20 866 (60%)"	"26 931 (89%)"	"23 189 (70%)"	"10 632 (39%)"	"25 327 (83%)"	"24 526 (82%)"	"23 075 (46%)"
"A + B + C + D + E"	"21 742 (86%)"	"29 355 (91%)"	"29 512 (87%)"	"28 420 (95%)"	"29 246 (88%)"	"26 014 (76%)"	"79 852 (88%)"	"39 219 (88%)"	"37 774 (91%)"	"76 633 (93%)"	"25 730 (97%)"	"24 028 (95%)"	"24 080 (97%)"	"28 271 (96%)"	"31 261 (57%)"	"24 055 (69%)"	"27 783 (91%)"	"26 316 (80%)"	"24 755 (92%)"	"26 350 (87%)"	"25 569 (85%)"	"45 398 (91%)"
