"legend"	"Aethionema_saxatile"	"Alyssum_gmelinii"	"Arabidopsis_arenosa"	"Arabidopsis_lyrata_NCBI"	"Arabidopsis_lyrata_Rawat"	"Arabis_alpina"	"Brassica_napus"	"Brassica_oleracea"	"Brassica_rapa"	"Camelina_sativa"	"Capsella_rubella"	"Cardamine_amara"	"Cardamine_glauca"	"Cardamine_hirsuta"	"Cochlearia_excelsa"	"Conringia_planisiliqua"	"Erysimum_linariifolium"	"Euclidium_syriacum"	"Eutrema_salsugineum"	"Noccaea_praecox"	"Odontarrhena_muralis"	"Raphanus_sativus"
"A: OrthoFinder orthologues"	19191	22518	24343	25082	24215	20795	61897	30763	30364	64195	23061	20734	21391	22788	21750	19688	23161	21332	21035	21419	20924	35769
"B: BLAST Reciprocal Best Hits"	13501	15873	21330	22709	21556	16650	17632	17103	17034	20817	20115	17949	18645	18697	14644	16575	10892	15686	18064	9603	16305	6787
"A + B"	19709	23173	24669	25349	24513	21570	62970	31696	31300	64688	23362	21179	21801	23271	22593	20373	23359	21678	21722	21793	21532	36190
"C: Shared N0 hierarchical orthogroups"	19182	24032	26549	26786	26346	22240	68177	33844	33211	69183	24556	21798	22457	24685	24058	20752	24880	21127	22666	22777	22141	39394
"A + B + C"	20292	24890	26753	26903	26496	22934	69730	34652	34026	69660	24715	22187	22789	25125	24892	21447	25111	22104	23210	23304	22825	40197
"D: Shared Orthogroups"	20863	26316	27660	27516	27312	23872	73283	36319	35481	71654	25309	22872	23403	26189	26081	22479	26063	24300	24164	24403	23888	42162
"A + B + C + D"	20876	26326	27717	27542	27336	23908	73364	36340	35525	71741	25320	22887	23408	26214	26195	22498	26069	24327	24173	24407	23896	42176
"E: BLAST hits (pident > 40, qcovhsp > 50)"	21050	28277	27929	9427	27533	12782	40211	19583	18882	32815	9854	23305	23534	26745	28812	20866	26931	23189	10632	25327	24526	23075
"A + B + C + D + E"	21742	29355	29512	28420	29246	26014	79852	39219	37774	76633	25730	24028	24080	28271	31261	24055	27783	26316	24755	26350	25569	45398
"F: Genes without orthologues/homologues"	3611	2809	4426	1397	3975	8198	11045	5163	3629	5936	680	1302	748	1187	23163	10711	2610	6685	2188	4020	4371	4457
"Genes total"	25353	32164	33938	29817	33221	34212	90897	44382	41403	82569	26410	25330	24828	29458	54424	34766	30393	33001	26943	30370	29940	49855
"Genes with other homologues (B + C + D + E - A)"	2551	6837	5169	3338	5031	5219	17955	8456	7410	12438	2669	3294	2689	5483	9511	4367	4622	4984	3720	4931	4645	9629
"Genes with multiple orthologues/homologues"	2337	3743	2636	2111	2218	2780	8531	3863	3853	6171	2206	1801	2008	3072	2848	2183	2593	3608	2408	2595	2863	5061
