Orthogroup	Conringia_planisiliqua	Cochlearia_excelsa
OG0000000	CP15_g35524_DN2_SP0_c.t1	g14627, g14949, g4309
OG0000000	CP7_g44194_DN1_SP0_c.t1	g8694, g53158
OG0000000	CP20_g4007_DN2_SP0_c.t1, CP4_g26316_DN2_SP0_c.t1	g26700
OG0000000	CP42_g27277_DN1_SP0_c.t1	g6388
OG0000000	CP7_g44628_DN3_SP0_c.t1	g54172, g11781, g52096, g4660, g33143, g43301
OG0000000	CP17_g6015_DN1_SP0_c.t1	g45448
OG0000000	CP8_g52821_DN1_SP0_c.t1	g34710, g46576
OG0000000	CP1_g39688_DN1_SP0_c.t1, CP7_g45495_DN1_SP0_c.t1, CP22_g17660_DN2_SP0_c.t1	g22659
OG0000000	CP28_g33903_DN1_SP0_c.t1, CP27_g41818_DN2_SP0_c.t1	g23875, g4482
OG0000000	CP24_g47154_DN1_SP0_c.t1	g43298, g31764, g2288, g41807, g35657, g52577, g44838, g32882, g24898
OG0000000	CP24_g47044_DN1_SP0_c.t1	g15642
OG0000000	CP1_g39707_DN1_SP0_c.t1	g11716, g40876, g40054
OG0000000	CP10_g43899_DN1_SP0_c.t1, CP6_g8175_DN3_SP0_c.t1	g25560, g14010, g2958, g51905, g52688, g4646, g53415, g25281, g16626
OG0000000	CP3_g15795_DN1_SP0_c.t1	g14626
OG0000000	CP13_g20778_DN3_SP0_c.t1, CP1_g40810_DN1_SP0_c.t1	g2380
OG0000000	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1	g53079, g43739, g16627
OG0000000	CP9_g27797_DN2_SP0_c.t1	g24433, g25323
OG0000000	CP28_g34012_DN1_SP0_c.t1, CP25_g55831_DN3_SP0_c.t1	g18049, g47718
OG0000000	CP9_g28197_DN3_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP1_g40809_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1	g34709, g4497, g26082, g48927
OG0000000	CP18_g12295_DN2_SP0_c.t1, CP5_g2382_DN2_SP0_c.t1	g1710, g51108, g47070, g43826, g49581
OG0000000	CP36_g50963_DN2_SP0_c.t1	g23493
OG0000000	CP8_g52615_DN2_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP2_g49678_DN3_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1	g3283, g14651, g4075, g42183, g41805, g31286, g53554, g25561, g25201, g53774, g1649, g1657, g16219, g4653, g35401, g26200, g42029, g24646, g15042, g47937, g16448, g26041, g12832, g32880, g24793, g18671, g41057, g35660
OG0000000	CP17_g6249_DN3_SP0_c.t1, CP4_g26468_DN1_SP0_c.t1	g43153, g45081, g25427
OG0000000	CP15_g34707_DN2_SP0_c.t1	g41948
OG0000002	CP13_g20669_DN2_SP0_c.t1	g3989
OG0000002	CP3_g16175_DN3_SP0_c.t1	g50076, g39920, g43321, g35849, g15943, g22279
OG0000002	CP4_g26880_DN1_SP0_c.t1	g12708
OG0000002	CP1_g40005_DN2_SP0_c.t1	g13093, g26238, g53437, g9948, g22268, g41801, g38312, g31092, g50475, g49477, g22706, g20017, g36478, g4705, g24147, g56, g19235, g5458, g4202, g36769, g6617, g22858, g22281, g40197, g16025, g35637, g22483, g29768, g37989, g39923, g47601, g28189, g19054, g31608, g5152, g36551, g5878, g51652, g43320, g32846, g18735, g3257
OG0000002	CP1_g38933_DN1_SP0_c.t1	g18733, g51782, g51654
OG0000002	CP35_g52018_DN2_SP0_c.t1	g54223, g47322, g50479, g22753, g1903, g3746
OG0000002	CP4_g26881_DN2_SP0_c.t1	g12570, g45323, g23052, g6837, g29104, g38549, g1173, g4356
OG0000002	CP3_g16174_DN2_SP0_c.t1	g16055, g23051, g18890, g45322
OG0000002	CP4_g26879_DN2_SP0_c.t1	g36393, g17831
OG0000002	CP4_g26884_DN2_SP0_c.t1	g22481, g22300, g26182
OG0000002	CP3_g16153_DN2_SP0_c.t1	g51104, g47320, g38468, g39577, g40258, g23771, g52214
OG0000003	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1	g14063
OG0000003	CP10_g44057_DN2_SP0_c.t1	g25137
OG0000003	CP3_g15821_DN1_SP0_c.t1	g45682, g1467, g38320, g49844
OG0000003	CP5_g1517_DN2_SP0_c.t1	g25134, g35681, g14225, g41636
OG0000003	CP8_g52677_DN2_SP0_c.t1	g18621
OG0000003	CP14_g22797_DN2_SP0_c.t1	g24632
OG0000003	CP5_g3316_DN2_SP0_c.t1	g39352, g43844, g39389
OG0000003	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1	g42622
OG0000003	CP3_g16060_DN1_SP0_c.t1	g34726
OG0000003	CP10_g43762_DN2_SP0_c.t1, CP2_g50353_DN1_SP0_c.t1	g41610, g51431, g41609
OG0000003	CP14_g23759_DN1_SP0_c.t1	g43053
OG0000003	CP13_g20572_DN1_SP0_c.t1	g12346, g2655, g14239, g52812
OG0000003	CP4_g26010_DN1_SP0_c.t1	g26213, g52072
OG0000003	CP6_g7989_DN2_SP0_c.t1	g37684, g32875, g43390
OG0000003	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1	g46643, g3725, g24106
OG0000004	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
OG0000005	CP12_g30974_DN2_SP0_c.t1	g36078, g42010
OG0000005	CP1_g38464_DN1_SP0_c.t1	g35024, g42611
OG0000005	CP1_g39873_DN1_SP0_c.t1	g32107, g3653, g8412
OG0000005	CP1_g40746_DN3_SP0_c.t1	g3362, g12133
OG0000007	CP8_g52162_DN2_SP0_c.t1	g4635
OG0000008	CP15_g34920_DN2_SP0_c.t1	g36794
OG0000008	CP27_g41699_DN2_SP0_c.t1	g5353, g35020, g27856, g27175, g1942
OG0000008	CP8_g52854_DN2_SP0_c.t1	g52586
OG0000008	CP14_g23480_DN3_SP0_c.t1	g26783
OG0000008	CP5_g2806_DN2_SP0_c.t1	g37068, g26784, g43729
OG0000009	CP18_g12171_DN2_SP0_c.t1	g2982
OG0000009	CP29_g21990_DN1_SP0_c.t1	g32059, g53845
OG0000009	CP9_g27891_DN2_SP0_c.t1	g50155, g5748, g1727
OG0000009	CP3_g16492_DN1_SP0_c.t1	g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251
OG0000009	CP12_g31672_DN2_SP0_c.t1	g11275, g53238, g41488, g4401, g4394, g44957
OG0000011	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000011	CP18_g11548_DN1_SP0_c.t1	g18071, g2721, g42559, g4725, g47538
OG0000011	CP15_g34508_DN1_SP0_c.t1	g33386, g45605, g4839
OG0000011	CP15_g35900_DN1_SP0_c.t1	g16516, g16593
OG0000011	CP47_g21270_DN3_SP0_c.t1	g41576
OG0000011	CP14_g23600_DN3_SP0_c.t1	g43707, g27825, g18316, g6080
OG0000011	CP17_g5859_DN2_SP0_c.t1	g450, g26627, g32634
OG0000011	CP15_g35899_DN2_SP0_c.t1	g24975
OG0000011	CP8_g52577_DN3_SP0_c.t1, CP14_g23599_DN3_SP0_c.t1	g2713, g18942
OG0000015	CP7_g44210_DN2_SP0_c.t1	g40287, g1783, g27896
