Orthogroup	Conringia_planisiliqua	Euclidium_syriacum
OG0000000	CP23_g21525_DN1_SP0_c.t1, CP15_g35524_DN2_SP0_c.t1, CP6_g9755_DN1_SP0_c.t1, CP7_g44194_DN1_SP0_c.t1, CP17_g5930_DN1_SP0_c.t1	ESY9_g43741_DN1_SP0_c0.t1
OG0000000	CP20_g4007_DN2_SP0_c.t1, CP4_g26316_DN2_SP0_c.t1	ESY7_g16181_DN1_SP0_c0.t1, ESY8_g59126_DN2_SP0_c0.t1, ESY3_g28926_DN2_SP0_c0.t1, ESY1_g10755_DN1_SP0_c14.t1, ESY1_g5706_DN2_SP0_c0.t1, ESY9_g44627_DN1_SP0_c0.t1, ESY3_g30327_DN1_SP0_c0.t1, ESY3_g29102_DN2_SP0_c0.t1, ESY2_g37456_DN1_SP0_c0.t1, ESY4_g25005_DN1_SP0_c0.t1
OG0000000	CP42_g27277_DN1_SP0_c.t1	ESY11_g54832_DN1_SP0_c0.t1
OG0000000	CP7_g44628_DN3_SP0_c.t1	ESY22_g40756_DN3_SP0_c0.t1
OG0000000	CP24_g46939_DN1_SP0_c.t1	ESY7_g16163_DN2_SP0_c0.t1
OG0000000	CP18_g11997_DN3_SP0_c.t1	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1
OG0000000	CP8_g52821_DN1_SP0_c.t1, CP4_g26041_DN3_SP0_c.t1, CP3_g14603_DN1_SP0_c.t1	ESY2_g36604_DN3_SP0_c0.t1
OG0000000	CP3_g15796_DN1_SP0_c.t1, CP9_g27696_DN1_SP0_c.t1, CP28_g33903_DN1_SP0_c.t1, CP27_g41818_DN2_SP0_c.t1	ESY6_g47093_DN2_SP0_c0.t1
OG0000000	CP13_g20778_DN3_SP0_c.t1, CP1_g40810_DN1_SP0_c.t1	ESY14_g19960_DN1_SP0_c0.t1
OG0000000	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1	ESY17_g39043_DN1_SP0_c0.t1
OG0000002	CP13_g20493_DN3_SP0_c.t1, CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1, CP13_g20669_DN2_SP0_c.t1, CP3_g16175_DN3_SP0_c.t1, CP4_g26880_DN1_SP0_c.t1, CP1_g40005_DN2_SP0_c.t1, CP1_g38933_DN1_SP0_c.t1, CP35_g52018_DN2_SP0_c.t1, CP4_g26881_DN2_SP0_c.t1, CP3_g16174_DN2_SP0_c.t1, CP4_g26879_DN2_SP0_c.t1, CP4_g26884_DN2_SP0_c.t1, CP3_g16153_DN2_SP0_c.t1	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	CP15_g36147_DN2_SP0_c.t1	ESY8_g60366_DN2_SP0_c0.t1
OG0000003	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1	ESY9_g43283_DN2_SP0_c0.t1
OG0000003	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1	ESY2_g37194_DN1_SP0_c0.t1
OG0000003	CP29_g22151_DN2_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1, CP13_g20319_DN3_SP0_c.t1, CP29_g22141_DN2_SP0_c.t1, CP1_g39498_DN2_SP0_c.t1	ESY9_g43824_DN1_SP0_c0.t1
OG0000003	CP3_g16060_DN1_SP0_c.t1	ESY2_g37193_DN1_SP0_c0.t1
OG0000003	CP10_g43762_DN2_SP0_c.t1, CP2_g50353_DN1_SP0_c.t1	ESY6_g48209_DN3_SP0_c0.t1
OG0000003	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1
OG0000004	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1
OG0000005	CP12_g30974_DN2_SP0_c.t1	ESY8_g60803_DN3_SP0_c6.t1
OG0000007	CP8_g52162_DN2_SP0_c.t1	ESY9_g43616_DN3_SP0_c12.t1
OG0000008	CP15_g34920_DN2_SP0_c.t1	ESY1_g7826_DN2_SP0_c27.t1
OG0000009	CP2_g50066_DN1_SP0_c.t1	ESY4_g24391_DN2_SP0_c0.t1
OG0000009	CP18_g12171_DN2_SP0_c.t1	ESY6_g47366_DN1_SP0_c0.t1
OG0000009	CP4_g26233_DN2_SP0_c.t1, CP3_g15237_DN1_SP0_c.t1	ESY17_g40133_DN1_SP0_c0.t1
OG0000009	CP8_g52568_DN1_SP0_c.t1	ESY9_g43520_DN3_SP0_c0.t1
OG0000011	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1
OG0000011	CP18_g11548_DN1_SP0_c.t1	ESY5_g2565_DN1_SP0_c0.t1
OG0000011	CP2_g50477_DN1_SP0_c.t1, CP26_g51198_DN2_SP0_c.t1, CP6_g8727_DN1_SP0_c.t1, CP12_g31720_DN3_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1, CP18_g11618_DN2_SP0_c.t1	ESY1_g5997_DN2_SP0_c99.t1
OG0000011	CP14_g23710_DN2_SP0_c.t1	ESY4_g23292_DN2_SP0_c93.t1, ESY1_g6718_DN1_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1, ESY6_g49770_DN3_SP0_c0.t1
OG0000011	CP17_g5859_DN2_SP0_c.t1	ESY7_g17507_DN3_SP0_c53.t1
OG0000011	CP15_g35899_DN2_SP0_c.t1	ESY6_g46861_DN2_SP0_c63.t1
OG0000015	CP12_g31767_DN3_SP0_c.t1	ESY7_g16245_DN2_SP0_c0.t1
OG0000015	CP9_g27629_DN1_SP0_c.t1	ESY4_g23102_DN1_SP0_c100.t1
OG0000015	CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1	ESY14_g21116_DN2_SP0_c1.t1
OG0000015	CP9_g27744_DN1_SP0_c.t1	ESY5_g1619_DN2_SP0_c2.t1
OG0000015	CP26_g51311_DN3_SP0_c.t1	ESY2_g38598_DN3_SP0_c0.t1
OG0000015	CP2_g50255_DN1_SP0_c.t1	ESY4_g23101_DN1_SP0_c72.t1
OG0000015	CP31_g46711_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1	ESY6_g46006_DN2_SP0_c14.t1
