Orthogroup	Conringia_planisiliqua	Arabidopsis_lyrata_NCBI
OG0000000	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1	XP_020887823.1
OG0000000	CP28_g33903_DN1_SP0_c.t1	XP_020890704.1, XP_020869115.1
OG0000000	CP27_g41816_DN1_SP0_c.t1	XP_020885673.1
OG0000000	CP36_g50963_DN2_SP0_c.t1	XP_020872418.1, XP_020889487.1
OG0000003	CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1	XP_020881895.1
OG0000003	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1, CP3_g15821_DN1_SP0_c.t1, CP5_g1517_DN2_SP0_c.t1, CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1	XP_020889841.1
OG0000003	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	XP_020883515.1
OG0000003	CP18_g12232_DN3_SP0_c.t1	XP_020887717.1
OG0000004	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1	XP_020870326.1, XP_020890321.1, XP_020887182.1
OG0000004	CP1_g39844_DN3_SP0_c.t1	XP_020891399.1
OG0000009	CP18_g12171_DN2_SP0_c.t1	XP_020884776.1
OG0000009	CP12_g31672_DN2_SP0_c.t1	XP_020877155.1, XP_020876055.1
OG0000009	CP8_g52568_DN1_SP0_c.t1	XP_020876464.1
OG0000011	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1	XP_020881814.1, XP_020878850.1
OG0000011	CP18_g11548_DN1_SP0_c.t1	XP_020873638.1
OG0000011	CP47_g21270_DN3_SP0_c.t1	XP_020876758.1, XP_020889800.1, XP_020881514.1
OG0000011	CP14_g23710_DN2_SP0_c.t1	XP_020891537.1
OG0000011	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1	XP_020885819.1, XP_020866216.1
OG0000011	CP3_g16065_DN2_SP0_c.t1, CP3_g16755_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1	XP_020885594.1, XP_020870692.1
OG0000011	CP17_g5859_DN2_SP0_c.t1	XP_020889856.1, XP_020872445.1, XP_020875855.1
OG0000011	CP15_g35899_DN2_SP0_c.t1	XP_020875848.1
OG0000011	CP8_g52577_DN3_SP0_c.t1, CP14_g23599_DN3_SP0_c.t1	XP_020881813.1, XP_020866193.1, XP_020870462.1
OG0000015	CP12_g31767_DN3_SP0_c.t1	XP_020865814.1
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1	XP_002862745.2, XP_020874187.1
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	XP_020872563.1, XP_020870832.1, XP_020872717.1, XP_020874922.1, XP_020879645.1, XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1, XP_020867207.1, XP_020876809.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1, XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1, XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1
OG0000023	CP35_g52033_DN3_SP0_c.t1	XP_020885333.1, XP_020870611.1, XP_020875036.1, XP_020871051.1, XP_020885189.1, XP_020874097.1, XP_020876901.1, XP_020872176.1, XP_020881510.1, XP_020874804.1, XP_020872198.1, XP_020865779.1, XP_020888558.1, XP_020874042.1, XP_020875073.1, XP_020888105.1, XP_020873405.1, XP_020890011.1, XP_020888454.1, XP_020866256.1
OG0000024	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1	XP_002893706.2
OG0000024	CP3_g13494_DN2_SP0_c.t1	XP_002875716.2
