Orthogroup	Conringia_planisiliqua	Rorippa_islandica
OG0000000	CP15_g35524_DN2_SP0_c.t1	Roisl.0185s0067.1.p
OG0000000	CP6_g9755_DN1_SP0_c.t1	Roisl.0204s0096.1.p, Roisl.0185s0075.1.p
OG0000000	CP18_g11997_DN3_SP0_c.t1	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p
OG0000000	CP8_g52821_DN1_SP0_c.t1	Roisl.0053s0186.1.p
OG0000000	CP18_g12259_DN2_SP0_c.t1	Roisl.0210s2160.1.p
OG0000000	CP27_g41816_DN1_SP0_c.t1	Roisl.0053s0185.1.p, Roisl.0046s0703.1.p, Roisl.0210s0593.1.p
OG0000000	CP10_g43899_DN1_SP0_c.t1	Roisl.0185s0050.1.p
OG0000000	CP6_g8175_DN3_SP0_c.t1	Roisl.0185s0025.1.p, Roisl.0006s0325.1.p, Roisl.0214s0371.1.p, Roisl.0005s0243.1.p, Roisl.0083s0016.1.p, Roisl.0037s0056.1.p
OG0000000	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1	Roisl.0020s0052.1.p
OG0000000	CP7_g44193_DN1_SP0_c.t1	Roisl.0082s0610.1.p
