Orthogroup	Conringia_planisiliqua	Arabidopsis_lyrata_Rawat
OG0000000	CP23_g21525_DN1_SP0_c.t1, CP15_g35524_DN2_SP0_c.t1, CP6_g9755_DN1_SP0_c.t1, CP7_g44194_DN1_SP0_c.t1, CP17_g5930_DN1_SP0_c.t1	AL6G27580
OG0000000	CP28_g33903_DN1_SP0_c.t1	AL7G44730
OG0000000	CP1_g40635_DN2_SP0_c.t1	AL1G48970
OG0000000	CP24_g47044_DN1_SP0_c.t1	AL1G31370, AL5G15620, AL7G44660
OG0000000	CP27_g41816_DN1_SP0_c.t1	AL5G18640
OG0000000	CP1_g39707_DN1_SP0_c.t1	AL2G28000
OG0000000	CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1	AL2G12570, AL4G43860
OG0000000	CP2_g50561_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270
OG0000000	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1	AL3G48680
OG0000000	CP6_g8147_DN1_SP0_c.t1	AL396U10020, AL4G14390
OG0000000	CP9_g28197_DN3_SP0_c.t1	AL4G39790
OG0000000	CP36_g50963_DN2_SP0_c.t1	AL6G49130
OG0000000	CP8_g52615_DN2_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP2_g49678_DN3_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1	AL1G43930
OG0000000	CP2_g49699_DN2_SP0_c.t1	AL8G17990, AL4G17570
OG0000000	CP15_g34707_DN2_SP0_c.t1	AL7G35400
OG0000002	CP3_g16153_DN2_SP0_c.t1	AL8G20200
OG0000003	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1	AL8G41490, AL4G39950, AL363U10020
OG0000003	CP3_g15821_DN1_SP0_c.t1	AL7G48880
OG0000003	CP15_g36037_DN2_SP0_c.t1	AL4G18120
OG0000003	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1	AL433U10010
OG0000003	CP14_g22797_DN2_SP0_c.t1	AL4G19540
OG0000003	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1	AL6G19270
OG0000003	CP5_g3316_DN2_SP0_c.t1	AL3G36170
OG0000003	CP26_g51324_DN2_SP0_c.t1	AL1G51710
OG0000003	CP14_g22798_DN1_SP0_c.t1	AL1G50760
OG0000003	CP3_g16060_DN1_SP0_c.t1	AL3G42620
OG0000003	CP10_g43762_DN2_SP0_c.t1, CP2_g50353_DN1_SP0_c.t1	AL481U10010
OG0000003	CP13_g20572_DN1_SP0_c.t1	AL3G46190
