	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
Alyssum_gmelinii	0.0	5189.0	5239.0	5358.0	5306.0	4778.0	3611.0	3588.0	936.0	5196.0	4840.0	5183.0	4653.0	4580.0	6186.0	5219.0	5128.0	3097.0	5160.0
Arabidopsis_arenosa	2615.0	0.0	2138.0	2550.0	2489.0	2640.0	2232.0	2133.0	993.0	2507.0	2586.0	2779.0	2754.0	2616.0	4611.0	2933.0	2870.0	1875.0	3029.0
Arabidopsis_lyrata_NCBI	2522.0	1847.0	0.0	1024.0	2226.0	2433.0	2039.0	1944.0	738.0	2380.0	2331.0	2516.0	2541.0	2414.0	4042.0	2833.0	2656.0	1681.0	2802.0
Arabidopsis_lyrata_Rawat	2858.0	2439.0	1328.0	0.0	2456.0	2829.0	2192.0	2236.0	825.0	2654.0	2724.0	2865.0	2859.0	2749.0	4578.0	3129.0	3072.0	1877.0	3151.0
Arabidopsis_thaliana	1689.0	1035.0	1119.0	1080.0	0.0	1613.0	1230.0	1230.0	303.0	1316.0	1415.0	1540.0	1769.0	1522.0	2957.0	1860.0	1704.0	1059.0	1661.0
Arabis_alpina	2999.0	3261.0	3004.0	3116.0	3001.0	0.0	2359.0	2217.0	872.0	2970.0	2890.0	3081.0	2940.0	2921.0	4333.0	3149.0	3159.0	1958.0	3280.0
Brassica_oleracea	16330.0	17738.0	18217.0	18006.0	18158.0	16802.0	0.0	4446.0	1494.0	18295.0	17778.0	18042.0	14563.0	16865.0	19806.0	18713.0	17880.0	5728.0	18341.0
Brassica_rapa	15548.0	17018.0	17481.0	17295.0	17509.0	15999.0	3247.0	0.0	1218.0	17543.0	16845.0	17207.0	13785.0	15893.0	18756.0	17691.0	17028.0	4735.0	17551.0
Camelina_sativa	47780.0	57593.0	59198.0	58102.0	59206.0	49966.0	33943.0	34229.0	0.0	60945.0	53505.0	55810.0	45369.0	51541.0	53787.0	55603.0	52871.0	28648.0	56981.0
Capsella_rubella	1613.0	1534.0	1507.0	1510.0	1554.0	1671.0	1278.0	1246.0	400.0	0.0	1613.0	1682.0	1823.0	1557.0	3121.0	1892.0	1776.0	1102.0	1686.0
Cardamine_glauca	2087.0	2212.0	2236.0	2225.0	2234.0	2164.0	1575.0	1595.0	379.0	2235.0	0.0	2076.0	2177.0	2088.0	3182.0	2350.0	2254.0	1373.0	2229.0
Cardamine_hirsuta	2637.0	2570.0	2469.0	2547.0	2495.0	2578.0	1955.0	1967.0	661.0	2350.0	1872.0	0.0	2627.0	2447.0	4315.0	2837.0	2715.0	1778.0	2300.0
Cochlearia_excelsa	5595.0	6833.0	5816.0	7055.0	5398.0	5822.0	4898.0	3357.0	2857.0	6348.0	6040.0	5892.0	0.0	6388.0	9081.0	6495.0	7050.0	3065.0	7183.0
Conringia_planisiliqua	1687.0	1743.0	1936.0	1756.0	1584.0	1612.0	1362.0	1223.0	576.0	1628.0	1751.0	1937.0	1930.0	0.0	3340.0	1837.0	1856.0	1192.0	1941.0
Euclidium_syriacum	2625.0	3102.0	3022.0	3053.0	3079.0	2745.0	2048.0	1947.0	618.0	2922.0	2704.0	3101.0	2794.0	2870.0	0.0	2981.0	2970.0	1713.0	3062.0
Eutrema_salsugineum	1619.0	1651.0	1713.0	1754.0	1459.0	1640.0	1308.0	1202.0	535.0	1649.0	1525.0	1578.0	1590.0	1565.0	3108.0	0.0	1729.0	975.0	1794.0
Noccaea_praecox	2717.0	3036.0	2865.0	2989.0	2871.0	2699.0	2117.0	2025.0	513.0	2847.0	2743.0	2832.0	2625.0	2799.0	4322.0	2887.0	0.0	1853.0	2948.0
Raphanus_sativus	21622.0	23745.0	24328.0	23934.0	24429.0	22294.0	15351.0	15356.0	1694.0	24559.0	23310.0	24088.0	19762.0	22703.0	25427.0	24920.0	23891.0	0.0	24561.0
Rorippa_islandica	2402.0	2307.0	2222.0	2437.0	2245.0	2336.0	1890.0	1846.0	821.0	2239.0	1893.0	2097.0	2475.0	2327.0	3903.0	2598.0	2574.0	1820.0	0.0
