	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
Number of genes	32073	33938	29817	33221	27562	34212	44382	41403	82569	26410	24376	29458	54424	34766	33001	26943	30373	49855	30646
Number of genes in orthogroups	30807	32033	29727	31603	26707	31101	43215	40556	78824	26296	24188	28604	50680	32639	30016	26774	28989	48188	29737
Number of unassigned genes	1266	1905	90	1618	855	3111	1167	847	3745	114	188	854	3744	2127	2985	169	1384	1667	909
Percentage of genes in orthogroups	96.1	94.4	99.7	95.1	96.9	90.9	97.4	98.0	95.5	99.6	99.2	97.1	93.1	93.9	91.0	99.4	95.4	96.7	97.0
Percentage of unassigned genes	3.9	5.6	0.3	4.9	3.1	9.1	2.6	2.0	4.5	0.4	0.8	2.9	6.9	6.1	9.0	0.6	4.6	3.3	3.0
Number of orthogroups containing species	19404	21479	21294	21885	20641	19669	21113	20687	22167	19864	18854	20412	20103	19486	19583	19344	20016	21235	20453
Percentage of orthogroups containing species	55.8	61.8	61.3	63.0	59.4	56.6	60.7	59.5	63.8	57.1	54.2	58.7	57.8	56.1	56.3	55.6	57.6	61.1	58.8
Number of species-specific orthogroups	560	262	13	202	49	814	189	95	719	18	28	134	1407	642	576	47	430	465	121
Number of genes in species-specific orthogroups	2144	1090	35	511	124	4634	518	351	2252	65	64	394	11382	6123	3178	386	2026	1193	422
Percentage of genes in species-specific orthogroups	6.7	3.2	0.1	1.5	0.4	13.5	1.2	0.8	2.7	0.2	0.3	1.3	20.9	17.6	9.6	1.4	6.7	2.4	1.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	15360	13285	13470	12879	14123	15095	13651	14077	12597	14900	15910	14352	14661	15278	15181	15420	14748	13529	14311
'1	14501	16734	17022	17031	17046	15089	10608	10609	1890	16340	15486	16135	13636	15623	15002	16044	15698	9010	16284
'2	3197	3126	2954	3327	2626	3051	6482	6353	3410	2513	2586	2944	4089	2608	2965	2464	2999	6391	2941
'3	787	761	628	761	500	739	2414	2264	12059	472	430	664	1041	514	763	409	688	3074	579
'4	304	309	277	289	197	286	728	630	1546	204	134	262	425	225	300	147	246	1401	244
'5	173	145	107	142	78	133	334	303	868	101	68	138	220	124	146	64	130	556	97
'6	111	92	77	73	70	95	169	164	1166	70	41	68	107	69	104	45	55	265	80
'7	58	57	49	53	23	60	72	67	334	34	34	49	98	50	65	37	41	153	42
'8	38	38	35	53	28	37	57	54	189	33	17	38	56	34	51	25	28	78	32
'9	31	34	24	33	21	36	43	44	143	22	14	22	45	29	29	12	28	61	24
'10	38	23	25	16	15	16	21	26	79	20	9	16	36	24	29	10	13	37	20
11-15	74	88	58	56	24	56	69	73	221	32	27	38	92	53	63	23	37	89	47
16-20	37	31	17	20	5	25	25	35	95	14	5	17	41	38	28	17	20	46	14
21-50	49	37	19	28	8	27	66	58	141	9	3	19	109	66	34	36	30	63	41
51-100	5	2	2	3	0	15	22	7	21	0	0	2	58	16	2	7	2	10	6
101-150	1	2	0	0	0	1	2	0	5	0	0	0	23	7	1	4	0	1	1
151-200	0	0	0	0	0	1	0	0	0	0	0	0	8	1	1	0	0	0	0
201-500	0	0	0	0	0	2	1	0	0	0	0	0	17	4	0	0	0	0	1
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	44.2	38.2	38.7	37.0	40.6	43.4	39.3	40.5	36.2	42.9	45.8	41.3	42.2	43.9	43.7	44.4	42.4	38.9	41.2
'1	41.7	48.1	49.0	49.0	49.0	43.4	30.5	30.5	5.4	47.0	44.5	46.4	39.2	44.9	43.2	46.2	45.2	25.9	46.8
'2	9.2	9.0	8.5	9.6	7.6	8.8	18.6	18.3	9.8	7.2	7.4	8.5	11.8	7.5	8.5	7.1	8.6	18.4	8.5
'3	2.3	2.2	1.8	2.2	1.4	2.1	6.9	6.5	34.7	1.4	1.2	1.9	3.0	1.5	2.2	1.2	2.0	8.8	1.7
'4	0.9	0.9	0.8	0.8	0.6	0.8	2.1	1.8	4.4	0.6	0.4	0.8	1.2	0.6	0.9	0.4	0.7	4.0	0.7
'5	0.5	0.4	0.3	0.4	0.2	0.4	1.0	0.9	2.5	0.3	0.2	0.4	0.6	0.4	0.4	0.2	0.4	1.6	0.3
