	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
Alyssum_gmelinii	0.0	1076.0	1085.0	1224.0	732.0	1178.0	6930.0	6705.0	15739.0	705.0	931.0	1094.0	2179.0	667.0	1100.0	647.0	1159.0	8331.0	922.0
Arabidopsis_arenosa	2025.0	0.0	806.0	1010.0	460.0	1237.0	7569.0	7378.0	19458.0	640.0	974.0	1085.0	2466.0	669.0	1301.0	613.0	1249.0	9188.0	936.0
Arabidopsis_lyrata_NCBI	2051.0	893.0	0.0	484.0	495.0	1263.0	7774.0	7601.0	19987.0	633.0	977.0	1055.0	2416.0	657.0	1265.0	661.0	1214.0	9431.0	918.0
Arabidopsis_lyrata_Rawat	2048.0	1027.0	370.0	0.0	492.0	1275.0	7681.0	7492.0	19526.0	625.0	967.0	1069.0	2494.0	686.0	1270.0	659.0	1252.0	9277.0	939.0
Arabidopsis_thaliana	2043.0	1012.0	961.0	1066.0	0.0	1254.0	7840.0	7658.0	20050.0	652.0	986.0	1066.0	2397.0	645.0	1290.0	628.0	1217.0	9507.0	929.0
Arabis_alpina	1853.0	1065.0	1041.0	1216.0	695.0	0.0	7132.0	6912.0	16536.0	688.0	958.0	1077.0	2286.0	649.0	1119.0	618.0	1138.0	8640.0	938.0
Brassica_oleracea	1402.0	892.0	848.0	925.0	518.0	888.0	0.0	1237.0	11236.0	528.0	695.0	784.0	1176.0	474.0	838.0	476.0	865.0	6928.0	716.0
Brassica_rapa	1385.0	859.0	831.0	914.0	531.0	883.0	1686.0	0.0	11402.0	519.0	710.0	781.0	1036.0	435.0	799.0	446.0	833.0	6966.0	729.0
Camelina_sativa	303.0	355.0	261.0	311.0	129.0	236.0	520.0	437.0	0.0	163.0	137.0	250.0	392.0	178.0	229.0	154.0	186.0	626.0	253.0
Capsella_rubella	2004.0	1022.0	1029.0	1119.0	586.0	1220.0	7832.0	7640.0	20630.0	0.0	980.0	1008.0	2399.0	641.0	1232.0	653.0	1218.0	9507.0	900.0
Cardamine_glauca	1907.0	1050.0	1013.0	1161.0	624.0	1193.0	7508.0	7301.0	17861.0	661.0	0.0	792.0	2331.0	616.0	1151.0	596.0	1172.0	9005.0	711.0
Cardamine_hirsuta	1983.0	1129.0	1104.0	1241.0	682.0	1278.0	7701.0	7494.0	18656.0	710.0	908.0	0.0	2427.0	624.0	1272.0	662.0	1212.0	9325.0	834.0
Cochlearia_excelsa	1780.0	1086.0	1073.0	1192.0	756.0	1166.0	6280.0	6003.0	14888.0	743.0	948.0	1080.0	0.0	678.0	1123.0	655.0	1136.0	7755.0	962.0
Conringia_planisiliqua	1837.0	1053.0	1019.0	1165.0	646.0	1191.0	7116.0	6895.0	17089.0	645.0	918.0	1018.0	2204.0	0.0	1193.0	557.0	1152.0	8843.0	876.0
Euclidium_syriacum	2281.0	1745.0	1635.0	1821.0	1220.0	1686.0	7957.0	7726.0	16939.0	1239.0	1368.0	1701.0	2943.0	1174.0	0.0	1129.0	1723.0	9364.0	1488.0
Eutrema_salsugineum	2062.0	1202.0	1226.0	1351.0	789.0	1283.0	7880.0	7645.0	18396.0	803.0	1026.0	1176.0	2308.0	618.0	1213.0	0.0	1222.0	9635.0	1034.0
Noccaea_praecox	2006.0	1163.0	1112.0	1283.0	731.0	1234.0	7559.0	7335.0	17413.0	745.0	1000.0	1127.0	2289.0	654.0	1230.0	636.0	0.0	9186.0	976.0
Raphanus_sativus	1192.0	748.0	716.0	785.0	450.0	796.0	2396.0	1978.0	9486.0	441.0	601.0	731.0	979.0	391.0	696.0	392.0	748.0	0.0	637.0
Rorippa_islandica	2020.0	1192.0	1156.0	1298.0	719.0	1309.0	7819.0	7632.0	19045.0	714.0	955.0	981.0	2515.0	643.0	1257.0	670.0	1255.0	9470.0	0.0
