	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
Alyssum_gmelinii	0.0	15152.0	15403.0	15215.0	15579.0	14530.0	9503.0	9608.0	1040.0	15545.0	14911.0	15294.0	12841.0	14611.0	14333.0	15376.0	14905.0	7995.0	15491.0
Arabidopsis_arenosa	15152.0	0.0	22249.0	22269.0	20960.0	16080.0	10788.0	10923.0	1814.0	19696.0	17481.0	18379.0	14404.0	16622.0	15836.0	17613.0	16909.0	9087.0	18757.0
Arabidopsis_lyrata_NCBI	15403.0	22249.0	0.0	25057.0	22030.0	16423.0	11039.0	11231.0	1904.0	20354.0	17837.0	18798.0	14488.0	16880.0	16085.0	18155.0	17201.0	9409.0	19189.0
Arabidopsis_lyrata_Rawat	15215.0	22269.0	25057.0	0.0	21101.0	16189.0	10838.0	10943.0	1850.0	19753.0	17498.0	18490.0	14367.0	16648.0	15874.0	17718.0	16939.0	9168.0	18887.0
Arabidopsis_thaliana	15579.0	20960.0	22030.0	21101.0	0.0	16488.0	11104.0	11299.0	1784.0	20483.0	17953.0	19028.0	14679.0	17022.0	16289.0	18384.0	17335.0	9443.0	19351.0
Arabis_alpina	14530.0	16080.0	16423.0	16189.0	16488.0	0.0	10087.0	10184.0	1110.0	16415.0	15588.0	16214.0	13495.0	15414.0	14945.0	16375.0	15812.0	8467.0	16422.0
Brassica_oleracea	9503.0	10788.0	11039.0	10838.0	11104.0	10087.0	0.0	30359.0	1143.0	11086.0	10259.0	10875.0	9931.0	11545.0	9561.0	11645.0	10866.0	20950.0	11094.0
Brassica_rapa	9608.0	10923.0	11231.0	10943.0	11299.0	10184.0	30359.0	0.0	1016.0	11301.0	10403.0	11023.0	10021.0	11655.0	9726.0	11811.0	10985.0	21048.0	11199.0
Camelina_sativa	1040.0	1814.0	1904.0	1850.0	1784.0	1110.0	1143.0	1016.0	0.0	1845.0	1064.0	1503.0	1050.0	1089.0	1062.0	1190.0	1175.0	1095.0	1466.0
Capsella_rubella	15545.0	19696.0	20354.0	19753.0	20483.0	16415.0	11086.0	11301.0	1845.0	0.0	17858.0	18681.0	14555.0	17001.0	16176.0	18315.0	17241.0	9351.0	19113.0
Cardamine_glauca	14911.0	17481.0	17837.0	17498.0	17953.0	15588.0	10259.0	10403.0	1064.0	17858.0	0.0	18592.0	13854.0	16083.0	15413.0	17118.0	16431.0	8649.0	18812.0
Cardamine_hirsuta	15294.0	18379.0	18798.0	18490.0	19028.0	16214.0	10875.0	11023.0	1503.0	18681.0	18592.0	0.0	14409.0	16727.0	15884.0	17676.0	16975.0	9212.0	20177.0
Cochlearia_excelsa	12841.0	14404.0	14488.0	14367.0	14679.0	13495.0	9931.0	10021.0	1050.0	14555.0	13854.0	14409.0	0.0	14083.0	13116.0	14952.0	14336.0	8324.0	14579.0
Conringia_planisiliqua	14611.0	16622.0	16880.0	16648.0	17022.0	15414.0	11545.0	11655.0	1089.0	17001.0	16083.0	16727.0	14083.0	0.0	15960.0	17458.0	16605.0	9620.0	17076.0
Euclidium_syriacum	14333.0	15836.0	16085.0	15874.0	16289.0	14945.0	9561.0	9726.0	1062.0	16176.0	15413.0	15884.0	13116.0	15960.0	0.0	16114.0	15492.0	8109.0	16253.0
Eutrema_salsugineum	15376.0	17613.0	18155.0	17718.0	18384.0	16375.0	11645.0	11811.0	1190.0	18315.0	17118.0	17676.0	14952.0	17458.0	16114.0	0.0	17577.0	9757.0	18107.0
Noccaea_praecox	14905.0	16909.0	17201.0	16939.0	17335.0	15812.0	10866.0	10985.0	1175.0	17241.0	16431.0	16975.0	14336.0	16605.0	15492.0	17577.0	0.0	9137.0	17261.0
Raphanus_sativus	7995.0	9087.0	9409.0	9168.0	9443.0	8467.0	20950.0	21048.0	1095.0	9351.0	8649.0	9212.0	8324.0	9620.0	8109.0	9757.0	9137.0	0.0	9374.0
Rorippa_islandica	15491.0	18757.0	19189.0	18887.0	19351.0	16422.0	11094.0	11199.0	1466.0	19113.0	18812.0	20177.0	14579.0	17076.0	16253.0	18107.0	17261.0	9374.0	0.0
