HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N6.HOG0000000	OG0000000	n2													evm.model.RL_7.1										
N6.HOG0000001	OG0000000	n144														Cg004G132730									
N6.HOG0000002	OG0000000	n160													evm.model.RL_6.432										
N6.HOG0000003	OG0000000	n166													evm.model.RL_4.710	Cg008G288880									
N6.HOG0000004	OG0000000	n184													evm.model.RL_3.1962										
N6.HOG0000005	OG0000000	n214													evm.model.RL_6.1375										
N6.HOG0000006	OG0000000	n225													evm.model.RL_6.904, evm.model.RL_8.1136										
N6.HOG0000007	OG0000000	n257													evm.model.RL_4.378, evm.model.RL_7.1948, evm.model.RL_6.512, evm.model.RL_3.844, evm.model.RL_4.736, evm.model.RL_8.405										
N6.HOG0000008	OG0000000	n352													evm.model.RL_2.714	Cg001G026290, Cg008G290900, Cg004G127320, Cg008G322460, Cg006G203050, Cg002G060960, Cg002G062120									
N6.HOG0000009	OG0000000	n395													evm.model.RL_3.245	Cg002G062380, Cg002G069090, Cg005G186670									
N6.HOG0000010	OG0000000	n550													evm.model.RL_4.599										
N6.HOG0000011	OG0000000	n728														Cg003G090030, Cg003G090000									
N6.HOG0000012	OG0000000	n829													evm.model.RL_3.1103										
N6.HOG0000013	OG0000000	n962													evm.model.RL_8.1073										
N6.HOG0000014	OG0000000	n1095													evm.model.RL_3.693										
N6.HOG0000015	OG0000000	n1129														Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250									
N6.HOG0000016	OG0000000	n1140													evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582										
N6.HOG0000017	OG0000000	n1165													evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512	Cg002G068740, Cg001G030920, Cg011G329020									
N6.HOG0000018	OG0000000	n1193														Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390									
N6.HOG0000019	OG0000000	n1198														Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590									
N6.HOG0000020	OG0000000	n1247													evm.model.RL_2.738										
N6.HOG0000021	OG0000000	n1249													evm.model.RL_4.733										
N6.HOG0000022	OG0000000	n1252													evm.model.RL_1.3301										
N6.HOG0000023	OG0000000	n1253													evm.model.RL_8.1072										
N6.HOG0000024	OG0000000	n1328													evm.model.RL_2.1335										
N6.HOG0000025	OG0000000	n1333													evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374										
N6.HOG0000026	OG0000000	n1373													evm.model.RL_7.1901, evm.model.RL_2.681	Cg014G332090									
