HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N12.HOG0000000	OG0000000	n202																						Om008G349060	
N12.HOG0000001	OG0000000	n271		Ag006G573260																				Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830	
N12.HOG0000002	OG0000000	n416		Ag004G340890, Ag001G084200																				Om005G215690, Om007G308190	
N12.HOG0000003	OG0000000	n555																						Om007G313100	
N12.HOG0000004	OG0000000	n693		Ag002G196660																					
N12.HOG0000005	OG0000000	n743		Ag006G512050																					
N12.HOG0000006	OG0000000	n749		Ag003G248650, Ag004G363090																					
N12.HOG0000007	OG0000000	n751																						Om003G126140, Om001G002280, Om004G151360	
N12.HOG0000008	OG0000000	n754																						Om007G308180, Om008G324080, Om005G218420	
N12.HOG0000009	OG0000000	n836																						Om004G155360, Om001G016100, Om008G346050, Om007G315370, Om008G345840, Om005G216480, Om008G360230, Om002G080940, Om011G365800	
N12.HOG0000010	OG0000000	n1095																						Om008G350840	
N12.HOG0000011	OG0000000	n1147																						Om004G142780, Om003G104870, Om003G105610	
N12.HOG0000012	OG0000000	n1184		Ag002G167150																				Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	
N12.HOG0000013	OG0000000	n1255																						Om004G154060, Om009G363570, Om004G177240, Om006G269410	
N12.HOG0000014	OG0000000	n1268																						Om003G112370, Om003G117250, Om003G105660, Om001G018930, Om008G339880, Om004G149120, Om001G020460, Om008G357940	
N12.HOG0000015	OG0000000	n1320																						Om008G349730	
