HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N10.HOG0000000	OG0000000	n2													evm.model.RL_7.1										
N10.HOG0000001	OG0000000	n160													evm.model.RL_6.432										
N10.HOG0000002	OG0000000	n166													evm.model.RL_4.710										
N10.HOG0000003	OG0000000	n184													evm.model.RL_3.1962										
N10.HOG0000004	OG0000000	n214													evm.model.RL_6.1375										
N10.HOG0000005	OG0000000	n225													evm.model.RL_6.904, evm.model.RL_8.1136										
N10.HOG0000006	OG0000000	n257													evm.model.RL_4.378, evm.model.RL_7.1948, evm.model.RL_6.512, evm.model.RL_3.844, evm.model.RL_4.736, evm.model.RL_8.405										
N10.HOG0000007	OG0000000	n352													evm.model.RL_2.714										
N10.HOG0000008	OG0000000	n395													evm.model.RL_3.245										
N10.HOG0000009	OG0000000	n550													evm.model.RL_4.599										
N10.HOG0000010	OG0000000	n829													evm.model.RL_3.1103										
N10.HOG0000011	OG0000000	n962													evm.model.RL_8.1073										
N10.HOG0000012	OG0000000	n1095													evm.model.RL_3.693										
N10.HOG0000013	OG0000000	n1140													evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582										
N10.HOG0000014	OG0000000	n1165													evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512										
N10.HOG0000015	OG0000000	n1247													evm.model.RL_2.738										
N10.HOG0000016	OG0000000	n1249													evm.model.RL_4.733										
N10.HOG0000017	OG0000000	n1252													evm.model.RL_1.3301										
N10.HOG0000018	OG0000000	n1253													evm.model.RL_8.1072										
N10.HOG0000019	OG0000000	n1328													evm.model.RL_2.1335										
N10.HOG0000020	OG0000000	n1333													evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374										
N10.HOG0000021	OG0000000	n1373													evm.model.RL_7.1901, evm.model.RL_2.681										
N10.HOG0000022	OG0000002	n34													evm.model.RL_5.2510										
N10.HOG0000023	OG0000002	n36													evm.model.RL_3.454										
N10.HOG0000024	OG0000002	n61													evm.model.RL_1.3300										
N10.HOG0000025	OG0000002	n62													evm.model.RL_1.3293										
N10.HOG0000026	OG0000002	n274													evm.model.RL_1.3299										
N10.HOG0000027	OG0000002	n325													evm.model.RL_4.1699										
N10.HOG0000028	OG0000002	n353													evm.model.RL_4.153										
N10.HOG0000029	OG0000002	n358													evm.model.RL_2.2031										
N10.HOG0000030	OG0000002	n664													evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607										
N10.HOG0000031	OG0000003	n5													evm.model.RL_8.1049										
N10.HOG0000032	OG0000003	n15													evm.model.RL_6.672										
N10.HOG0000033	OG0000003	n26													evm.model.RL_5.2420										
N10.HOG0000034	OG0000003	n51													evm.model.RL_2.1084										
N10.HOG0000035	OG0000003	n321													evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013										
N10.HOG0000036	OG0000003	n371													evm.model.RL_1.2632										
N10.HOG0000037	OG0000003	n380													evm.model.RL_1.3305										
N10.HOG0000038	OG0000003	n427													evm.model.RL_5.2489										
N10.HOG0000039	OG0000003	n430													evm.model.RL_2.684, evm.model.RL_3.815, evm.model.RL_5.2488										
N10.HOG0000040	OG0000003	n457													evm.model.RL_6.633										
N10.HOG0000041	OG0000003	n465													evm.model.RL_5.2494										
N10.HOG0000042	OG0000003	n531													evm.model.RL_5.2419										
