HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N8.HOG0000000	OG0000000	n202																						Om008G349060	
N8.HOG0000001	OG0000000	n271		Ag006G573260																				Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830	
N8.HOG0000002	OG0000000	n416		Ag004G340890, Ag001G084200																				Om005G215690, Om007G308190	
N8.HOG0000003	OG0000000	n555																						Om007G313100	
N8.HOG0000004	OG0000000	n693		Ag002G196660																					
N8.HOG0000005	OG0000000	n743		Ag006G512050																					
N8.HOG0000006	OG0000000	n749		Ag003G248650, Ag004G363090																					
N8.HOG0000007	OG0000000	n751																						Om003G126140, Om001G002280, Om004G151360	
N8.HOG0000008	OG0000000	n754																						Om007G308180, Om008G324080, Om005G218420	
N8.HOG0000009	OG0000000	n836																						Om004G155360, Om001G016100, Om008G346050, Om007G315370, Om008G345840, Om005G216480, Om008G360230, Om002G080940, Om011G365800	
N8.HOG0000010	OG0000000	n1095																						Om008G350840	
N8.HOG0000011	OG0000000	n1147																						Om004G142780, Om003G104870, Om003G105610	
N8.HOG0000012	OG0000000	n1184		Ag002G167150																				Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	
N8.HOG0000013	OG0000000	n1255																						Om004G154060, Om009G363570, Om004G177240, Om006G269410	
N8.HOG0000014	OG0000000	n1268																						Om003G112370, Om003G117250, Om003G105660, Om001G018930, Om008G339880, Om004G149120, Om001G020460, Om008G357940	
N8.HOG0000015	OG0000000	n1316							Aa_G290190.h1.t1																
N8.HOG0000016	OG0000000	n1320																						Om008G349730	
N8.HOG0000017	OG0000000	n1337		Ag007G637890, Ag001G032720																				Om004G155370	
N8.HOG0000018	OG0000000	n1339		Ag008G692330, Ag002G155080, Ag008G696910																				Om006G261490, Om004G177230, Om005G216380, Om003G113470, Om007G306250	
N8.HOG0000019	OG0000000	n1373		Ag004G338120, Ag005G473460, Ag001G036200, Ag019G743060																					
N8.HOG0000020	OG0000000	n1390							Aa_G305790.h1.t1															Om006G263990	
N8.HOG0000021	OG0000002	n53							Aa_G450290.h1.t1, Aa_G55520.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G17980.h1.t1																
N8.HOG0000022	OG0000002	n58							Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G879130.h1.t1, Aa_G871860.h1.t1																
N8.HOG0000023	OG0000002	n119							Aa_G973590.h1.t1																
N8.HOG0000024	OG0000002	n120							Aa_G919120.h1.t1, Aa_G523140.h1.t1																
N8.HOG0000025	OG0000002	n123							Aa_G544990.h1.t1																
N8.HOG0000026	OG0000002	n178																						Om007G305030	
N8.HOG0000027	OG0000002	n219																						Om001G030070	
N8.HOG0000028	OG0000002	n282							Aa_G222330.h1.t1																
N8.HOG0000029	OG0000002	n302							Aa_G395200.h1.t1																
N8.HOG0000030	OG0000002	n370							Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1																
N8.HOG0000031	OG0000002	n413							Aa_G440660.h1.t1, Aa_G6650.h1.t1, Aa_G429320.h1.t1																
N8.HOG0000032	OG0000002	n573																						Om007G309520, Om002G043270	
N8.HOG0000033	OG0000002	n602							Aa_G504380.h1.t1, Aa_G843080.h1.t1																
N8.HOG0000034	OG0000002	n643							Aa_G109850.h1.t1, Aa_G417360.h1.t1																
N8.HOG0000035	OG0000002	n664							Aa_G169610.h1.t1, Aa_G497900.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G62810.h1.t1, Aa_G441820.h1.t1, Aa_G1002640.h1.t1, Aa_G934630.h1.t1, Aa_G181880.h1.t1, Aa_G884540.h1.t1, Aa_G945300.h1.t1, Aa_G211950.h1.t1, Aa_G211950.h2.t1, Aa_G294770.h1.t1, Aa_G396950.h1.t1, Aa_G277830.h1.t1, Aa_G63760.h1.t1, Aa_G881120.h1.t1																
N8.HOG0000036	OG0000002	n717							Aa_G202910.h1.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G36530.h1.t1, Aa_G272260.h2.t1, Aa_G272260.h1.t1, Aa_G571690.h1.t1																
N8.HOG0000037	OG0000002	n724																						Om003G105370, Om003G107650, Om008G342070, Om003G102030	
N8.HOG0000038	OG0000002	n763																						Om004G152900	
N8.HOG0000039	OG0000002	n1083		Ag005G437270, Ag005G410710					Aa_G940570.h1.t1, Aa_G202640.h1.t1															Om005G222520, Om004G148400, Om001G016090	
N8.HOG0000040	OG0000002	n1094							Aa_G166190.h1.t1																
N8.HOG0000041	OG0000003	n51		Ag001G024370																					
N8.HOG0000042	OG0000003	n283		Ag007G617260																				Om004G173160	
N8.HOG0000043	OG0000003	n346																						Om008G354600	
N8.HOG0000044	OG0000003	n354																						Om002G078910, Om007G310130	
N8.HOG0000045	OG0000003	n372																						Om007G309640	
N8.HOG0000046	OG0000003	n373																						Om003G107890, Om007G304830	
N8.HOG0000047	OG0000003	n391																						Om006G262960	
N8.HOG0000048	OG0000003	n421																						Om007G310100, Om005G217360, Om003G107880	
N8.HOG0000049	OG0000003	n460																						Om001G015910	
N8.HOG0000050	OG0000003	n466																						Om006G262980	
N8.HOG0000051	OG0000003	n498																						Om005G217810	
N8.HOG0000052	OG0000003	n503																						Om005G210700	
N8.HOG0000053	OG0000003	n544		Ag007G591720																					
N8.HOG0000054	OG0000003	n559							Aa_G418640.h1.t1																
N8.HOG0000055	OG0000003	n565		Ag005G408470																					
N8.HOG0000056	OG0000003	n571							Aa_G4640.h1.t1, Aa_G834150.h1.t1, Aa_G80970.h1.t1																
N8.HOG0000057	OG0000003	n580							Aa_G619980.h1.t1, Aa_G619980.h2.t1, Aa_G409540.h1.t1, Aa_G125480.h1.t1																
N8.HOG0000058	OG0000003	n614																						Om001G017050	
N8.HOG0000059	OG0000003	n624		Ag008G680570																					
N8.HOG0000060	OG0000003	n638							Aa_G878030.h1.t1																
N8.HOG0000061	OG0000003	n754																						Om007G309690	
N8.HOG0000062	OG0000003	n760		Ag001G046010																				Om008G345700	
N8.HOG0000063	OG0000003	n813																						Om005G217800, Om004G150180, Om001G017380	
N8.HOG0000064	OG0000003	n986																						Om007G309660	
N8.HOG0000065	OG0000004	n2		Ag004G349770																				Om008G341980	
N8.HOG0000066	OG0000004	n13		Ag002G133140																					
N8.HOG0000067	OG0000004	n22																						Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730	
N8.HOG0000068	OG0000004	n29		Ag006G542780, Ag002G121010, Ag006G552510																					
N8.HOG0000069	OG0000004	n32		Ag004G374310																					
N8.HOG0000070	OG0000004	n52																						Om008G333050	
N8.HOG0000071	OG0000004	n80		Ag004G314450																				Om007G317080, Om007G314040, Om006G243290, Om001G014830	
N8.HOG0000072	OG0000004	n103		Ag005G473260, Ag001G034430, Ag003G239450																				Om004G154430, Om006G235390	
N8.HOG0000073	OG0000004	n113		Ag008G684310																				Om003G099290	
N8.HOG0000074	OG0000004	n141																						Om004G151610, Om003G106990	
N8.HOG0000075	OG0000004	n167																						Om007G313270	
N8.HOG0000076	OG0000004	n279																						Om001G019850	
N8.HOG0000077	OG0000004	n869																						Om008G320930	
N8.HOG0000078	OG0000005	n2							Aa_G326720.h1.t1																
N8.HOG0000079	OG0000005	n18																						Om002G083130	
N8.HOG0000080	OG0000005	n25																						Om004G139040	
N8.HOG0000081	OG0000005	n31		Ag008G703520																					
N8.HOG0000082	OG0000005	n42		Ag005G473830, Ag001G076570					Aa_G1025960.h1.t1															Om005G219680, Om008G356930, Om004G145060	
N8.HOG0000083	OG0000005	n72																						Om002G053280	
N8.HOG0000084	OG0000005	n79																						Om005G220370	
N8.HOG0000085	OG0000005	n96		Ag007G610690																					
N8.HOG0000086	OG0000005	n104							Aa_G122060.h1.t1															Om001G028590, Om007G295980	
N8.HOG0000087	OG0000005	n119																						Om001G005070	
N8.HOG0000088	OG0000005	n129							Aa_G455310.h1.t1																
N8.HOG0000089	OG0000005	n165		Ag003G254660																					
N8.HOG0000090	OG0000005	n215		Ag005G434290																				Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900	
N8.HOG0000091	OG0000005	n249																						Om007G300980, Om001G001060, Om006G273080	
N8.HOG0000092	OG0000005	n269																						Om005G208940	
N8.HOG0000093	OG0000005	n280																						Om003G112550	
N8.HOG0000094	OG0000005	n310																						Om003G097810	
N8.HOG0000095	OG0000005	n371																						Om006G275350	
N8.HOG0000096	OG0000005	n441																						Om004G141520	
N8.HOG0000097	OG0000005	n462																						Om007G300990	
N8.HOG0000098	OG0000005	n466																						Om008G339980	
N8.HOG0000099	OG0000005	n476																						Om005G212800, Om006G268170, Om002G071580	
N8.HOG0000100	OG0000005	n502		Ag005G414560, Ag002G110220, Ag005G402610																					
N8.HOG0000101	OG0000005	n519		Ag004G325230, Ag002G102270																				Om007G289620	
N8.HOG0000102	OG0000005	n532																						Om006G258880, Om005G188370, Om004G177200	
N8.HOG0000103	OG0000005	n555																						Om002G082890, Om008G348310	
N8.HOG0000104	OG0000005	n591		Ag007G655680																					
