HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N3.HOG0000000	OG0000000	n2													evm.model.RL_7.1										
N3.HOG0000001	OG0000000	n142					AL4G19570						XP_010495482.1												
N3.HOG0000002	OG0000000	n144					AL1G59120							XP_023638874.1		Cg004G132730									
N3.HOG0000003	OG0000000	n160													evm.model.RL_6.432										
N3.HOG0000004	OG0000000	n166											XP_010468186.1, XP_010501684.1, XP_019098112.1, XP_010451376.1, XP_010484959.1, XP_010446038.1	XP_023644517.1	evm.model.RL_4.710	Cg008G288880									
N3.HOG0000005	OG0000000	n178											XP_010445863.1												
N3.HOG0000006	OG0000000	n184			jg21340										evm.model.RL_3.1962										
N3.HOG0000007	OG0000000	n202											XP_010445376.1												
N3.HOG0000008	OG0000000	n214													evm.model.RL_6.1375										
N3.HOG0000009	OG0000000	n219											XP_010448676.1, XP_010494079.1, XP_010428128.2, XP_010473884.1, XP_010438349.1							El003G183590					
N3.HOG0000010	OG0000000	n225											XP_019085399.1, XP_010468113.1		evm.model.RL_6.904, evm.model.RL_8.1136										
N3.HOG0000011	OG0000000	n245					AL5G28990																		
N3.HOG0000012	OG0000000	n248					AL2G12720																		
N3.HOG0000013	OG0000000	n250					AL2G22640																		
N3.HOG0000014	OG0000000	n257													evm.model.RL_4.378, evm.model.RL_7.1948, evm.model.RL_6.512, evm.model.RL_3.844, evm.model.RL_4.736, evm.model.RL_8.405										
N3.HOG0000015	OG0000000	n263					AL1G57270																		
N3.HOG0000016	OG0000000	n264				XP_020889539.1	AL8G19530						XP_010445388.1, XP_010501566.1, XP_010507019.1, XP_019084411.1, XP_010518611.1												
N3.HOG0000017	OG0000000	n271			jg21092																				
N3.HOG0000018	OG0000000	n338											XP_019096716.1, XP_019096480.1												
N3.HOG0000019	OG0000000	n352				XP_020880754.1, XP_020873125.1, XP_020875043.1, XP_020881970.1, XP_020882759.1, XP_020871264.1, XP_020886308.1, XP_020866272.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020872490.1, XP_020869697.1							XP_010424301.1		evm.model.RL_2.714	Cg001G026290, Cg008G290900, Cg004G127320, Cg008G322460, Cg006G203050, Cg002G060960, Cg002G062120									
N3.HOG0000020	OG0000000	n385					AL7G43300																		
N3.HOG0000021	OG0000000	n395													evm.model.RL_3.245	Cg002G062380, Cg002G069090, Cg005G186670									
N3.HOG0000022	OG0000000	n400				XP_020874412.1, XP_020871267.1, XP_020866323.1	AL1G64940																		
N3.HOG0000023	OG0000000	n405				XP_020887737.1																			
N3.HOG0000024	OG0000000	n406			jg2924, jg12072, jg12472																				
N3.HOG0000025	OG0000000	n431			jg27456																				
N3.HOG0000026	OG0000000	n432			jg2001																				
N3.HOG0000027	OG0000000	n443											XP_010462917.1, XP_010476476.1												
N3.HOG0000028	OG0000000	n490			jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262															El001G044730					
N3.HOG0000029	OG0000000	n512				XP_020874109.1	AL70U10050						XP_019091276.1, XP_019085476.1												
N3.HOG0000030	OG0000000	n519				XP_020881080.1							XP_010508146.1, XP_010451681.1, XP_019097313.1												
N3.HOG0000031	OG0000000	n550											XP_010507177.1, XP_010495973.1, XP_010507007.1, XP_010418888.1		evm.model.RL_4.599										
N3.HOG0000032	OG0000000	n555											XP_010474178.1, XP_010480743.1, XP_010470702.1, XP_019100923.1, XP_010424969.1, XP_010456912.1, XP_010451293.2, XP_010430704.1, XP_019082581.1												
N3.HOG0000033	OG0000000	n565											XP_019094576.1, XP_010481112.1, XP_010468397.1												
N3.HOG0000034	OG0000000	n568											XP_019089063.1, XP_010468418.1, XP_010495146.1												
N3.HOG0000035	OG0000000	n571																		El004G225890					
N3.HOG0000036	OG0000000	n582											XP_010494905.1												
N3.HOG0000037	OG0000000	n587																		El005G264600					
N3.HOG0000038	OG0000000	n603											XP_010510109.2												
N3.HOG0000039	OG0000000	n653			jg17429																				
N3.HOG0000040	OG0000000	n693																		El005G264610					
N3.HOG0000041	OG0000000	n696											XP_019100804.1												
N3.HOG0000042	OG0000000	n721											XP_019097460.1, XP_019087486.1, XP_010436745.1												
N3.HOG0000043	OG0000000	n728														Cg003G090030, Cg003G090000									
N3.HOG0000044	OG0000000	n729			jg6893, jg23550	XP_020882672.1														El001G044710					
N3.HOG0000045	OG0000000	n748				XP_020878681.1																			
N3.HOG0000046	OG0000000	n804												XP_023639601.1											
N3.HOG0000047	OG0000000	n829													evm.model.RL_3.1103										
