Orthogroup	Brassica_rapa	Cardamine_glauca
OG0000000	XP_009139680.2, XP_009119930.2, XP_009128546.1	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500
OG0000000	XP_009123079.1	Cg003G0947300
OG0000000	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1	Cg005G1542700
OG0000000	XP_009150345.1	Cg001G0384000
OG0000000	XP_033146952.1	Cg003G0793800
OG0000000	XP_033143372.1, XP_009140188.1, XP_009150035.2, XP_018514383.1, XP_033148610.1, XP_009150816.2, XP_009103791.2, XP_009103405.1	Cg002G0506900
OG0000000	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1	Cg002G0574500
OG0000000	XP_033147264.1, XP_033134838.1, XP_033130352.1, XP_033142250.1, XP_009114092.1, XP_009138592.1, XP_009103531.2	Cg007G2381100
OG0000000	XP_009124577.2	Cg004G1415700
OG0000003	XP_033145314.1, XP_009145336.1	Cg006G1905700
OG0000003	XP_033136094.1	Cg001G0323400, Cg008G2981700
OG0000004	XP_033142309.1	Cg008G2652500
OG0000004	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1	Cg014G3042600
OG0000004	XP_033138950.1, XP_033130324.1	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	XP_033142456.1, XP_033145865.1, XP_033139403.1, XP_033134206.1, XP_033129935.1, XP_033139196.1, XP_033134263.1, XP_033133987.1, XP_033131609.1	Cg004G1187900
OG0000007	XP_033140542.1	Cg006G1865000, Cg001G0098100, Cg005G1765200
OG0000007	XP_033131877.1	Cg004G1331500
OG0000008	XP_033143195.1, XP_033141059.1, XP_033147295.1, XP_033148559.1, XP_033129403.1, XP_033143620.1, XP_033138365.1, XP_033147243.1, XP_033145226.1, XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_018513989.2, XP_033129879.1, XP_033140569.1, XP_033140184.1	Cg002G0653600
OG0000008	XP_009115858.3	Cg002G0512100, Cg002G0565700
