Orthogroup	Brassica_rapa	Cardamine_hirsuta
OG0000000	XP_009117155.1	CARHR219390
OG0000000	XP_009123079.1	CARHR219900, CARHR034550
OG0000000	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1	CARHR228880, CARHR142010
OG0000000	XP_033138224.1, XP_009144626.1, XP_033130110.1, XP_033129351.1, XP_009117187.1, XP_009129274.1, XP_033139897.1	CARHR153350
OG0000007	XP_033140542.1	CARHR258710
OG0000007	XP_009124768.1	CARHR182520
OG0000007	XP_033131877.1	CARHR266890
OG0000007	XP_033131629.1	CARHR286510
OG0000007	XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1	CARHR051840
OG0000008	XP_033145226.1	CARHR183140
OG0000008	XP_033131033.1, XP_033133054.1, XP_033128088.1, XP_033137451.1	CARHR215010
OG0000008	XP_009115858.3	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350
OG0000008	XP_033138353.1	CARHR103530
OG0000008	XP_033131793.1	CARHR259120
OG0000008	XP_033131838.1	CARHR119350, CARHR214330, CARHR286130, CARHR178960
OG0000009	XP_009109961.2, XP_033148561.1, XP_009139324.1	CARHR114650
OG0000009	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1	CARHR153540, CARHR055780
OG0000011	XP_033140208.1, XP_033129445.1, XP_033136844.1, XP_033130854.1, XP_033144009.1, XP_033128807.1	CARHR259400
OG0000012	XP_009150017.2	CARHR032700
OG0000014	XP_033138986.1	CARHR287490
OG0000015	XP_009113103.2, XP_033138269.1, XP_033136397.1, XP_033137014.1	CARHR258200, CARHR258330
OG0000015	XP_018509062.1, XP_009118914.1, XP_033143221.1, XP_009145186.1, XP_009105628.1, XP_009107707.1	CARHR110600
