Orthogroup	Brassica_rapa	Arabis_alpina
OG0000002	XP_033148076.1, XP_033134169.1	Aa_G645190.h1.t1
OG0000002	XP_033148513.1	Aa_G497900.h1.t1, Aa_G169610.h1.t1, Aa_G62810.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G211950.h2.t1, Aa_G211950.h1.t1, Aa_G884540.h1.t1, Aa_G181880.h1.t1, Aa_G945300.h1.t1, Aa_G1002640.h1.t1, Aa_G441820.h1.t1, Aa_G919120.h1.t1, Aa_G934630.h1.t1, Aa_G396950.h1.t1, Aa_G36530.h1.t1, Aa_G571690.h1.t1, Aa_G17980.h1.t1, Aa_G55520.h1.t1, Aa_G450290.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G395200.h1.t1, Aa_G272260.h1.t1, Aa_G272260.h2.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G294770.h1.t1, Aa_G277830.h1.t1, Aa_G202910.h1.t1
OG0000003	XP_033145314.1, XP_009145336.1	Aa_G505500.h1.t1
OG0000004	XP_033140624.1	Aa_G305790.h1.t1
OG0000005	XP_033144892.1	Aa_G301670.h1.t1
OG0000005	XP_033138922.1	Aa_G169510.h1.t1
OG0000007	XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1	Aa_G596260.h1.t1
OG0000007	XP_033136688.1, XP_033147435.1, XP_009108642.2, XP_018512011.2	Aa_G727680.h1.t1
OG0000008	XP_009115858.3	Aa_G302250.h1.t1
OG0000011	XP_033144010.1	Aa_G277650.h1.t1
OG0000012	XP_009107541.1, XP_033131678.1, XP_033147573.1, XP_009130018.2, XP_033137992.1, XP_033145249.1, XP_009133163.1, XP_018508590.1, XP_033136153.1, XP_033143315.1, XP_018515508.1, XP_033148485.1, XP_033129464.1, XP_033142991.1, XP_033143244.1, XP_018512230.2, XP_033145320.1, XP_009130444.2, XP_009139681.1, XP_033132935.1, XP_018512892.1, XP_033145505.1	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
OG0000012	XP_033134396.1, XP_009140434.1, XP_009124217.1	Aa_G727670.h1.t1
OG0000012	XP_033131635.1	Aa_G1031570.h1.t1
OG0000015	XP_009113103.2, XP_033138269.1	Aa_G962140.h1.t1
OG0000015	XP_033146229.1	Aa_G413430.h1.t1, Aa_G252900.h1.t1
OG0000016	XP_033139193.1, XP_033134304.1, XP_033139069.1, XP_033139019.1	Aa_G590.h1.t1
OG0000020	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1, XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1	Aa_G135640.h1.t1
OG0000022	XP_009121467.1	Aa_G447870.h1.t1
OG0000022	XP_009112701.1	Aa_G319760.h1.t1, Aa_G683730.h1.t1
OG0000022	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1
OG0000022	XP_009118532.1	Aa_G22660.h1.t1
OG0000022	XP_009140073.1, XP_009114567.1	Aa_G97120.h1.t1
OG0000023	XP_033128492.1	Aa_G50170.h1.t1
OG0000024	XP_033133295.1	Aa_G565560.h1.t1, Aa_G381220.h1.t1
OG0000024	XP_009116539.1	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000024	XP_033132209.1	Aa_G230140.h1.t1
OG0000025	XP_033129969.1, XP_033137033.1, XP_009110149.2, XP_033131742.1, XP_033137869.1, XP_009130346.2, XP_009115087.2, XP_009132281.2, XP_009104408.1, XP_033147758.1, XP_033139323.1, XP_033138425.1, XP_033134215.1, XP_033145240.1, XP_009131311.3, XP_033130741.1, XP_033133225.1, XP_033134481.1, XP_033135508.1, XP_033129465.1, XP_033128962.1, XP_033130697.1, XP_009113561.2, XP_033140694.1, XP_033139907.1, XP_033141132.1, XP_033139909.1, XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1	Aa_G387540.h1.t1
OG0000026	XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1, XP_033148607.1, XP_033135946.1, XP_033141290.1	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	XP_009136778.1, XP_009136797.2, XP_033143898.1, XP_009137329.1, XP_033143991.1, XP_009136911.1	Aa_G200970.h1.t1
OG0000027	XP_009108600.1	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1
OG0000027	XP_033144191.1	Aa_G200900.h1.t1
OG0000027	XP_009108162.1	Aa_G597270.h1.t1
OG0000028	XP_009101849.2, XP_033129787.1, XP_033138374.1	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	XP_009148196.2, XP_018509211.2, XP_009133872.1, XP_009102308.1, XP_009105560.1, XP_009105561.1, XP_009102299.1, XP_009133873.1	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000028	XP_033138713.1, XP_033140827.1, XP_033140822.1	Aa_G553200.h1.t1
OG0000029	XP_009103430.1, XP_009103792.1, XP_033136629.1	Aa_G248570.h1.t1
OG0000029	XP_009150036.1	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1
OG0000030	XP_033148474.1	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000030	XP_018510426.1	Aa_G152820.h1.t1
OG0000032	XP_033143621.1	Aa_G209100.h1.t1
OG0000034	XP_009137321.1, XP_009136929.1	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	XP_009137324.1, XP_033135404.1	Aa_G191730.h1.t1
OG0000034	XP_009137188.1	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1
OG0000034	XP_009134716.1	Aa_G58920.h1.t1
OG0000034	XP_009137317.1, XP_009108599.1	Aa_G191690.h1.t1
OG0000034	XP_033143795.1	Aa_G92800.h1.t1
OG0000035	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1	Aa_G7660.h1.t1
OG0000035	XP_009144181.2, XP_009107908.2, XP_009130015.1, XP_033131299.1, XP_033138421.1, XP_033142140.1, XP_033138747.1, XP_033131849.1, XP_009145711.2, XP_009123716.1, XP_033145213.1, XP_033133960.1, XP_033138807.1, XP_033129339.1, XP_033136536.1, XP_033129338.1, XP_009120701.1, XP_033138808.1, XP_033145214.1, XP_009108653.1, XP_009111034.2, XP_033133919.1, XP_009108652.2	Aa_G275180.h1.t1, Aa_G417510.h1.t1, Aa_G75180.h1.t1, Aa_G54410.h1.t1
OG0000042	XP_033129992.1	Aa_G834810.h1.t1
OG0000042	XP_009138234.2, XP_033131226.1	Aa_G392560.h1.t1, Aa_G500830.h1.t1
OG0000042	XP_033145843.1, XP_033143238.1, XP_033148584.1, XP_018515301.2, XP_033136651.1, XP_033130759.1, XP_033132456.1	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1
OG0000044	XP_009128863.1, XP_009128859.1	Aa_G313590.h1.t1
OG0000044	XP_009123255.2	Aa_G33030.h1.t1
OG0000044	XP_018513381.1	Aa_G295940.h1.t1
OG0000044	XP_009122186.1	Aa_G208030.h1.t1
OG0000047	XP_009120239.1, XP_033134307.1, XP_033131812.1, XP_009124182.2, XP_009114455.1, XP_033131802.1, XP_009123813.1, XP_009123814.2, XP_009123579.2, XP_033129374.1, XP_033134308.1, XP_009123766.1, XP_033148540.1, XP_009145112.2, XP_033134303.1, XP_033134289.1, XP_009123343.2, XP_009124453.2, XP_009144635.1, XP_018511422.1, XP_033143388.1, XP_033134290.1, XP_033129373.1, XP_033134312.1, XP_033134310.1, XP_033145294.1, XP_009123666.1	Aa_G631350.h1.t1
OG0000048	XP_009125775.1	Aa_G20510.h1.t1
OG0000048	XP_009127532.1, XP_033139568.1, XP_009123149.2	Aa_G154560.h1.t1
OG0000048	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033148635.1, XP_033147829.1, XP_033146958.1, XP_009142442.1	Aa_G584300.h1.t1
