Orthogroup	Brassica_rapa	Arabidopsis_lyrata_Rawat
OG0000000	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1	AL3G23500, AL3G28120, AL7G39870
OG0000000	XP_009150345.1	AL3G39580, AL2G19540
OG0000000	XP_033128765.1, XP_009108636.2, XP_033132438.1	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270
OG0000000	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1	AL6G33910, AL4G36510
OG0000000	XP_033129351.1	AL4G39790
OG0000000	XP_033147264.1, XP_033134838.1, XP_033130352.1, XP_033142250.1, XP_009114092.1, XP_009138592.1, XP_009103531.2	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180
OG0000000	XP_033134325.1, XP_033135924.1	AL8G39910, AL1G63670
OG0000000	XP_009124577.2	AL8G17990, AL4G17570
OG0000002	XP_033148513.1	AL8G36900, AL5G16580, AL1G63470, AL5G20000, AL2G19560, AL122U10020, AL6G39770, AL8G20740, AL987U10010, AL4G19260, AL4G18310, AL6G46170, AL5G15420, AL4G14990, AL7G51360, AL7G51800, AL1G67410, AL1G66540, AL4G21030, AL5G12150
OG0000003	XP_009123480.1	AL8G41490, AL4G39950, AL363U10020
OG0000003	XP_033131784.1	AL4G18120
OG0000003	XP_033129527.1	AL4G19540
OG0000003	XP_009136045.1	AL6G19270
OG0000003	XP_033133942.1	AL3G42970
OG0000003	XP_033138751.1	AL1G50760
OG0000003	XP_009138649.2	AL3G44960
OG0000003	XP_033133979.1	AL4G18440
OG0000003	XP_009102097.1, XP_033129330.1	AL3G46190
OG0000003	XP_009118886.2	AL8G18370
OG0000003	XP_033136094.1	AL4G12920, AL2G17030, AL668U10010, AL2G31940
OG0000004	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1	AL1G59120
OG0000004	XP_033140624.1, XP_033138950.1, XP_033130324.1, XP_033136136.1, XP_033145979.1, XP_033148872.1, XP_033133487.1, XP_033132457.1, XP_033132962.1	AL7G43300
OG0000004	XP_033129968.1, XP_033131705.1, XP_033129977.1, XP_033146608.1	AL6G45170
OG0000005	XP_033147058.1	AL8G18430
OG0000005	XP_033144892.1	AL63U10040
OG0000005	XP_018511976.2	AL7G13490
OG0000005	XP_009113007.1, XP_033148226.1, XP_009106784.1, XP_033147287.1, XP_018514447.1	AL97U10030, AL8G11290
OG0000007	XP_033140542.1	AL9U10810
OG0000007	XP_033128538.1	AL8G24640
OG0000007	XP_033134391.1, XP_009103805.2, XP_009129528.2, XP_033133945.1	AL8G18310, AL1G37680, AL3G20440
OG0000007	XP_033133985.1, XP_033143316.1, XP_033138798.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033145248.1, XP_033143243.1	AL2G22610
OG0000007	XP_033132046.1, XP_018509717.2, XP_033143434.1, XP_033144206.1, XP_009107562.2, XP_033134788.1, XP_033131027.1, XP_033132428.1, XP_033133980.1, XP_033134568.1, XP_009120419.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033133922.1, XP_009110769.2, XP_033148269.1, XP_033135997.1, XP_033135405.1	AL5G31160
OG0000007	XP_033131629.1, XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1	AL5G15300
OG0000008	XP_033147243.1	AL8G22780
OG0000008	XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_018513989.2, XP_033129879.1, XP_033140569.1, XP_033140184.1	AL2G17460, AL6G27010, AL5G18950, AL7G45220
OG0000008	XP_033139686.1, XP_033140769.1	AL5G20470
OG0000008	XP_009115858.3	AL5G32180, AL5G32140, AL5G32150
OG0000009	XP_033139461.1	AL251U10020, AL3G32130
OG0000009	XP_033141077.1	AL1G49730
OG0000009	XP_033134456.1, XP_033146265.1	AL8G14160
OG0000009	XP_033128715.1, XP_018515150.1	AL7G37950
OG0000009	XP_009107743.1	AL4G34770
OG0000009	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1	AL2G39630
OG0000009	XP_009139341.2, XP_009103764.1, XP_009152173.2, XP_009117699.2, XP_033144437.1	AL4G46120, AL8G23160
OG0000009	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1	AL1G62100
OG0000011	XP_018509279.1, XP_033141867.1	AL8G22980
OG0000011	XP_033139088.1, XP_033131994.1, XP_033139376.1	AL7G52850
OG0000011	XP_033143559.1, XP_033143864.1, XP_033136826.1	AL1G50520, AL5G34620, AL5G17780
OG0000011	XP_033143497.1, XP_033129499.1, XP_018513221.2, XP_033148218.1, XP_018514420.1	AL2G26450
OG0000011	XP_033132530.1	AL8G24370
OG0000011	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1	AL2G23260
OG0000012	XP_033134396.1, XP_009140434.1, XP_009124217.1	AL8G15640, AL3G37530, AL6G20560
OG0000015	XP_033148829.1	AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160, AL1G65620
OG0000015	XP_033143451.1	AL3G46060
OG0000015	XP_018509062.1, XP_009118914.1	AL3G46050
OG0000015	XP_033143221.1	AL1G29330, AL6G27260
OG0000016	XP_033140973.1	AL2G23610
OG0000016	XP_033138989.1, XP_033129378.1, XP_033129363.1, XP_033139530.1	AL5G12380, AL5G12270
OG0000021	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170
OG0000022	XP_009121467.1	AL6G27650
OG0000022	XP_009112698.1	AL2G13120
OG0000022	XP_009112701.1	AL2G13070
OG0000022	XP_033134453.1	AL1G24190
OG0000022	XP_033133748.1	AL1G23970, AL1G24080
OG0000022	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1	AL1G23630, AL1G24180, AL1G23620
OG0000022	XP_009118532.1	AL1G16610
OG0000022	XP_009112843.1	AL2G10190, AL2G10200
OG0000022	XP_009140073.1	AL7G48260
OG0000022	XP_009114567.1	AL3G29640
OG0000023	XP_033134273.1	AL7G45280, AL8G19630
OG0000023	XP_009139567.2, XP_018513679.2	AL8G19620
OG0000023	XP_033139160.1, XP_033139271.1	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450
OG0000023	XP_033144175.1, XP_033139020.1, XP_033139451.1	AL6G40750
OG0000023	XP_033134299.1, XP_033130737.1	AL7G44260
OG0000024	XP_018512901.1	AL4G16470
OG0000024	XP_009144063.2, XP_018514372.2, XP_033148397.1	AL3G45420, AL4G35160
OG0000024	XP_009116539.1	AL5G23680
OG0000024	XP_033132209.1	AL1G45210
OG0000025	XP_033129969.1	AL6G41860
