Orthogroup	Brassica_rapa	Alyssum_gmelinii
OG0000000	XP_009139680.2, XP_009119930.2, XP_009128546.1	Ag071G5244500, Ag014G1982800, Ag013G1560600
OG0000000	XP_009123079.1	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800
OG0000000	XP_009150345.1, XP_033134315.1	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900
OG0000000	XP_033146952.1	Ag011G1252700, Ag054G4887300
OG0000000	XP_009140188.1, XP_009150035.2, XP_018514383.1, XP_033148610.1, XP_009150816.2, XP_009103791.2, XP_009103405.1	Ag055G4904400
OG0000000	XP_033128765.1	Ag061G5017100
OG0000000	XP_009108636.2	Ag048G4660900
OG0000000	XP_033132438.1	Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100
OG0000000	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700
OG0000000	XP_033130110.1	Ag045G4516900
OG0000000	XP_009129274.1	Ag066G5137400
OG0000000	XP_033131605.1, XP_033131962.1	Ag031G3406900
OG0000000	XP_009124577.2	Ag067G5173700
OG0000003	XP_033145314.1, XP_009145336.1	Ag005G0787400
OG0000003	XP_009123480.1, XP_033129481.1, XP_033134448.1, XP_033143250.1, XP_018510870.2	Ag022G2672700, Ag014G2084900
OG0000003	XP_033129527.1	Ag067G5203100
OG0000003	XP_009136045.1, XP_033134345.1, XP_009132643.2	Ag004G0525300
OG0000003	XP_033143345.1, XP_033148588.1, XP_033129372.1	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200
OG0000003	XP_033129330.1	Ag025G2976100
OG0000003	XP_033136094.1	Ag013G1682200, Ag011G1271000
OG0000004	XP_033142309.1, XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1	Ag033G3561100
OG0000004	XP_033140624.1	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600
OG0000004	XP_033138950.1, XP_033130324.1	Ag014G1774700
OG0000004	XP_033142456.1	Ag039G4237400
OG0000004	XP_033131609.1	Ag015G2248700
OG0000004	XP_033131705.1	Ag038G4178200
OG0000004	XP_033129977.1	Ag004G0763800
OG0000005	XP_033148793.1	Ag025G2943500
OG0000007	XP_033146627.1	Ag003G0374300
OG0000008	XP_033145381.1, XP_033147955.1	Ag027G3059500
OG0000008	XP_033145226.1	Ag027G3054100
OG0000008	XP_009115858.3, XP_033131438.1, XP_033138353.1, XP_033131793.1, XP_033131838.1	Ag001G0025300
OG0000009	XP_009142536.1, XP_009111228.2	Ag034G3970500, Ag034G3983500
OG0000009	XP_033143163.1	Ag034G3983600
OG0000009	XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1	Ag034G3964200, Ag048G4700800
OG0000009	XP_009112590.1, XP_018510720.2, XP_009148188.2, XP_009105597.2, XP_033130816.1, XP_009140970.1, XP_033133437.1	Ag015G2264800
OG0000009	XP_033128715.1, XP_018515150.1	Ag058G4969600, Ag052G4854400
OG0000009	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1	Ag016G2319900, Ag025G2919200
OG0000009	XP_009103820.1, XP_018512871.2, XP_033143266.1	Ag013G1476000
OG0000011	XP_018509279.1, XP_033141867.1	Ag019G2529100, Ag039G4286000
OG0000011	XP_009138607.1, XP_033134171.1, XP_018511598.1, XP_009144754.1, XP_009121335.1, XP_009119519.1, XP_009152174.1, XP_033146667.1, XP_033143848.1, XP_033134783.1, XP_033132530.1	Ag027G3007700
OG0000014	XP_033136253.1	Ag002G0182700
OG0000015	XP_018509062.1, XP_009118914.1	Ag018G2438800
OG0000015	XP_009105628.1	Ag002G0203200
OG0000015	XP_009107707.1	Ag024G2875100
OG0000018	XP_033139921.1	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500
OG0000018	XP_033128118.1, XP_009113453.2, XP_033131412.1, XP_033144201.1	Ag013G1384600
OG0000018	XP_033147468.1	Ag074G5275600, Ag020G2558600
OG0000020	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1	Ag068G5227400
OG0000021	XP_033148520.1, XP_033129353.1, XP_033131843.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033143268.1, XP_033141097.1, XP_033129522.1, XP_033141116.1, XP_033136202.1, XP_018513563.2, XP_033129361.1, XP_009119482.2, XP_009124449.2, XP_033128905.1, XP_033141768.1, XP_033139918.1, XP_033131029.1, XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	Ag013G1488900, Ag031G3408800
OG0000022	XP_033134453.1	Ag034G3829100
OG0000022	XP_009118532.1, XP_009112843.1	Ag024G2896000
OG0000022	XP_009140073.1	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000022	XP_009114567.1	Ag014G2040000
OG0000024	XP_018512901.1	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300
OG0000024	XP_033133295.1	Ag013G1663800
OG0000024	XP_009144063.2, XP_018514372.2, XP_033148397.1, XP_009116539.1, XP_033132209.1	Ag013G1754200
OG0000025	XP_033129969.1	Ag015G2255100
OG0000025	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900
OG0000026	XP_033135950.1, XP_033148527.1	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800, Ag287G5488300, Ag015G2272200, Ag023G2829200
OG0000026	XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1, XP_033148607.1	Ag013G1736700, Ag015G2272100
OG0000026	XP_033135946.1, XP_033141290.1	Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400
OG0000027	XP_009134240.1	Ag021G2619200
OG0000027	XP_033142038.1	Ag021G2619800
OG0000027	XP_033142132.1	Ag021G2619900
OG0000027	XP_009136778.1, XP_009136797.2	Ag077G5324400
OG0000027	XP_009139620.1, XP_033132923.1	Ag077G5325100, Ag033G3496300, Ag033G3642400
OG0000027	XP_009137325.1	Ag077G5325900
