Orthogroup	Brassica_oleracea	Aethionema_saxatile
OG0000000	XP_013624469.1, XP_013632641.1, XP_013614693.1	As006G148660, As007G164610, As002G036700, As010G230770
OG0000000	XP_013616947.1	As001G006630, As006G147610
OG0000000	XP_013601799.1, XP_013601618.1	As011G257780
OG0000002	XP_013632468.1	As004G091160
OG0000003	XP_013616729.1, XP_013614903.1, XP_013614006.1, XP_013601193.1, XP_013601450.1, XP_013614675.1	As008G191470
OG0000003	XP_013624301.1	As012G279580
OG0000004	XP_013632878.1	As007G177100
OG0000004	XP_013601024.1, XP_013639767.1	As009G212350
OG0000004	XP_013633199.1, XP_013608522.1	As010G231160
OG0000005	XP_013583375.1	As001G006250
OG0000006	XP_013601509.1, XP_013632690.1, XP_013589492.1, XP_013601489.1, XP_013594943.1, XP_013634243.1, XP_013594580.1, XP_013607658.1, XP_013632912.1, XP_013633055.1, XP_013632862.1, XP_013639373.1, XP_013634404.1, XP_013624232.1, XP_013617093.1, XP_013608313.1, XP_013589320.1, XP_013596032.1, XP_013589057.1, XP_013617368.1, XP_013589618.1, XP_013610211.1, XP_013632892.1, XP_013617022.1, XP_013632874.1, XP_013601472.1, XP_013594005.1, XP_013639708.1, XP_013632751.1, XP_013614260.1, XP_013624837.1, XP_013589419.1, XP_013594807.1, XP_013633894.1, XP_013601610.1, XP_013595036.1, XP_013608454.1, XP_013594910.1, XP_013613948.1, XP_013617289.1, XP_013603784.1, XP_013635455.1, XP_013585405.1, XP_013617290.1, XP_013605146.1, XP_013632908.1, XP_013617071.1, XP_013623981.1	As010G228090
OG0000008	XP_013639786.1	As002G040830, As009G213820
OG0000008	XP_013617727.1	As006G149000
OG0000008	XP_013629664.1	As001G006420
OG0000010	XP_013624647.1	As010G230220
OG0000010	XP_013607930.1	As011G259130
OG0000010	XP_013631190.1, XP_013614262.1, XP_013632961.1, XP_013624639.1	As012G279130
OG0000010	XP_013632903.1	As011G258980
OG0000010	XP_013607832.1	As004G091500
OG0000010	XP_013608044.1	As010G226790, As005G110530
OG0000010	XP_013614685.1, XP_013594427.1	As010G230410
OG0000010	XP_013616976.1	As011G260030, As011G260080
OG0000010	XP_013594557.1	As002G038660, As004G091490, As006G148670, As002G039770
OG0000010	XP_013624744.1	As010G229600, As003G066480
OG0000011	XP_013601212.1	As001G013290, As012G281880
