Orthogroup	Brassica_oleracea	Cardamine_amara
OG0000000	XP_013639674.1, XP_013607775.1	evm.model.RL_4.710
OG0000000	XP_013594978.1	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512
OG0000000	XP_013639843.1	evm.model.RL_8.1072
OG0000000	XP_013587282.1	evm.model.RL_7.1901, evm.model.RL_2.681
OG0000002	XP_013613445.1	evm.model.RL_5.2510
OG0000002	XP_013624612.1	evm.model.RL_3.454
OG0000002	XP_013632468.1	evm.model.RL_1.3300, evm.model.RL_1.3293
OG0000002	XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1	evm.model.RL_7.2065
OG0000002	XP_013632991.1	evm.model.RL_4.153
OG0000003	XP_013632989.1, XP_013624327.1, XP_013594796.1	evm.model.RL_5.2420
OG0000003	XP_013626656.1, XP_013589417.1	evm.model.RL_2.1084
OG0000003	XP_013617438.1, XP_013613453.1	evm.model.RL_6.1194
OG0000003	XP_013599594.1	evm.model.RL_2.548
OG0000003	XP_013624301.1	evm.model.RL_5.2504
OG0000003	XP_013601228.1, XP_013616730.1	evm.model.RL_6.652
OG0000003	XP_013639562.1	evm.model.RL_1.2633
OG0000004	XP_013632878.1	evm.model.RL_2.303
OG0000005	XP_013608026.1, XP_013639201.1, XP_013635062.1	evm.model.RL_4.816, evm.model.RL_4.229
OG0000005	XP_013614431.1	evm.model.RL_2.1105
OG0000005	XP_013632594.1	evm.model.RL_1.3117
OG0000005	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1	evm.model.RL_1.1904, evm.model.RL_2.461
OG0000006	XP_013639373.1	evm.model.RL_2.3087, evm.model.RL_5.3322
OG0000006	XP_013632892.1	evm.model.RL_1.817, evm.model.RL_2.785
OG0000006	XP_013639708.1	evm.model.RL_4.552
OG0000006	XP_013601610.1, XP_013595036.1, XP_013608454.1, XP_013594910.1, XP_013613948.1	evm.model.RL_5.2330
OG0000007	XP_013616974.1	evm.model.RL_2.1094
OG0000007	XP_013624151.1	evm.model.RL_5.2474, evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701, evm.model.RL_2.506
OG0000007	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1	evm.model.RL_2.508
OG0000007	XP_013594922.1	evm.model.RL_1.2700, evm.model.RL_2.507
OG0000007	XP_013624723.1, XP_013632833.1, XP_013594838.1, XP_013639528.1, XP_013617764.1, XP_013628112.1, XP_013639285.1, XP_013617205.1, XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1, XP_013594406.1, XP_013601638.1	evm.model.RL_2.539
OG0000007	XP_013600971.1	evm.model.RL_2.2279
OG0000007	XP_013639421.1	evm.model.RL_2.556
OG0000008	XP_013629664.1	evm.model.RL_7.2148, evm.model.RL_2.761
OG0000008	XP_013608259.1, XP_013614821.1, XP_013584735.1, XP_013639639.1	evm.model.RL_4.1914
OG0000010	XP_013613442.1, XP_013608075.1	evm.model.RL_6.734, evm.model.RL_8.1076
OG0000010	XP_013614262.1	evm.model.RL_5.2592
OG0000010	XP_013613790.1, XP_013617479.1	evm.model.RL_5.2483
OG0000010	XP_013607832.1	evm.model.RL_5.2484
OG0000010	XP_013614685.1, XP_013594427.1	evm.model.RL_4.113
OG0000010	XP_013632708.1	evm.model.RL_7.2062
OG0000011	XP_013608304.1, XP_013624714.1, XP_013583467.1, XP_013601355.1, XP_013624342.1, XP_013583393.1, XP_013594605.1, XP_013588899.1, XP_013614655.1, XP_013614778.1, XP_013607652.1, XP_013601161.1, XP_013594412.1, XP_013633302.1, XP_013594716.1, XP_013608513.1, XP_013624746.1, XP_013594658.1, XP_013624535.1, XP_013601337.1, XP_013601077.1, XP_013623653.1, XP_013633036.1, XP_013633008.1, XP_013633347.1, XP_013601548.1, XP_013616871.1, XP_013594810.1, XP_013623942.1, XP_013588969.1, XP_013607542.1, XP_013594779.1, XP_013608275.1, XP_013639230.1, XP_013589030.1, XP_013583306.1, XP_013607871.1, XP_013639326.1, XP_013601794.1, XP_013624259.1, XP_013617609.1, XP_013617062.1, XP_013608342.1, XP_013632501.1, XP_013617311.1, XP_013608475.1, XP_013624149.1, XP_013594401.1, XP_013608215.1, XP_013601474.1, XP_013589446.1, XP_013615322.1, XP_013624918.1, XP_013594626.1, XP_013589324.1, XP_013624371.1, XP_013616810.1, XP_013639160.1, XP_013639852.1, XP_013607597.1, XP_013632893.1	evm.model.RL_6.446
