HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N9.HOG0000000	OG0000000	n118											Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500								
N9.HOG0000001	OG0000000	n161												CARHR219390							
N9.HOG0000002	OG0000000	n165												CARHR219240, CARHR166210							
N9.HOG0000003	OG0000000	n188											Cg003G0947300	CARHR219900, CARHR034550							
N9.HOG0000004	OG0000000	n307											Cg005G1542700	CARHR228880, CARHR142010							
N9.HOG0000005	OG0000000	n334												CARHR214930							
N9.HOG0000006	OG0000000	n370											Cg003G0820400								
N9.HOG0000007	OG0000000	n373											Cg001G0384000								
N9.HOG0000008	OG0000000	n397											Cg006G1881000								
N9.HOG0000009	OG0000000	n543											Cg003G0793800								
N9.HOG0000010	OG0000000	n766											Cg002G0574500								
N9.HOG0000011	OG0000000	n822											Cg001G0315700								
N9.HOG0000012	OG0000000	n1203											Cg007G2381100								
N9.HOG0000013	OG0000000	n1307											Cg004G1415700								
N9.HOG0000014	OG0000002	n488											Cg002G0472400, Cg005G1504200								
N9.HOG0000015	OG0000003	n2											Cg008G2696300, Cg007G2280100								
N9.HOG0000016	OG0000003	n19											Cg006G1905700								
N9.HOG0000017	OG0000003	n52											Cg003G0916000								
N9.HOG0000018	OG0000003	n93											Cg004G1341600, Cg005G1702400								
N9.HOG0000019	OG0000003	n172											Cg001G0274200, Cg002G0686800								
N9.HOG0000020	OG0000003	n715											Cg001G0323400, Cg008G2981700								
N9.HOG0000021	OG0000004	n10											Cg008G2652500								
N9.HOG0000022	OG0000004	n16											Cg014G3042600								
N9.HOG0000023	OG0000004	n195											Cg005G1712500								
N9.HOG0000024	OG0000004	n222											Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400								
N9.HOG0000025	OG0000004	n235											Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900								
N9.HOG0000026	OG0000004	n249											Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700								
N9.HOG0000027	OG0000004	n719											Cg005G1717800, Cg002G0635300, Cg007G2539100, Cg002G0579000								
N9.HOG0000028	OG0000004	n773											Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600								
N9.HOG0000029	OG0000005	n146											Cg006G1917400								
N9.HOG0000030	OG0000005	n253											Cg005G1502300								
N9.HOG0000031	OG0000005	n280											Cg008G2853000, Cg008G2868800, Cg006G1917300								
N9.HOG0000032	OG0000005	n337											Cg004G1316700, Cg001G0326200, Cg001G0340800								
N9.HOG0000033	OG0000005	n718											Cg006G1917000, Cg006G1876300								
N9.HOG0000034	OG0000007	n4												CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410							
N9.HOG0000035	OG0000007	n33											Cg006G1865000								
N9.HOG0000036	OG0000007	n35											Cg001G0098100								
N9.HOG0000037	OG0000007	n36												CARHR258710							
N9.HOG0000038	OG0000007	n44												CARHR180780, CARHR182530							
N9.HOG0000039	OG0000007	n48												CARHR182520							
N9.HOG0000040	OG0000007	n58												CARHR183200, CARHR262650							
