HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N15.HOG0000000	OG0000000	n44				AL6G27580															
N15.HOG0000001	OG0000000	n165			XP_020887823.1																
N15.HOG0000002	OG0000000	n248				AL1G62960															
N15.HOG0000003	OG0000000	n258				AL1G56600															
N15.HOG0000004	OG0000000	n275			XP_020890704.1, XP_020869115.1	AL7G44730															
N15.HOG0000005	OG0000000	n290				AL1G48970															
N15.HOG0000006	OG0000000	n307			XP_020887909.1	AL3G23500, AL3G28120, AL7G39870															
N15.HOG0000007	OG0000000	n331				AL1G31370															
N15.HOG0000008	OG0000000	n332				AL5G15620, AL7G44660															
N15.HOG0000009	OG0000000	n334				AL3G50410, AL47U10020															
N15.HOG0000010	OG0000000	n373				AL3G39580, AL2G19540															
N15.HOG0000011	OG0000000	n397			XP_020885673.1																
N15.HOG0000012	OG0000000	n406				AL2G28000															
N15.HOG0000013	OG0000000	n416				AL3G15150															
N15.HOG0000014	OG0000000	n543			XP_020883444.1																
N15.HOG0000015	OG0000000	n577				AL2G19310															
N15.HOG0000016	OG0000000	n593				AL2G10230, AL4G12690, AL532U10010, AL8G16910															
N15.HOG0000017	OG0000000	n649				AL1G56620, AL5G26440, AL3G26530, AL7G44950															
N15.HOG0000018	OG0000000	n655				AL8G15150, AL7G49620, AL8G11050															
N15.HOG0000019	OG0000000	n663				AL2G12570, AL4G43860															
N15.HOG0000020	OG0000000	n708			XP_020885936.1	AL7G35240															
N15.HOG0000021	OG0000000	n709			XP_020888529.1																
N15.HOG0000022	OG0000000	n719				AL8G18100, AL4G24130, AL1G50800															
N15.HOG0000023	OG0000000	n722				AL2G17910, AL8G39270															
N15.HOG0000024	OG0000000	n766				AL6G33910, AL4G36510															
N15.HOG0000025	OG0000000	n822				AL3G48680															
N15.HOG0000026	OG0000000	n871				AL396U10020, AL4G14390															
N15.HOG0000027	OG0000000	n885				AL4G39790															
N15.HOG0000028	OG0000000	n976				AL8G17890															
N15.HOG0000029	OG0000000	n990			XP_020867739.1	AL5G12810															
N15.HOG0000030	OG0000000	n995			XP_020872418.1, XP_020889487.1	AL6G49130															
N15.HOG0000031	OG0000000	n1009			XP_020890732.1																
N15.HOG0000032	OG0000000	n1018				AL1G43930															
N15.HOG0000033	OG0000000	n1081				AL8G13780, AL5G13370, AL3G47190, AL8G30500, AL1G48610, AL7G43930, AL4G15390, AL5G12120, AL5G12320, AL5G21300, AL2G19780, AL6G42260, AL4G14060, AL7G38790, AL5G30910, AL5G11100, AL8G22530, AL6G50660, AL110U10010															
N15.HOG0000034	OG0000000	n1109				AL2G18100															
N15.HOG0000035	OG0000000	n1189				AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040															
N15.HOG0000036	OG0000000	n1199				AL6G34180															
N15.HOG0000037	OG0000000	n1235				AL4G31100, AL4G37840, AL7G43450, AL4G13050, AL5G14690															
N15.HOG0000038	OG0000000	n1245				AL8G39910, AL1G63670															
N15.HOG0000039	OG0000000	n1275				AL7G47010															
N15.HOG0000040	OG0000000	n1292				AL6G44150, AL5G22440															
N15.HOG0000041	OG0000000	n1300				AL1G56670															
N15.HOG0000042	OG0000000	n1307				AL8G17990, AL4G17570															
N15.HOG0000043	OG0000000	n1323				AL4G28670, AL4G26210															
N15.HOG0000044	OG0000000	n1325				AL8G16780, AL1G59080, AL5G14470															
N15.HOG0000045	OG0000000	n1328				AL7G39190, AL5G26100, AL3G22550, AL3G46930, AL2G10670															
N15.HOG0000046	OG0000000	n1370				AL7G35400															
N15.HOG0000047	OG0000002	n63				AL7G45780, AL7G43430, AL5G25580, AL2G27160, AL1G53170, AL9U10140, AL5G30280, AL3G49840, AL3G15910															
N15.HOG0000048	OG0000002	n148				AL3G37080															
N15.HOG0000049	OG0000002	n153				AL1G57360															
N15.HOG0000050	OG0000002	n287				AL4G14300															
N15.HOG0000051	OG0000002	n903				AL5G16580, AL1G63470, AL5G20000, AL2G19560, AL122U10020															
N15.HOG0000052	OG0000002	n913				AL6G39770, AL8G20740, AL987U10010															
N15.HOG0000053	OG0000002	n916				AL4G19260															
N15.HOG0000054	OG0000002	n918				AL6G46170, AL5G15420, AL4G14990, AL7G51360, AL7G51800															
N15.HOG0000055	OG0000002	n922				AL5G12150															
N15.HOG0000056	OG0000003	n2				AL7G30150, AL5G20380, AL488U10010, AL4G29570															
N15.HOG0000057	OG0000003	n28			XP_020881895.1																
N15.HOG0000058	OG0000003	n100				AL1G64130, AL5G19200, AL5G16490															
N15.HOG0000059	OG0000003	n104				AL6G17120															
N15.HOG0000060	OG0000003	n107				AL1G59200, AL3G47980, AL6G47170, AL3G48090															
N15.HOG0000061	OG0000003	n112				AL1G46060, AL4G47110, AL6G10850															
N15.HOG0000062	OG0000003	n118				AL8G41490, AL4G39950, AL363U10020															
N15.HOG0000063	OG0000003	n150				AL7G48880															
N15.HOG0000064	OG0000003	n197				AL4G18120															
N15.HOG0000065	OG0000003	n207				AL1G28060, AL5G26050, AL7G43180															
N15.HOG0000066	OG0000003	n211				AL8G18640, AL1G65630, AL8G25640															
N15.HOG0000067	OG0000003	n217				AL3G36810															
N15.HOG0000068	OG0000003	n245				AL433U10010															
N15.HOG0000069	OG0000003	n308				AL4G19540															
N15.HOG0000070	OG0000003	n332				AL1G57700, AL8G16600															
N15.HOG0000071	OG0000003	n340				AL7G45130															
N15.HOG0000072	OG0000003	n348				AL9U11720, AL4G19380															
N15.HOG0000073	OG0000003	n350				AL5G12450															
N15.HOG0000074	OG0000003	n353				AL1G66530															
N15.HOG0000075	OG0000003	n368				AL3G39680															
N15.HOG0000076	OG0000003	n381				AL5G39250															
N15.HOG0000077	OG0000003	n389				AL5G19450															
N15.HOG0000078	OG0000003	n392				AL2G17040															
N15.HOG0000079	OG0000003	n401				AL6G19270															
N15.HOG0000080	OG0000003	n423				AL1G54810, AL3G36170															
N15.HOG0000081	OG0000003	n432				AL3G42970															
N15.HOG0000082	OG0000003	n493				AL1G51710															
N15.HOG0000083	OG0000003	n500				AL1G50760															
N15.HOG0000084	OG0000003	n541				AL3G44960															
N15.HOG0000085	OG0000003	n553				AL4G18440															
N15.HOG0000086	OG0000003	n566				AL8G19180, AL27U10030															
N15.HOG0000087	OG0000003	n596				AL3G42620															
N15.HOG0000088	OG0000003	n600				AL481U10010															
N15.HOG0000089	OG0000003	n657				AL8G18370															
N15.HOG0000090	OG0000003	n685				AL4G12920, AL2G17030															
N15.HOG0000091	OG0000003	n709				AL668U10010, AL2G31940															
N15.HOG0000092	OG0000003	n755			XP_020883515.1																
N15.HOG0000093	OG0000003	n776				AL96U10010															
N15.HOG0000094	OG0000003	n785				AL5G25470, AL5G10040, AL1G46090															
N15.HOG0000095	OG0000003	n799			XP_020887717.1	AL7G34100															
N15.HOG0000096	OG0000003	n801				AL3G40240, AL2G10360															
N15.HOG0000097	OG0000004	n6				AL4G19570															
N15.HOG0000098	OG0000004	n16				AL1G59120															
N15.HOG0000099	OG0000004	n65				AL5G28990															
N15.HOG0000100	OG0000004	n158				AL2G22640															
N15.HOG0000101	OG0000004	n214			XP_020870151.1, XP_020870162.1																
N15.HOG0000102	OG0000004	n222			XP_020886397.1, XP_020866436.1																
N15.HOG0000103	OG0000004	n265			XP_020870326.1, XP_020890321.1, XP_020887182.1																
N15.HOG0000104	OG0000004	n271			XP_020891399.1																
