HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N17.HOG0000000	OG0000000	n12							XP_013594332.1												
N17.HOG0000001	OG0000000	n132							XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1	XP_009139680.2											
N17.HOG0000002	OG0000000	n142							XP_013601491.1, XP_013625599.1												
N17.HOG0000003	OG0000000	n144							XP_013589527.1												
N17.HOG0000004	OG0000000	n150							XP_013629098.1, XP_013639526.1	XP_009119930.2											
N17.HOG0000005	OG0000000	n153							XP_013595181.1, XP_013594888.1	XP_009128546.1											
N17.HOG0000006	OG0000000	n161							XP_013589281.1, XP_013639605.1	XP_009117155.1											
N17.HOG0000007	OG0000000	n187							XP_013639285.1, XP_013616974.1												
N17.HOG0000008	OG0000000	n188							XP_013589224.1	XP_009123079.1											
N17.HOG0000009	OG0000000	n232							XP_013607847.1	XP_033138771.1											
N17.HOG0000010	OG0000000	n260							XP_013615253.1												
N17.HOG0000011	OG0000000	n268							XP_013595033.1, XP_013632378.1												
N17.HOG0000012	OG0000000	n271							XP_013601606.1	XP_033148634.1											
N17.HOG0000013	OG0000000	n275							XP_013631219.1												
N17.HOG0000014	OG0000000	n307							XP_013639798.1	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1											
N17.HOG0000015	OG0000000	n338							XP_013608467.1												
N17.HOG0000016	OG0000000	n369							XP_013589426.1, XP_013608138.1, XP_013601226.1	XP_009150345.1											
N17.HOG0000017	OG0000000	n386							XP_013594546.1, XP_013589191.1, XP_013617741.1, XP_013624739.1	XP_033134315.1											
N17.HOG0000018	OG0000000	n453							XP_013624834.1, XP_013617584.1												
N17.HOG0000019	OG0000000	n457							XP_013628140.1, XP_013632803.1												
N17.HOG0000020	OG0000000	n465							XP_013594673.1	XP_033133908.1, XP_033139542.1											
N17.HOG0000021	OG0000000	n474							XP_013639579.1												
N17.HOG0000022	OG0000000	n475							XP_013639401.1, XP_013594791.1												
N17.HOG0000023	OG0000000	n477							XP_013632943.1, XP_013607959.1												
N17.HOG0000024	OG0000000	n479							XP_013614584.1												
N17.HOG0000025	OG0000000	n484							XP_013624981.1	XP_033134352.1, XP_033141135.1, XP_033131653.1, XP_033136613.1, XP_033143400.1, XP_033131005.1, XP_033136774.1, XP_033131803.1, XP_033131796.1, XP_033131795.1											
N17.HOG0000026	OG0000000	n494							XP_013624943.1	XP_033132141.1											
N17.HOG0000027	OG0000000	n495								XP_033143342.1, XP_033132082.1											
N17.HOG0000028	OG0000000	n498								XP_033131560.1											
N17.HOG0000029	OG0000000	n501								XP_033132135.1, XP_033148733.1, XP_033135014.1											
N17.HOG0000030	OG0000000	n505								XP_033138739.1, XP_033148515.1, XP_033131337.1, XP_033143353.1											
N17.HOG0000031	OG0000000	n510							XP_013629898.1, XP_013589204.1	XP_033143430.1											
N17.HOG0000032	OG0000000	n521							XP_013627230.1												
N17.HOG0000033	OG0000000	n526							XP_013594460.1												
N17.HOG0000034	OG0000000	n545							XP_013632831.1												
N17.HOG0000035	OG0000000	n548							XP_013633053.1												
N17.HOG0000036	OG0000000	n550							XP_013594889.1												
N17.HOG0000037	OG0000000	n561							XP_013625528.1, XP_013601584.1	XP_018512944.1											
N17.HOG0000038	OG0000000	n583								XP_033143372.1											
N17.HOG0000039	OG0000000	n628							XP_013589383.1, XP_013589700.1												
N17.HOG0000040	OG0000000	n634							XP_013601857.1, XP_013622853.1, XP_013601345.1												
N17.HOG0000041	OG0000000	n637							XP_013632715.1												
N17.HOG0000042	OG0000000	n639							XP_013634222.1												
N17.HOG0000043	OG0000000	n643							XP_013595032.1	XP_018514383.1											
N17.HOG0000044	OG0000000	n645							XP_013589172.1	XP_033148610.1											
N17.HOG0000045	OG0000000	n664							XP_013617761.1	XP_009150816.2											
N17.HOG0000046	OG0000000	n667							XP_013624139.1												
N17.HOG0000047	OG0000000	n675							XP_013594922.1, XP_013639569.1												
N17.HOG0000048	OG0000000	n677							XP_013639421.1	XP_009103791.2, XP_009103405.1											
N17.HOG0000049	OG0000000	n728							XP_013639528.1	XP_033128765.1											
N17.HOG0000050	OG0000000	n737							XP_013623967.1, XP_013595003.1, XP_013608296.1												
N17.HOG0000051	OG0000000	n740							XP_013617205.1, XP_013594406.1, XP_013601638.1	XP_009108636.2											
N17.HOG0000052	OG0000000	n747							XP_013594455.1, XP_013607556.1, XP_013624151.1												
N17.HOG0000053	OG0000000	n754							XP_013628112.1	XP_033132438.1											
N17.HOG0000054	OG0000000	n761							XP_013632833.1, XP_013594838.1, XP_013624723.1												
N17.HOG0000055	OG0000000	n781							XP_013624532.1												
N17.HOG0000056	OG0000000	n787								XP_009113628.1											
N17.HOG0000057	OG0000000	n788							XP_013624835.1	XP_033146231.1											
N17.HOG0000058	OG0000000	n790							XP_013589327.1, XP_013633450.1	XP_009127418.1											
N17.HOG0000059	OG0000000	n815							XP_013594975.1												
N17.HOG0000060	OG0000000	n845							XP_013632634.1	XP_033131903.1											
N17.HOG0000061	OG0000000	n849								XP_009103419.1											
N17.HOG0000062	OG0000000	n862							XP_013608111.1, XP_013594666.1, XP_013608239.1, XP_013601232.1, XP_013617485.1	XP_033138224.1, XP_009144626.1											
N17.HOG0000063	OG0000000	n876								XP_033130110.1											
N17.HOG0000064	OG0000000	n899								XP_033129351.1											
N17.HOG0000065	OG0000000	n909								XP_009117187.1											
N17.HOG0000066	OG0000000	n917							XP_013624473.1, XP_013616899.1, XP_013614454.1	XP_009129274.1											
N17.HOG0000067	OG0000000	n925							XP_013594530.1												
N17.HOG0000068	OG0000000	n976							XP_013624623.1												
N17.HOG0000069	OG0000000	n1000							XP_013599200.1, XP_013607275.1												
N17.HOG0000070	OG0000000	n1004							XP_013601459.1												
N17.HOG0000071	OG0000000	n1005							XP_013624458.1												
N17.HOG0000072	OG0000000	n1008							XP_013623358.1												
N17.HOG0000073	OG0000000	n1009							XP_013624757.1, XP_013608522.1	XP_033139897.1											
N17.HOG0000074	OG0000000	n1136								XP_033131605.1, XP_033131962.1											
N17.HOG0000075	OG0000000	n1159							XP_013617633.1	XP_033147600.1											
N17.HOG0000076	OG0000000	n1162								XP_033146511.1											
N17.HOG0000077	OG0000000	n1163								XP_033145007.1											
N17.HOG0000078	OG0000000	n1164								XP_033135264.1, XP_033138684.1, XP_033134820.1, XP_033148015.1, XP_033130565.1, XP_033134232.1, XP_033148785.1											
N17.HOG0000079	OG0000000	n1170								XP_033142632.1, XP_033143073.1											
N17.HOG0000080	OG0000000	n1183							XP_013594493.1	XP_033142720.1											
N17.HOG0000081	OG0000000	n1205							XP_013617747.1, XP_013625011.1, XP_013583433.1	XP_033147264.1											
N17.HOG0000082	OG0000000	n1211							XP_013601125.1	XP_033134838.1											
N17.HOG0000083	OG0000000	n1219								XP_033130352.1											
N17.HOG0000084	OG0000000	n1220								XP_033142250.1											
N17.HOG0000085	OG0000000	n1228							XP_013617255.1	XP_009114092.1											
N17.HOG0000086	OG0000000	n1230							XP_013624915.1												
N17.HOG0000087	OG0000000	n1231							XP_013595166.1	XP_009138592.1											
N17.HOG0000088	OG0000000	n1233								XP_009103531.2											
N17.HOG0000089	OG0000000	n1245								XP_033134325.1, XP_033135924.1											
N17.HOG0000090	OG0000000	n1272							XP_013601024.1, XP_013601437.1												
N17.HOG0000091	OG0000000	n1280							XP_013639767.1												
N17.HOG0000092	OG0000000	n1292							XP_013632885.1, XP_013624410.1												
N17.HOG0000093	OG0000000	n1307							XP_013632878.1	XP_009124577.2											
N17.HOG0000094	OG0000000	n1370							XP_013633487.1, XP_013633135.1, XP_013639278.1												
N17.HOG0000095	OG0000002	n10							XP_013624587.1												
N17.HOG0000096	OG0000002	n21							XP_013594480.1												
N17.HOG0000097	OG0000002	n22							XP_013624534.1, XP_013617579.1, XP_013617544.1												
N17.HOG0000098	OG0000002	n25							XP_013630563.1, XP_013613891.1												
N17.HOG0000099	OG0000002	n30							XP_013589182.1	XP_033140595.1											
N17.HOG0000100	OG0000002	n33							XP_013617573.1												
N17.HOG0000101	OG0000002	n34							XP_013613929.1, XP_013594570.1	XP_018511523.1											
N17.HOG0000102	OG0000002	n38							XP_013601542.1												
N17.HOG0000103	OG0000002	n40							XP_013629257.1, XP_013601258.1												
N17.HOG0000104	OG0000002	n330							XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1												
N17.HOG0000105	OG0000002	n368							XP_013624612.1												
N17.HOG0000106	OG0000002	n378							XP_013615241.1, XP_013624472.1												
N17.HOG0000107	OG0000002	n437							XP_013632468.1	XP_033138748.1											
N17.HOG0000108	OG0000002	n571							XP_013594451.1												
N17.HOG0000109	OG0000002	n600							XP_013608132.1												
N17.HOG0000110	OG0000002	n602							XP_013617459.1												
N17.HOG0000111	OG0000002	n638							XP_013624531.1												
N17.HOG0000112	OG0000002	n695							XP_013617501.1	XP_033139562.1											
N17.HOG0000113	OG0000002	n702							XP_013624889.1	XP_033139102.1											
N17.HOG0000114	OG0000002	n703							XP_013627007.1	XP_033129425.1											
N17.HOG0000115	OG0000002	n704							XP_013601271.1, XP_013617774.1												
N17.HOG0000116	OG0000002	n707							XP_013588955.1, XP_013613745.1, XP_013639517.1, XP_013583333.1	XP_033129376.1											
N17.HOG0000117	OG0000002	n711							XP_013617626.1, XP_013617419.1												
N17.HOG0000118	OG0000002	n712							XP_013632734.1, XP_013624189.1, XP_013639686.1, XP_013614171.1												
N17.HOG0000119	OG0000002	n716							XP_013601115.1	XP_033139223.1											
N17.HOG0000120	OG0000002	n717							XP_013613445.1, XP_013614194.1, XP_013594822.1, XP_013601080.1, XP_013589610.1	XP_033129408.1											
N17.HOG0000121	OG0000002	n724							XP_013632991.1, XP_013616926.1, XP_013629770.1, XP_013632851.1, XP_013624497.1												
N17.HOG0000122	OG0000002	n733							XP_013617221.1	XP_033134214.1, XP_033135851.1, XP_033147588.1, XP_033138789.1, XP_033129436.1, XP_033148879.1, XP_033142691.1, XP_033134367.1, XP_033136957.1, XP_033143541.1											
N17.HOG0000123	OG0000002	n743							XP_013632894.1, XP_013617715.1, XP_013607692.1	XP_033136250.1, XP_033134280.1, XP_033139166.1											
N17.HOG0000124	OG0000002	n751							XP_013615062.1	XP_033134986.1											
N17.HOG0000125	OG0000002	n752							XP_013617294.1	XP_033128755.1											
N17.HOG0000126	OG0000002	n856							XP_013624471.1	XP_033148076.1											
N17.HOG0000127	OG0000002	n857							XP_013630619.1	XP_033134169.1											
N17.HOG0000128	OG0000002	n866							XP_013632797.1												
N17.HOG0000129	OG0000003	n2							XP_013589605.1, XP_013624294.1												
N17.HOG0000130	OG0000003	n34							XP_013594483.1	XP_033145314.1											
N17.HOG0000131	OG0000003	n35							XP_013632484.1	XP_009145336.1											
N17.HOG0000132	OG0000003	n40							XP_013616875.1												
N17.HOG0000133	OG0000003	n43							XP_013589405.1, XP_013595187.1												
N17.HOG0000134	OG0000003	n47							XP_013607730.1, XP_013595127.1	XP_009106506.2											
N17.HOG0000135	OG0000003	n76							XP_013617895.1	XP_033147757.1, XP_018509111.1, XP_033133957.1											
N17.HOG0000136	OG0000003	n82							XP_013601861.1	XP_033145281.1, XP_033134016.1											
N17.HOG0000137	OG0000003	n85							XP_013613505.1, XP_013632463.1												
N17.HOG0000138	OG0000003	n100							XP_013589325.1												
N17.HOG0000139	OG0000003	n112							XP_013589254.1												
N17.HOG0000140	OG0000003	n124							XP_013624212.1												
N17.HOG0000141	OG0000003	n132							XP_013633333.1, XP_013624315.1												
N17.HOG0000142	OG0000003	n134							XP_013588987.1, XP_013583277.1	XP_033129481.1, XP_033134448.1											
N17.HOG0000143	OG0000003	n138							XP_013607765.1	XP_033143250.1											
N17.HOG0000144	OG0000003	n160							XP_013617795.1	XP_018510870.2											
N17.HOG0000145	OG0000003	n172							XP_013601139.1												
N17.HOG0000146	OG0000003	n197								XP_033131784.1											
N17.HOG0000147	OG0000003	n204							XP_013601835.1	XP_033138005.1, XP_033136248.1											
N17.HOG0000148	OG0000003	n220							XP_013617138.1, XP_013607918.1												
N17.HOG0000149	OG0000003	n236							XP_013617405.1, XP_013608114.1												
N17.HOG0000150	OG0000003	n242							XP_013639726.1												
N17.HOG0000151	OG0000003	n286							XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1												
N17.HOG0000152	OG0000003	n401							XP_013639646.1, XP_013608327.1, XP_013608171.1, XP_013617581.1	XP_009136045.1											
N17.HOG0000153	OG0000003	n413							XP_013632772.1	XP_033134345.1											
N17.HOG0000154	OG0000003	n417							XP_013616902.1, XP_013627293.1, XP_013639645.1, XP_013583424.1	XP_009132643.2											
N17.HOG0000155	OG0000003	n423							XP_013639347.1												
N17.HOG0000156	OG0000003	n432								XP_033133942.1											
N17.HOG0000157	OG0000003	n445							XP_013639397.1, XP_013608047.1, XP_013589064.1, XP_013589011.1, XP_013633237.1, XP_013613698.1												
N17.HOG0000158	OG0000003	n451							XP_013607939.1												
N17.HOG0000159	OG0000003	n455								XP_033143345.1											
N17.HOG0000160	OG0000003	n456							XP_013608078.1												
N17.HOG0000161	OG0000003	n459								XP_033148588.1											
N17.HOG0000162	OG0000003	n466							XP_013614573.1	XP_033129372.1											
N17.HOG0000163	OG0000003	n480							XP_013632736.1												
N17.HOG0000164	OG0000003	n481							XP_013595073.1												
N17.HOG0000165	OG0000003	n486							XP_013607513.1												
N17.HOG0000166	OG0000003	n487							XP_013614042.1, XP_013589034.1, XP_013601599.1												
N17.HOG0000167	OG0000003	n497							XP_013639494.1, XP_013639204.1												
N17.HOG0000168	OG0000003	n500								XP_033138751.1											
N17.HOG0000169	OG0000003	n520							XP_013613468.1, XP_013617596.1, XP_013617356.1	XP_033129393.1											
N17.HOG0000170	OG0000003	n543							XP_013627043.1	XP_009107616.2											
N17.HOG0000171	OG0000003	n547							XP_013617494.1, XP_013632789.1												
N17.HOG0000172	OG0000003	n549							XP_013601566.1, XP_013639497.1												
N17.HOG0000173	OG0000003	n551							XP_013624636.1, XP_013614100.1												
N17.HOG0000174	OG0000003	n554							XP_013632720.1, XP_013639355.1, XP_013588945.1, XP_013632709.1, XP_013583280.1, XP_013601339.1	XP_033133979.1											
N17.HOG0000175	OG0000003	n563							XP_013639556.1, XP_013617158.1	XP_033141128.1											
N17.HOG0000176	OG0000003	n565							XP_013594697.1	XP_009119170.2											
N17.HOG0000177	OG0000003	n608							XP_013589602.1												
N17.HOG0000178	OG0000003	n620								XP_033138815.1, XP_033128797.1											
N17.HOG0000179	OG0000003	n637							XP_013633631.1, XP_013601807.1, XP_013589218.1	XP_009102097.1											
N17.HOG0000180	OG0000003	n649							XP_013601581.1, XP_013594653.1												
N17.HOG0000181	OG0000003	n651							XP_013617757.1												
N17.HOG0000182	OG0000003	n652							XP_013594768.1	XP_033129330.1											
N17.HOG0000183	OG0000003	n654							XP_013615239.1												
N17.HOG0000184	OG0000003	n655							XP_013601482.1, XP_013633133.1												
N17.HOG0000185	OG0000003	n658							XP_013607894.1, XP_013589311.1												
N17.HOG0000186	OG0000003	n665							XP_013607484.1	XP_033129452.1											
N17.HOG0000187	OG0000003	n666							XP_013601145.1	XP_018512128.2											
N17.HOG0000188	OG0000003	n667							XP_013617846.1, XP_013632539.1	XP_009118886.2											
N17.HOG0000189	OG0000003	n671							XP_013630775.1	XP_033141698.1											
N17.HOG0000190	OG0000003	n676							XP_013589202.1												
N17.HOG0000191	OG0000003	n678							XP_013595008.1												
N17.HOG0000192	OG0000003	n698							XP_013617246.1												
N17.HOG0000193	OG0000003	n708							XP_013601220.1												
N17.HOG0000194	OG0000003	n716								XP_033129442.1											
N17.HOG0000195	OG0000003	n731							XP_013595077.1, XP_013639673.1, XP_013608157.1												
N17.HOG0000196	OG0000003	n736							XP_013589269.1												
N17.HOG0000197	OG0000003	n755								XP_033142170.1, XP_033143214.1											
N17.HOG0000198	OG0000003	n767							XP_013608127.1	XP_033146253.1											
N17.HOG0000199	OG0000003	n768							XP_013608302.1, XP_013595068.1	XP_009113517.1											
N17.HOG0000200	OG0000003	n771							XP_013588986.1												
N17.HOG0000201	OG0000003	n776							XP_013639486.1, XP_013624949.1, XP_013624679.1, XP_013608037.1, XP_013617230.1, XP_013601547.1												
N17.HOG0000202	OG0000003	n785							XP_013624393.1, XP_013589306.1												
N17.HOG0000203	OG0000003	n799							XP_013624580.1												
N17.HOG0000204	OG0000003	n801							XP_013607533.1												
N17.HOG0000205	OG0000004	n10							XP_013639674.1, XP_013607775.1	XP_033142309.1											
N17.HOG0000206	OG0000004	n44							XP_013624852.1, XP_013624387.1, XP_013633000.1	XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1											
N17.HOG0000207	OG0000004	n51								XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1											
N17.HOG0000208	OG0000004	n66							XP_013594448.1												
N17.HOG0000209	OG0000004	n85							XP_013639070.1, XP_013624132.1, XP_013604648.1, XP_013622913.1, XP_013614766.1, XP_013617564.1, XP_013620246.1, XP_013622932.1, XP_013632119.1, XP_013615033.1, XP_013635049.1, XP_013634393.1, XP_013632334.1, XP_013638528.1, XP_013615016.1, XP_013622122.1, XP_013606813.1, XP_013624283.1, XP_013639617.1, XP_013601877.1, XP_013633191.1												
N17.HOG0000210	OG0000004	n158							XP_013590901.1, XP_013608188.1												
N17.HOG0000211	OG0000004	n212								XP_033140624.1											
N17.HOG0000212	OG0000004	n271								XP_033138950.1, XP_033130324.1											
N17.HOG0000213	OG0000004	n342							XP_013588715.1												
N17.HOG0000214	OG0000004	n491							XP_013620525.1, XP_013639090.1, XP_013617768.1, XP_013634238.1, XP_013594179.1	XP_033145979.1											
N17.HOG0000215	OG0000004	n496							XP_013594371.1, XP_013595201.1	XP_033148872.1, XP_033133487.1											
N17.HOG0000216	OG0000004	n501							XP_013602945.1, XP_013601532.1, XP_013623778.1	XP_033132457.1											
N17.HOG0000217	OG0000004	n504							XP_013607655.1	XP_033132962.1											
N17.HOG0000218	OG0000004	n507							XP_013624193.1												
N17.HOG0000219	OG0000004	n522							XP_013633089.1	XP_033139502.1, XP_033139347.1, XP_033139509.1											
N17.HOG0000220	OG0000004	n525								XP_033138897.1											
N17.HOG0000221	OG0000004	n595							XP_013616947.1												
N17.HOG0000222	OG0000004	n618								XP_033145865.1											
N17.HOG0000223	OG0000004	n622							XP_013639729.1	XP_033139403.1, XP_033134206.1											
N17.HOG0000224	OG0000004	n626								XP_033129935.1											
N17.HOG0000225	OG0000004	n628								XP_033139196.1											
N17.HOG0000226	OG0000004	n629								XP_033134263.1, XP_033133987.1											
N17.HOG0000227	OG0000004	n647								XP_033131609.1											
N17.HOG0000228	OG0000004	n712							XP_013601368.1												
N17.HOG0000229	OG0000004	n717							XP_013624478.1												
N17.HOG0000230	OG0000004	n718							XP_013617170.1												
N17.HOG0000231	OG0000004	n731							XP_013608060.1, XP_013632935.1												
N17.HOG0000232	OG0000004	n746								XP_033131705.1											
N17.HOG0000233	OG0000004	n747								XP_033129977.1											
N17.HOG0000234	OG0000004	n749							XP_013632641.1, XP_013624469.1, XP_013614693.1												
N17.HOG0000235	OG0000004	n757								XP_033139092.1, XP_033132083.1											
N17.HOG0000236	OG0000004	n780							XP_013601294.1												
N17.HOG0000237	OG0000004	n784								XP_033138907.1, XP_033138951.1, XP_009139525.2											
N17.HOG0000238	OG0000004	n788								XP_033139378.1, XP_033139209.1											
N17.HOG0000239	OG0000005	n12							XP_013614810.1, XP_013624578.1												
N17.HOG0000240	OG0000005	n26							XP_013624326.1	XP_033147058.1											
N17.HOG0000241	OG0000005	n42							XP_013601863.1	XP_033144892.1											
N17.HOG0000242	OG0000005	n63							XP_013626656.1, XP_013589417.1												
N17.HOG0000243	OG0000005	n68							XP_013639462.1												
N17.HOG0000244	OG0000005	n76							XP_013639428.1												
N17.HOG0000245	OG0000005	n78							XP_013607867.1, XP_013615207.1	XP_018511976.2											
N17.HOG0000246	OG0000005	n82							XP_013632538.1, XP_013624806.1, XP_013589160.1, XP_013589558.1, XP_013615216.1												
N17.HOG0000247	OG0000005	n100								XP_009113007.1											
N17.HOG0000248	OG0000005	n109							XP_013633002.1, XP_013624018.1												
N17.HOG0000249	OG0000005	n123							XP_013624390.1	XP_033148226.1											
N17.HOG0000250	OG0000005	n126							XP_013601099.1												
N17.HOG0000251	OG0000005	n133								XP_009106784.1											
N17.HOG0000252	OG0000005	n136							XP_013624698.1	XP_033147287.1											
N17.HOG0000253	OG0000005	n137							XP_013601267.1, XP_013624493.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013617697.1, XP_013617299.1, XP_013624966.1, XP_013601292.1	XP_018514447.1											
N17.HOG0000254	OG0000005	n149							XP_013615213.1, XP_013627530.1, XP_013589557.1, XP_013632989.1, XP_013594796.1, XP_013624327.1												
N17.HOG0000255	OG0000005	n160							XP_013601768.1												
N17.HOG0000256	OG0000005	n186							XP_013616730.1												
N17.HOG0000257	OG0000005	n243							XP_013639546.1, XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1												
N17.HOG0000258	OG0000005	n256							XP_013617438.1												
N17.HOG0000259	OG0000005	n263							XP_013613453.1												
N17.HOG0000260	OG0000005	n274							XP_013615225.1												
N17.HOG0000261	OG0000005	n279							XP_013594487.1												
