HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N10.HOG0000000	OG0000000	n224									XP_010413204.1										
N10.HOG0000001	OG0000000	n229									XP_010437344.1, XP_010474056.1										
N10.HOG0000002	OG0000000	n242									XP_010484922.1, XP_010430686.1, XP_019088171.1										
N10.HOG0000003	OG0000000	n248									XP_010418622.1										
N10.HOG0000004	OG0000000	n258									XP_019094484.1, XP_010469202.1										
N10.HOG0000005	OG0000000	n275									XP_010419000.1, XP_010431245.1	XP_023632598.1									
N10.HOG0000006	OG0000000	n307									XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1	XP_023644510.1, XP_023644490.1									
N10.HOG0000007	OG0000000	n331									XP_010431244.1										
N10.HOG0000008	OG0000000	n332									XP_019089229.1										
N10.HOG0000009	OG0000000	n370									XP_010497088.1										
N10.HOG0000010	OG0000000	n373									XP_010431321.2, XP_010480531.1										
N10.HOG0000011	OG0000000	n397									XP_010484733.1, XP_010507009.1										
N10.HOG0000012	OG0000000	n411									XP_010412832.1										
N10.HOG0000013	OG0000000	n416									XP_010490225.1, XP_010431586.1										
N10.HOG0000014	OG0000000	n434									XP_010412393.1										
N10.HOG0000015	OG0000000	n435									XP_019093318.1, XP_010436852.1										
N10.HOG0000016	OG0000000	n543									XP_019084310.1, XP_010484878.1										
N10.HOG0000017	OG0000000	n561									XP_019085587.1, XP_019087550.1										
N10.HOG0000018	OG0000000	n570									XP_019090119.1										
N10.HOG0000019	OG0000000	n572									XP_010518602.1, XP_019089085.1										
N10.HOG0000020	OG0000000	n577									XP_010446064.1										
N10.HOG0000021	OG0000000	n593									XP_010507236.1, XP_010513760.1, XP_010495271.1										
N10.HOG0000022	OG0000000	n649									XP_019091045.1										
N10.HOG0000023	OG0000000	n655									XP_010418618.1, XP_010419439.1										
N10.HOG0000024	OG0000000	n660									XP_010419043.1, XP_019092333.1										
N10.HOG0000025	OG0000000	n663									XP_010436306.1										
N10.HOG0000026	OG0000000	n707									XP_010495688.1, XP_010468497.1										
N10.HOG0000027	OG0000000	n716									XP_019097375.1, XP_010513742.1, XP_010495131.1										
N10.HOG0000028	OG0000000	n719									XP_010518579.1										
N10.HOG0000029	OG0000000	n722									XP_010462992.1										
N10.HOG0000030	OG0000000	n766									XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1	XP_023634268.1, XP_023644256.1									
N10.HOG0000031	OG0000000	n806									XP_019098248.1, XP_019093248.1, XP_019092295.1										
N10.HOG0000032	OG0000000	n815									XP_019093305.1										
N10.HOG0000033	OG0000000	n838									XP_019084422.1, XP_010451787.1										
N10.HOG0000034	OG0000000	n840									XP_010456795.1										
N10.HOG0000035	OG0000000	n843									XP_010507173.1, XP_019101891.1										
N10.HOG0000036	OG0000000	n859									XP_010424208.1										
N10.HOG0000037	OG0000000	n871									XP_019101571.1	XP_023636065.1, XP_023634315.1									
N10.HOG0000038	OG0000000	n876									XP_019092328.1, XP_019087439.1, XP_010456766.1	XP_023640349.1									
N10.HOG0000039	OG0000000	n885									XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1										
N10.HOG0000040	OG0000000	n917									XP_019101890.1	XP_023633451.1									
N10.HOG0000041	OG0000000	n990									XP_010463143.1	XP_023633818.1									
N10.HOG0000042	OG0000000	n1008									XP_019098912.1										
N10.HOG0000043	OG0000000	n1009									XP_010507174.1										
N10.HOG0000044	OG0000000	n1018									XP_019082488.1										
N10.HOG0000045	OG0000000	n1071									XP_010481232.1										
N10.HOG0000046	OG0000000	n1081									XP_010480989.1, XP_010513536.1, XP_019094536.1, XP_010445465.1, XP_010418809.1, XP_010468748.2, XP_010445461.1, XP_010424753.1, XP_010446022.1, XP_019101856.1										
N10.HOG0000047	OG0000000	n1109									XP_010412448.1, XP_019094471.1, XP_010506884.1, XP_010430691.1, XP_019089246.1, XP_010468536.1, XP_019091159.1, XP_019096517.1, XP_010513001.1, XP_010484944.1, XP_010507233.1, XP_019099624.1, XP_010424289.1, XP_010468779.1, XP_010513530.1, XP_019094514.1, XP_010495329.1, XP_010495217.1										
N10.HOG0000048	OG0000000	n1129									XP_010481146.1, XP_010446169.1, XP_010424493.1, XP_010481092.1	XP_023643231.1, XP_023644538.1									
N10.HOG0000049	OG0000000	n1136									XP_010468192.1, XP_010424608.1, XP_010451493.1, XP_010451645.1, XP_010490248.1, XP_019085377.1, XP_010495306.1, XP_010480636.1, XP_010468796.1, XP_010495441.1	XP_023639555.1, XP_023633877.1									
N10.HOG0000050	OG0000000	n1150									XP_019093256.1, XP_019085449.1	XP_023634285.1									
N10.HOG0000051	OG0000000	n1203									XP_010473903.1, XP_010512944.1, XP_019099570.1										
N10.HOG0000052	OG0000000	n1235										XP_023642406.1, XP_023644536.1									
N10.HOG0000053	OG0000000	n1245										XP_023640443.1, XP_023633512.1									
N10.HOG0000054	OG0000000	n1275									XP_010419021.1, XP_010490159.1, XP_010474601.1										
N10.HOG0000055	OG0000000	n1279									XP_019095662.1										
N10.HOG0000056	OG0000000	n1292									XP_010513002.1	XP_023638968.1									
N10.HOG0000057	OG0000000	n1300									XP_019100869.1	XP_023635799.1									
N10.HOG0000058	OG0000000	n1307									XP_010495165.1, XP_010495244.1	XP_023632892.1									
N10.HOG0000059	OG0000000	n1325									XP_019099765.1										
N10.HOG0000060	OG0000000	n1328									XP_010468701.1										
N10.HOG0000061	OG0000000	n1333										XP_023634342.1, XP_006300431.2									
N10.HOG0000062	OG0000002	n43									XP_010451318.1, XP_019089215.1, XP_010468898.1, XP_010451603.1, XP_010424741.1, XP_010495427.1, XP_010480610.1, XP_010451602.1, XP_010451170.2, XP_010496006.1, XP_010496846.1, XP_010456559.1, XP_010424499.1, XP_010480911.1, XP_019089153.1, XP_019085481.1, XP_010451667.1, XP_019089100.1										
N10.HOG0000063	OG0000002	n63									XP_010495428.1, XP_010518553.1, XP_010481019.1, XP_010474084.2										
N10.HOG0000064	OG0000002	n84									XP_010450988.1, XP_010490420.1, XP_010412505.1, XP_019087469.1, XP_019092364.1, XP_010473468.1, XP_010501788.1, XP_010462995.1, XP_010445389.1, XP_010468817.1, XP_010412566.1, XP_010456779.1, XP_010495410.1, XP_010495202.1, XP_019094475.1, XP_010495711.1, XP_010496877.1, XP_010412728.1, XP_010513419.1, XP_010513400.1, XP_019087345.1, XP_010480889.1	XP_023640941.1									
N10.HOG0000065	OG0000002	n121									XP_019096180.1										
N10.HOG0000066	OG0000002	n139									XP_010457030.1, XP_010420641.1										
N10.HOG0000067	OG0000002	n145									XP_019085487.1										
N10.HOG0000068	OG0000002	n163									XP_019091135.1										
N10.HOG0000069	OG0000002	n328									XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1										
N10.HOG0000070	OG0000002	n365									XP_010513476.1, XP_010484771.1										
N10.HOG0000071	OG0000002	n452									XP_010475671.1, XP_010480715.1										
N10.HOG0000072	OG0000002	n571									XP_019092262.1, XP_010468482.1, XP_010419143.1, XP_010424375.1, XP_010430672.1										
N10.HOG0000073	OG0000002	n606									XP_010506877.1										
N10.HOG0000074	OG0000002	n617									XP_010424742.1										
N10.HOG0000075	OG0000002	n621									XP_010495565.1										
N10.HOG0000076	OG0000002	n638									XP_019096313.1										
N10.HOG0000077	OG0000002	n655									XP_010413056.1, XP_010501936.1, XP_019082648.1, XP_010445318.1, XP_019096392.1, XP_010462569.1, XP_010412811.1, XP_010495640.1, XP_019086824.1										
N10.HOG0000078	OG0000002	n860									XP_010495465.1										
N10.HOG0000079	OG0000002	n863									XP_010513345.1										
N10.HOG0000080	OG0000003	n2									XP_010418986.1, XP_010424688.1, XP_019085419.1	XP_023641338.1									
N10.HOG0000081	OG0000003	n40									XP_019095265.1, XP_010468638.1										
N10.HOG0000082	OG0000003	n43									XP_019085542.1, XP_019096508.1, XP_019082748.1										
N10.HOG0000083	OG0000003	n64									XP_010462886.1, XP_010418651.1, XP_010481131.1, XP_010431573.1, XP_010463260.1, XP_010446053.1										
N10.HOG0000084	OG0000003	n104									XP_010430863.1										
N10.HOG0000085	OG0000003	n112									XP_010436564.1										
N10.HOG0000086	OG0000003	n124									XP_019082654.1										
N10.HOG0000087	OG0000003	n128									XP_010489852.1										
N10.HOG0000088	OG0000003	n150									XP_010419362.1, XP_019094392.1										
N10.HOG0000089	OG0000003	n154									XP_010507045.1, XP_010490042.1, XP_010412489.1										
N10.HOG0000090	OG0000003	n160									XP_010418577.1, XP_010501871.1, XP_010501997.1										
N10.HOG0000091	OG0000003	n172									XP_010445721.1										
N10.HOG0000092	OG0000003	n180									XP_010445560.1										
N10.HOG0000093	OG0000003	n184									XP_019082529.1, XP_019100691.1										
N10.HOG0000094	OG0000003	n197									XP_019094476.1										
N10.HOG0000095	OG0000003	n217									XP_010430973.1	XP_023638041.1									
N10.HOG0000096	OG0000003	n225									XP_010412668.1										
N10.HOG0000097	OG0000003	n228									XP_010501806.1										
N10.HOG0000098	OG0000003	n236									XP_010512971.1										
N10.HOG0000099	OG0000003	n248									XP_019087498.1, XP_010473996.1, XP_010513199.1, XP_019087344.1, XP_010507014.1, XP_019091090.1										
N10.HOG0000100	OG0000003	n255									XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1										
N10.HOG0000101	OG0000003	n270									XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1										
N10.HOG0000102	OG0000003	n297									XP_010496100.1, XP_010474339.1										
N10.HOG0000103	OG0000003	n340									XP_010467312.1, XP_019082547.1	XP_023637460.1, XP_023637566.1									
N10.HOG0000104	OG0000003	n348									XP_019085605.1										
N10.HOG0000105	OG0000003	n350									XP_010412544.1, XP_010446110.1, XP_010474049.1										
N10.HOG0000106	OG0000003	n353									XP_010462974.1										
N10.HOG0000107	OG0000003	n368									XP_019085582.1, XP_010495255.1, XP_010451229.1, XP_010445454.1, XP_010430851.1										
N10.HOG0000108	OG0000003	n378									XP_010445963.1, XP_010418736.1										
N10.HOG0000109	OG0000003	n381									XP_010425414.1, XP_010430719.1										
N10.HOG0000110	OG0000003	n386									XP_010463243.1										
N10.HOG0000111	OG0000003	n389									XP_010495605.1, XP_010474252.1, XP_010423438.1										
N10.HOG0000112	OG0000003	n392									XP_019087502.1, XP_010462838.1										
N10.HOG0000113	OG0000003	n396									XP_019089261.1										
N10.HOG0000114	OG0000003	n401									XP_019100972.1										
N10.HOG0000115	OG0000003	n410									XP_010435962.1, XP_010513407.1										
N10.HOG0000116	OG0000003	n423									XP_010463164.1, XP_019090146.1, XP_010473202.1										
N10.HOG0000117	OG0000003	n465									XP_019087435.1										
