HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N4.HOG0000000	OG0000000	n59	Ag067G5184800, Ag001G0043700																		
N4.HOG0000001	OG0000000	n67	Ag062G5062000																		
N4.HOG0000002	OG0000000	n102	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500					Aa_G175710.h1.t1													
N4.HOG0000003	OG0000000	n118	Ag071G5244500, Ag014G1982800, Ag013G1560600																		
N4.HOG0000004	OG0000000	n157	Ag051G4809400, Ag012G1326800																		
N4.HOG0000005	OG0000000	n169	Ag031G3405800																		
N4.HOG0000006	OG0000000	n170	Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100																		
N4.HOG0000007	OG0000000	n188	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800																		
N4.HOG0000008	OG0000000	n242	Ag034G3958400, Ag016G2362000, Ag076G5315100																		
N4.HOG0000009	OG0000000	n251	Ag058G4984200, Ag063G5070800, Ag002G0202300, Ag078G5360800																		
N4.HOG0000010	OG0000000	n255	Ag016G2390300, Ag014G2113800																		
N4.HOG0000011	OG0000000	n258	Ag039G4294900, Ag016G2393600																		
N4.HOG0000012	OG0000000	n365	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900																		
N4.HOG0000013	OG0000000	n548	Ag011G1252700																		
N4.HOG0000014	OG0000000	n550	Ag054G4887300																		
N4.HOG0000015	OG0000000	n593	Ag077G5323300, Ag003G0363000, Ag013G1740700																		
N4.HOG0000016	OG0000000	n728	Ag061G5017100																		
N4.HOG0000017	OG0000000	n737	Ag078G5391400																		
N4.HOG0000018	OG0000000	n740	Ag048G4660900																		
