"Cardamine_amara"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"evm.model.RL_1.1"	"AT5G01960.1"	"AT5G01960.1"	"AT5G01960.1"	"N0.HOG0018602"	"AT5G01960.1"	"OG0012169"	"AT5G01960.1"	"AT5G01960.1"	420	426	99	100	427	90.632	786	"AT5G01960.1"	90.632	427	31	6	1	419	1	426	0	786	99	420	426
"evm.model.RL_1.10"	"AT3G02070.1"	"AT3G02070.1"	"AT3G02070.1"	"N0.HOG0017445"	"AT3G02070.1"	"OG0011110"	"AT3G02070.1"	"AT3G02070.1"	220	219	99	100	219	90.411	395	"AT3G02070.1"	90.411	219	21	0	1	219	1	219	2.15e-142	396	99	220	219
"evm.model.RL_1.100"	"AT3G01230.1, AT3G01240.1"	"AT3G01230.1"	NA	"N0.HOG0005021"	"AT3G01230.1, AT3G01240.1"	"OG0001513"	"AT3G01230.1, AT3G01240.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G01230.1"	62.121	132	42	1	1	132	1	124	5.01e-50	155	98	135	126
"evm.model.RL_1.1000"	"AT3G10880.1"	"AT3G10880.1"	"AT3G10880.1"	"N0.HOG0019255"	"AT3G10880.1"	"OG0012779"	"AT3G10880.1"	"AT3G10880.1"	364	319	91	99	334	71.856	414	"AT3G10880.1"	71.856	334	73	6	1	330	1	317	1.37e-149	424	91	364	319
"evm.model.RL_1.1001"	"AT3G10900.1, AT3G30540.1, AT3G10890.1"	"AT3G10890.1"	"AT3G10900.1, AT3G30540.1, AT3G10890.1"	"N0.HOG0008811"	"AT3G10900.1, AT3G30540.1, AT3G10890.1"	"OG0003599"	"AT3G10890.1, AT3G10900.1, AT3G30540.1"	"AT3G10890.1"	417	414	99	99	412	84.223	732	"AT3G10890.1"	84.223	412	64	1	1	412	1	411	0	732	99	417	414
"evm.model.RL_1.1002"	"AT3G10910.1"	"AT3G10910.1"	"AT3G10910.1"	"N0.HOG0018136"	"AT3G10910.1"	"OG0011733"	"AT3G10910.1"	"AT3G10910.1"	184	181	99	100	183	86.339	322	"AT3G10910.1"	86.339	183	23	2	1	183	1	181	2.44e-114	322	99	184	181
"evm.model.RL_1.1003.2.687c87ec"	"AT3G10915.7"	"AT3G10915.7"	"AT3G10915.7"	"N0.HOG0012641"	"AT3G10915.7"	"OG0006656"	"AT3G10915.7"	"AT3G10915.7"	289	251	65	75	188	91.489	339	"AT3G10915.7"	91.489	188	16	0	101	288	64	251	3.24e-122	349	65	289	251
"evm.model.RL_1.1004"	"AT3G10920.1"	"AT3G10920.1"	"AT3G10920.1"	"N0.HOG0011972"	"AT3G10920.1"	"OG0006080"	"AT3G10920.1"	"AT3G10920.1"	232	231	99	99	229	95.633	452	"AT3G10920.1"	95.633	229	10	0	1	229	1	229	3.88e-164	452	99	232	231
"evm.model.RL_1.1005"	"AT5G05300.1"	"AT5G05300.1"	NA	NA	NA	"OG0003961"	"AT5G05300.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G05300.1"	59	100	30	4	8	100	7	102	5.65e-27	94.7	92	101	102
"evm.model.RL_1.1006.1.687c87ec"	"AT3G10940.1"	"AT3G10940.1"	"AT3G10940.1"	"N0.HOG0021446"	"AT3G10940.1"	"OG0014885"	"AT3G10940.1"	"AT3G10940.1"	315	282	99	100	314	80.573	504	"AT3G10940.1"	80.573	314	29	4	1	314	1	282	0	504	99	315	282
"evm.model.RL_1.1007"	"AT3G10950.1"	"AT3G10950.1"	"AT3G10950.1"	"N0.HOG0004955"	"AT3G60245.1, AT3G10950.1"	"OG0001479"	"AT3G10950.1, AT3G60245.1"	"AT3G10950.1"	93	92	99	100	92	94.565	177	"AT3G10950.1"	94.565	92	5	0	1	92	1	92	8.53e-60	177	99	93	92
"evm.model.RL_1.1008"	"AT3G10960.1"	"AT3G10960.1"	"AT3G10960.1"	"N0.HOG0014778"	"AT3G10960.1"	"OG0008631"	"AT3G10960.1"	"AT3G10960.1"	577	579	99	99	570	94.435	1092	"AT3G10960.1"	94.737	570	28	2	7	575	9	577	0	1092	99	577	579
"evm.model.RL_1.1009"	"AT3G10970.1"	"AT3G10970.1"	"AT3G10970.1"	"N0.HOG0018137"	"AT3G10970.1"	"OG0011734"	"AT3G10970.1"	"AT3G10970.1"	365	365	99	100	365	94.521	713	"AT3G10970.1"	94.521	365	19	1	1	364	1	365	0	713	99	365	365
