"Noccaea_praecox"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Np001G000010"	1262	"AT5G65930.3"	"AT5G65930.3"	"orthologue"	"AT5G65930.3"	"N0.HOG0017381"	"AT5G65930.3"	"OG0011056"	"AT5G65930.3"	"AT5G65930.3"	1263	1266	99	100	1268	94.243	2379	"AT5G65930.3"	"94.243"	"1268"	"65"	"3"	"1"	"1262"	"1"	"1266"	"0"	"2379"	"99"	"1263"	"1266"
"Np001G000020"	395	"AT5G65940.1"	"AT5G65940.1"	"orthologue"	"AT5G65940.1"	"N0.HOG0002761"	"AT5G65940.1"	"OG0000539"	"AT2G30650.1, AT2G30660.1, AT5G65940.1"	"AT5G65940.1"	396	378	96	99	380	88.421	693	"AT5G65940.1"	"88.421"	"380"	"41"	"1"	"16"	"395"	"2"	"378"	"0"	"693"	"96"	"396"	"378"
"Np001G000030"	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Np001G000040"	1188	"AT5G65950.1"	"AT5G65950.1"	"orthologue"	"AT5G65950.1"	"N0.HOG0022020"	"AT5G65950.1"	"OG0015452"	"AT5G65950.1"	"AT5G65950.1"	1189	1190	99	99	1182	89.171	2156	"AT5G65950.1"	"89.171"	"1182"	"128"	"0"	"1"	"1182"	"1"	"1182"	"0"	"2156"	"99"	"1189"	"1190"
"Np001G000070"	404	"AT5G65960.1"	"AT5G65960.1"	"orthologue"	"AT5G65960.1"	"N0.HOG0016330"	"AT5G65960.1"	"OG0010086"	"AT5G65960.1"	"AT5G65960.1"	405	393	98	98	387	86.822	629	"AT5G65960.1"	"86.869"	"396"	"49"	"3"	"9"	"404"	"1"	"393"	"0"	"629"	"98"	"405"	"393"
"Np001G000080"	395	"AT5G65980.1"	"AT5G65980.1"	"orthologue"	"AT5G65980.1"	"N0.HOG0015102"	"AT5G65980.1"	"OG0008946"	"AT5G65980.1"	"AT5G65980.1"	396	395	99	100	395	93.671	729	"AT5G65980.1"	"93.671"	"395"	"25"	"0"	"1"	"395"	"1"	"395"	"0"	"729"	"99"	"396"	"395"
"Np001G000090"	420	"AT5G65990.1"	"AT5G65990.1"	"orthologue"	"AT5G65990.1"	"N0.HOG0017352"	"AT5G65990.1"	"OG0011028"	"AT5G65990.1"	"AT5G65990.1"	421	427	99	99	426	93.192	722	"AT5G65990.1"	"93.192"	"426"	"22"	"1"	"1"	"419"	"1"	"426"	"0"	"722"	"99"	"421"	"427"
"Np001G000100"	168	"AT5G66000.1"	"AT5G66000.1"	"orthologue"	"AT5G66000.1"	"N0.HOG0026278"	"AT5G66000.1"	"OG0019508"	"AT5G66000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66000.1"	"54.505"	"222"	"40"	"9"	"1"	"168"	"1"	"215"	"3.14e-34"	"119"	"99"	"169"	"215"
"Np001G000110"	258	"AT5G66010.1"	"AT5G66010.1"	"orthologue"	"AT5G66010.1"	"N0.HOG0020123"	"AT5G66010.1"	"OG0013608"	"AT5G66010.1"	"AT5G66010.1"	259	255	99	100	261	87.356	421	"AT5G66010.1"	"87.356"	"261"	"24"	"5"	"1"	"258"	"1"	"255"	"6.44e-151"	"421"	"99"	"259"	"255"
"Np001G000120"	251	"AT5G66010.1"	"AT5G66010.1"	"orthologue"	"AT5G66010.1"	"N0.HOG0020123"	"AT5G66010.1"	"OG0013608"	"AT5G66010.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66010.1"	"87.008"	"254"	"24"	"5"	"1"	"251"	"8"	"255"	"1.29e-145"	"407"	"99"	"252"	"255"
"Np001G000130"	589	"AT5G66020.1"	"AT5G66020.1"	"orthologue"	"AT5G66020.1"	"N0.HOG0007771"	"AT5G66020.1"	"OG0002950"	"AT3G51460.1, AT5G66020.1"	"AT5G66020.1"	590	593	99	99	588	91.837	1133	"AT5G66020.1"	"91.837"	"588"	"47"	"1"	"3"	"589"	"6"	"593"	"0"	"1133"	"99"	"590"	"593"
"Np001G000140"	793	"AT5G66030.1"	"AT5G66030.1"	"orthologue"	"AT5G66030.1"	"N0.HOG0020122"	"AT5G66030.1"	"OG0013607"	"AT5G66030.1"	"AT5G66030.1"	794	788	99	100	807	84.882	1238	"AT5G66030.1"	"84.882"	"807"	"89"	"7"	"1"	"793"	"1"	"788"	"0"	"1238"	"99"	"794"	"788"
"Np001G000150"	123	"AT5G66040.1"	"AT5G66040.1"	"other"	NA	NA	NA	"OG0017043"	"AT5G66040.1"	"AT5G66040.1"	124	120	98	99	121	78.512	199	"AT5G66040.1"	"78.512"	"121"	"24"	"1"	"1"	"121"	"1"	"119"	"1.63e-67"	"199"	"98"	"124"	"120"
"Np001G000160"	92	"AT2G20890.1"	"AT2G20890.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G20890.1"	"55.556"	"63"	"24"	"1"	"3"	"65"	"5"	"63"	"2.24e-14"	"65.9"	"68"	"93"	"300"
"Np001G000170"	343	"AT5G66050.1"	"AT5G66050.1"	"orthologue"	"AT5G66050.1"	"N0.HOG0022019"	"AT5G66050.1"	"OG0015451"	"AT5G66050.1"	"AT5G66050.1"	344	340	99	100	344	81.686	528	"AT5G66050.1"	"81.686"	"344"	"58"	"3"	"1"	"343"	"1"	"340"	"0"	"528"	"99"	"344"	"340"
"Np001G000180"	423	"AT5G66055.1"	"AT5G66055.1"	"orthologue"	"AT5G66055.1"	"N0.HOG0023573"	"AT5G66055.1"	"OG0016961"	"AT5G66055.1"	"AT5G66055.1"	424	435	99	98	426	86.62	745	"AT5G66055.1"	"86.62"	"426"	"51"	"3"	"3"	"422"	"4"	"429"	"0"	"745"	"99"	"424"	"435"
"Np001G000190"	289	"AT5G66060.1"	"AT5G66060.1"	"orthologue"	"AT5G66060.1"	"N0.HOG0024206"	"AT5G66060.1"	"OG0017581"	"AT5G66060.1"	"AT5G66060.1"	290	289	99	100	289	94.118	571	"AT5G66060.1"	"94.118"	"289"	"17"	"0"	"1"	"289"	"1"	"289"	"0"	"571"	"99"	"290"	"289"
