"Erysimum_linariifolium"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"El001G000010"	"AT1G75210.1"	"AT1G75210.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G75210.1"	86.441	177	21	1	1	174	104	280	8.47e-108	321	99	176	642
"El001G000030"	"AT2G44840.1"	"AT2G44840.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G44840.1"	66.346	104	32	1	35	138	75	175	1.14e-43	144	62	167	226
"El001G000040"	"AT1G05940.1"	"AT1G05940.1"	"AT1G05940.1"	"N0.HOG0023659"	"AT1G05940.1"	"OG0017044"	"AT1G05940.1"	"AT1G05940.1"	568	569	99	100	569	95.606	1072	"AT1G05940.1"	95.606	569	22	1	1	566	1	569	0	1072	99	568	569
"El001G000050"	"AT4G01710.1"	"AT4G01710.1"	NA	"N0.HOG0010232"	"AT4G01710.1, AT5G65274.1"	"OG0004608"	"AT4G01710.1, AT5G65274.1"	"AT4G01710.1"	133	132	99	100	132	97.727	268	"AT4G01710.1"	97.727	132	3	0	1	132	1	132	9.29e-95	268	99	133	132
"El001G000060"	"AT4G00026.1"	"AT4G00026.1"	"AT4G00026.1"	"N0.HOG0012907"	"AT4G00026.1"	"OG0006902"	"AT4G00026.1"	"AT4G00026.1"	275	269	99	99	278	86.331	448	"AT4G00026.1"	86.331	278	23	4	1	274	3	269	1.7e-161	449	99	275	269
"El001G000070"	"AT4G00030.1"	"AT4G00030.1"	"AT4G00030.1"	"N0.HOG0024585"	"AT4G00030.1"	"OG0017936"	"AT4G00030.1"	"AT4G00030.1"	215	212	99	99	214	85.047	355	"AT4G00030.1"	85.981	214	23	2	1	214	3	209	1.41e-130	365	99	215	212
"El001G000080"	"AT4G00040.1"	"AT4G00040.1"	"AT4G00040.1"	"N0.HOG0024586"	"AT4G00040.1"	"OG0017937"	"AT4G00040.1"	"AT4G00040.1"	395	385	99	100	394	91.371	734	"AT4G00040.1"	91.371	394	25	2	1	394	1	385	0	734	99	395	385
"El001G000090"	"AT4G00050.1"	"AT4G00050.1"	"AT4G00050.1"	"N0.HOG0011124"	"AT4G00050.1"	"OG0005361"	"AT4G00050.1"	"AT4G00050.1"	403	399	99	100	403	92.804	660	"AT4G00050.1"	92.804	403	24	4	1	402	1	399	0	660	99	403	399
"El001G000100"	"AT4G00060.1"	"AT4G00060.1"	"AT4G00060.1"	"N0.HOG0022023"	"AT4G00060.1"	"OG0015453"	"AT4G00060.1"	"AT4G00060.1"	1481	1481	99	99	1477	89.573	2584	"AT4G00060.1"	89.63	1485	145	5	1	1480	1	1481	0	2600	99	1481	1481
"El001G000110"	"AT4G00080.1"	"AT4G00080.1"	"AT4G00080.1"	"N0.HOG0016331"	"AT4G00080.1"	"OG0010087"	"AT4G00080.1"	"AT4G00080.1"	216	209	92	95	198	91.414	374	"AT4G00080.1"	91.414	198	17	0	1	198	1	198	3.09e-134	375	92	216	209
"El001G000120"	"AT4G00090.1"	"AT4G00090.1"	"AT4G00090.1"	"N0.HOG0022093"	"AT4G00090.1"	"OG0015523"	"AT4G00090.1"	"AT4G00090.1"	428	430	99	100	430	93.023	822	"AT4G00090.1"	93.023	430	27	1	1	427	1	430	0	822	99	428	430
"El001G000130"	"AT4G00100.1"	"AT4G00100.1"	NA	NA	NA	"OG0000632"	"AT3G60770.1, AT4G00100.1"	"AT4G00100.1"	152	151	99	100	151	97.351	300	"AT4G00100.1"	97.351	151	4	0	1	151	1	151	1.6e-106	300	99	152	151
"El001G000140"	"AT4G00110.1"	"AT4G00110.1"	"AT4G00110.1"	"N0.HOG0004602"	"AT4G00110.1"	"OG0001303"	"AT1G02000.1, AT2G45310.1, AT4G00110.1"	"AT4G00110.1"	430	430	99	100	430	97.907	866	"AT4G00110.1"	97.907	430	8	1	1	429	1	430	0	866	99	430	430
"El001G000170"	"AT4G00120.1"	"AT4G00120.1"	"AT4G00120.1"	"N0.HOG0020124"	"AT4G00120.1"	"OG0013609"	"AT4G00120.1"	"AT4G00120.1"	166	198	99	85	169	88.757	283	"AT4G00120.1"	88.757	169	13	4	1	164	30	197	4.11e-99	283	99	166	198
"El001G000180"	"AT1G73440.1, AT4G00140.1"	"AT1G73440.1"	"AT1G73440.1, AT4G00140.1"	"N0.HOG0018508"	"AT1G73440.1, AT4G00140.1"	"OG0012084"	"AT1G73440.1, AT4G00140.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G73440.1"	65.401	237	59	5	24	249	30	254	2.69e-89	264	90	250	254
"El001G000190"	"AT4G00150.1"	"AT4G00150.1"	"AT4G00150.1"	"N0.HOG0020125"	"AT4G00150.1"	"OG0013610"	"AT4G00150.1"	"AT4G00150.1"	558	558	99	100	564	90.071	919	"AT4G00150.1"	90.426	564	40	8	1	556	1	558	0	934	99	558	558
"El001G000200"	"AT4G00165.1"	"AT4G00165.1"	"AT4G00165.1"	"N0.HOG0025099"	"AT4G00165.1"	"OG0018428"	"AT4G00165.1"	"AT4G00165.1"	129	128	99	100	128	92.969	222	"AT4G00165.1"	92.969	128	9	0	1	128	1	128	1.88e-76	222	99	129	128
"El001G000210"	"AT4G00170.1"	"AT4G00170.1"	"AT4G00170.1"	"N0.HOG0020126"	"AT4G00170.1"	"OG0013611"	"AT4G00170.1"	"AT4G00170.1"	233	239	99	99	239	88.285	398	"AT4G00170.1"	88.285	239	19	4	1	231	1	238	7.48e-143	398	99	233	239
"El001G000220"	"AT4G00180.1"	"AT4G00180.1"	"AT4G00180.1"	"N0.HOG0025319"	"AT4G00180.1"	"OG0018636"	"AT4G00180.1"	"AT4G00180.1"	235	240	95	96	231	88.745	368	"AT4G00180.1"	89.177	231	17	4	11	234	11	240	9.54e-136	380	95	235	240
"El001G000250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G63450.3"	55.263	38	10	2	11	47	55	86	0.003	34.7	42	89	406
"El001G000260"	"AT4G00200.1"	"AT4G00200.1"	"AT4G00200.1"	"N0.HOG0024587"	"AT4G00200.1"	"OG0017938"	"AT4G00200.1"	"AT4G00200.1"	307	318	99	100	321	83.178	450	"AT4G00200.1"	83.178	321	36	7	1	306	1	318	1.08e-160	450	99	307	318
"El001G000270"	"AT4G00210.1"	"AT4G00210.1"	"AT4G00210.1"	"N0.HOG0024299"	"AT4G00210.1"	"OG0017666"	"AT4G00210.1"	"AT4G00210.1"	219	220	99	99	220	81.364	343	"AT4G00210.1"	81.364	220	35	2	1	216	1	218	1.85e-121	343	99	219	220
"El001G000280"	"AT4G00220.1"	"AT4G00220.1"	"AT4G00220.1"	"N0.HOG0012165"	"AT4G00220.1"	"OG0006253"	"AT4G00220.1"	"AT4G00220.1"	230	228	92	93	211	94.787	374	"AT4G00220.1"	94.787	211	11	0	19	229	18	228	2.19e-134	376	92	230	228
