"Arabis_alpina"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Aa_G10.h1.t1"	"AT5G48300.1"	"AT5G48300.1"	NA	NA	NA	"OG0003674"	"AT5G48300.1"	"AT5G48300.1"	522	520	100	100	522	86.095	896	"AT5G48300.1"	86.095	525	65	2	1	522	1	520	0	907	100	522	520
"Aa_G100.h1.t1"	"AT2G04270.5"	"AT2G04270.5"	"AT2G04270.5"	"N0.HOG0023553"	"AT2G04270.5"	"OG0016941"	"AT2G04270.5"	"AT2G04270.5"	832	1001	100	82	832	89.303	1479	"AT2G04270.5"	89.663	832	70	2	1	832	186	1001	0	1479	100	832	1001
"Aa_G10000.h1.t1"	"AT2G21220.1"	"AT2G21220.1"	"AT2G21220.1"	"N0.HOG0006259"	"AT2G21220.1"	"OG0002136"	"AT2G21220.1, AT4G38860.1"	"AT2G21220.1"	106	104	99	99	105	88.571	189	"AT2G21220.1"	88.571	105	10	1	1	105	1	103	2.07e-64	189	99	106	104
"Aa_G100000.h1.t1"	"AT1G66960.2"	"AT1G66960.2"	"AT1G66960.2"	"N0.HOG0005061"	"AT1G66960.2, AT1G78970.1"	"OG0001534"	"AT1G66960.2, AT1G78960.1, AT1G78970.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G78960.1"	84.535	763	118	0	1	763	1	763	0	1381	100	763	763
"Aa_G100010.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G51172.1"	34.247	73	39	3	147	211	129	200	0.003	40	11	592	681
"Aa_G1000110.h1.t1"	"AT4G22100.1, AT3G62750.2"	"AT4G22100.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22100.1, AT3G62750.2"	56.429	140	32	4	23	136	3	139	6.6e-43	147	84	136	507
"Aa_G1000110.h2.t1"	"AT4G22100.1, AT3G62750.2"	"AT4G22100.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22100.1, AT3G62750.2"	56.429	140	32	4	23	136	3	139	6.6e-43	147	84	136	507
"Aa_G100030.h1.t1"	"AT3G52780.1"	"AT3G52780.1"	"AT3G52780.1"	"N0.HOG0024810"	"AT3G52780.1"	"OG0018158"	"AT3G52780.1"	"AT3G52780.1"	427	427	100	100	427	83.841	764	"AT3G52780.1"	83.841	427	69	0	1	427	1	427	0	764	100	427	427
"Aa_G1000330.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G38410.1"	24.113	141	91	3	7	133	78	216	0.012	35.8	64	197	671
"Aa_G100040.h1.t1"	"AT3G52770.1"	"AT3G52770.1"	"AT3G52770.1"	"N0.HOG0004616"	"AT3G52770.1"	"OG0001308"	"AT3G52770.1"	"AT3G52770.1"	69	67	70	100	48	78.261	83.2	"AT3G52770.1"	91.667	48	4	0	1	48	1	48	2.76e-23	83.2	70	69	67
"Aa_G1000440.h1.t1"	"AT3G52140.4"	"AT3G52140.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G52140.4"	100	80	0	0	1	80	1043	1122	3.11e-53	176	100	80	1419
"Aa_G1000440.h2.t1"	"AT3G52140.4"	"AT3G52140.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G52140.4"	100	80	0	0	1	80	1043	1122	3.11e-53	176	100	80	1419
