"Aethionema_saxatile"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"As001G000020"	315	"AT4G28100.1"	"AT4G28100.1"	"orthologue"	"AT4G28100.1"	"N0.HOG0019324"	"AT4G28100.1"	"OG0012836"	"AT4G28100.1"	"AT4G28100.1"	316	304	93	99	298	78.233	473	"AT4G28100.1"	"80.537"	"298"	"41"	"5"	"22"	"315"	"19"	"303"	"4.43e-170"	"473"	"93"	"316"	"304"
"As001G000030"	389	"AT4G28140.1"	"AT4G28140.1"	"orthologue"	"AT4G28140.1"	"N0.HOG0010926"	"AT4G28140.1"	"OG0005192"	"AT4G28140.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28140.1"	"53.333"	"390"	"83"	"14"	"1"	"389"	"1"	"292"	"1.28e-98"	"295"	"99"	"390"	"292"
"As001G000050"	377	"ATMG00810.1"	"ATMG00810.1"	"other"	NA	"N0.HOG0000456"	"ATMG00810.1"	"OG0000049"	"ATMG00810.1"	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00810.1"	"62.887"	"194"	"71"	"1"	"1"	"194"	"33"	"225"	"1.36e-86"	"261"	"51"	"378"	"240"
"As001G000060"	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As001G000070"	237	"AT4G28190.2"	"AT4G28190.2"	"orthologue"	"AT4G28190.2"	"N0.HOG0006938"	"AT2G20825.1, AT4G28190.2"	"OG0002494"	"AT2G20825.1, AT4G28190.2"	"AT4G28190.2"	238	268	99	99	268	78.358	410	"AT4G28190.2"	"78.358"	"268"	"25"	"3"	"1"	"236"	"1"	"267"	"8.91e-147"	"410"	"99"	"238"	"268"
"As001G000080"	93	"AT4G23160.2"	"AT4G23160.2"	"other"	NA	NA	NA	"OG0000085"	"AT4G23160.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	"51.087"	"92"	"44"	"1"	"1"	"92"	"358"	"448"	"8.15e-27"	"102"	"98"	"94"	"1043"
"As001G000090"	350	"AT4G28210.1"	"AT4G28210.1"	"orthologue"	"AT4G28210.1"	"N0.HOG0016945"	"AT4G28210.1"	"OG0010660"	"AT4G28210.1"	"AT4G28210.1"	351	348	96	100	339	77.401	516	"AT4G28210.1"	"78.761"	"339"	"65"	"4"	"13"	"350"	"16"	"348"	"0"	"516"	"96"	"351"	"348"
"As001G000110"	570	"AT4G28220.1"	"AT4G28220.1"	"orthologue"	"AT4G28220.1"	"N0.HOG0023266"	"AT4G28220.1"	"OG0016657"	"AT4G28220.1"	"AT4G28220.1"	571	571	99	100	571	85.989	983	"AT4G28220.1"	"85.989"	"571"	"79"	"1"	"1"	"570"	"1"	"571"	"0"	"983"	"99"	"571"	"571"
"As001G000120"	411	"AT4G28230.1"	"AT4G28230.1"	"orthologue"	"AT4G28230.1"	"N0.HOG0019325"	"AT4G28230.1"	"OG0012837"	"AT4G28230.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28230.1"	"63.741"	"433"	"104"	"14"	"1"	"411"	"1"	"402"	"1.33e-163"	"465"	"99"	"412"	"402"
"As001G000130"	82	"AT4G28240.1"	"AT4G28240.1"	"orthologue"	"AT4G28240.1"	"N0.HOG0009165"	"AT4G28240.1"	"OG0003823"	"AT4G28240.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28240.1"	"67.442"	"86"	"24"	"1"	"1"	"82"	"1"	"86"	"3.07e-38"	"122"	"99"	"83"	"86"
"As001G000140"	354	"AT2G20760.1"	"AT2G20760.1"	"other"	NA	"N0.HOG0015842"	"AT2G20760.1"	"OG0009635"	"AT2G20760.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G20760.1"	"58.621"	"377"	"89"	"10"	"1"	"350"	"1"	"337"	"6e-105"	"311"	"99"	"355"	"338"
"As001G000150"	266	"AT4G28250.1"	"AT4G28250.1"	"orthologue"	"AT4G28250.1"	"N0.HOG0013472"	"AT4G28250.1"	"OG0007413"	"AT4G28250.1"	"AT4G28250.1"	267	264	99	92	244	86.466	461	"AT4G28250.1"	"86.466"	"266"	"34"	"2"	"1"	"266"	"1"	"264"	"5.13e-174"	"479"	"99"	"267"	"264"
"As001G000160"	84	"AT5G42110.1, AT4G28290.1"	"AT4G28290.1"	"orthologue"	"AT5G42110.1, AT4G28290.1"	"N0.HOG0005454"	"AT5G42110.1, AT4G28290.1"	"OG0001730"	"AT4G28290.1, AT5G42110.1"	"AT4G28290.1"	85	80	75	70	58	70.69	67	"AT4G28290.1"	"71.875"	"64"	"15"	"2"	"21"	"84"	"20"	"80"	"4.4e-24"	"86.3"	"75"	"85"	"80"
"As001G000170"	205	"AT4G28270.1"	"AT4G28270.1"	"orthologue"	"AT4G28270.1"	"N0.HOG0010097"	"AT4G28270.1"	"OG0004498"	"AT4G28270.1"	"AT4G28270.1"	206	193	99	100	207	70.048	280	"AT4G28270.1"	"70.048"	"207"	"46"	"6"	"1"	"205"	"1"	"193"	"2.22e-97"	"280"	"99"	"206"	"193"
"As001G000180"	518	"AT4G28260.1"	"AT4G28260.1"	"orthologue"	"AT4G28260.1"	"N0.HOG0014646"	"AT4G28260.1"	"OG0008504"	"AT4G28260.1"	"AT4G28260.1"	519	516	99	100	522	72.414	757	"AT4G28260.1"	"72.414"	"522"	"132"	"5"	"1"	"516"	"1"	"516"	"0"	"772"	"99"	"519"	"516"
"As001G000190"	517	"AT4G28300.1"	"AT4G28300.1"	"orthologue"	"AT4G28300.1"	"N0.HOG0010462"	"AT4G28300.1"	"OG0004801"	"AT4G28300.1"	"AT4G28300.1"	518	496	99	100	536	70.315	629	"AT4G28300.1"	"70.315"	"539"	"95"	"12"	"1"	"517"	"1"	"496"	"0"	"629"	"99"	"518"	"496"
