"Odontarrhena_muralis"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Om001G000020"	"AT4G17150.1"	"AT4G17150.1"	"AT4G17150.1"	"N0.HOG0023187"	"AT4G17150.1"	"OG0016591"	"AT4G17150.1"	"AT4G17150.1"	495	502	99	98	498	84.137	798	"AT4G17150.1"	84.137	498	70	3	1	494	10	502	0	798	99	495	502
"Om001G000030"	"AT4G17170.1"	"AT4G17170.1"	"AT4G17170.1"	"N0.HOG0004093"	"AT4G17170.1"	"OG0001058"	"AT4G17170.1, AT4G35860.1"	"AT4G17170.1"	212	211	99	99	210	99.048	436	"AT4G17170.1"	99.048	210	2	0	1	210	1	210	1.85e-158	436	99	212	211
"Om001G000040"	"AT4G17180.1"	"AT4G17180.1"	"AT4G17180.1"	"N0.HOG0021557"	"AT4G17180.1"	"OG0014994"	"AT4G17180.1"	"AT4G17180.1"	480	475	98	96	454	86.864	849	"AT4G17180.1"	86.864	472	62	0	1	472	1	472	0	864	98	480	475
"Om001G000050"	"AT4G17210.1"	"AT4G17210.1"	"AT4G17210.1"	"N0.HOG0011481"	"AT4G17210.1"	"OG0005666"	"AT4G17210.1"	"AT4G17210.1"	518	527	99	100	527	79.886	783	"AT4G17210.1"	79.886	527	90	3	7	517	1	527	0	784	99	518	527
"Om001G000060"	"AT4G17220.1"	"AT4G17220.1"	"AT4G17220.1"	"N0.HOG0014863"	"AT4G17220.1"	"OG0008715"	"AT4G17220.1"	"AT4G17220.1"	491	513	99	99	506	83.004	765	"AT4G17220.1"	83.004	506	65	5	1	485	1	506	0	770	99	491	513
"Om001G000070"	"AT4G17230.1"	"AT4G17230.1"	"AT4G17230.1"	"N0.HOG0012699"	"AT4G17230.1"	"OG0006708"	"AT4G17230.1"	"AT4G17230.1"	502	529	99	100	532	81.015	875	"AT4G17230.1"	81.015	532	64	6	1	498	1	529	0	875	99	502	529
"Om001G000080"	"AT4G17240.1"	"AT4G17240.1"	"AT4G17240.1"	"N0.HOG0017145"	"AT4G17240.1"	"OG0010841"	"AT4G17240.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17240.1"	66.957	345	61	9	1	294	1	343	6.53e-142	403	99	295	343
"Om001G000090"	"AT4G17260.1"	"AT4G17260.1"	"AT4G17260.1"	"N0.HOG0012714"	"AT4G17260.1"	"OG0006723"	"AT4G17260.1"	"AT4G17260.1"	351	353	99	100	353	92.635	645	"AT4G17260.1"	92.635	353	23	1	1	350	1	353	0	645	99	351	353
"Om001G000100"	"AT4G17270.1"	"AT4G17270.1"	"AT4G17270.1"	"N0.HOG0005139"	"AT5G47540.1, AT4G17270.1"	"OG0001579"	"AT4G17270.1, AT5G47540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17270.1"	87.172	343	44	0	1	343	1	343	0	618	99	344	343
"Om001G000110"	"AT4G17280.1"	"AT4G17280.1"	"AT4G17280.1"	NA	NA	"OG0014582"	"AT4G17280.1"	"AT4G17280.1"	399	402	99	99	398	85.427	658	"AT4G17280.1"	85.427	398	56	1	1	398	7	402	0	676	99	399	402
"Om001G000120"	"AT4G17300.2"	"AT4G17300.2"	"AT4G17300.2"	"N0.HOG0012700"	"AT4G17300.2"	"OG0006709"	"AT4G17300.2"	"AT4G17300.2"	535	587	99	94	552	86.051	985	"AT4G17300.2"	86.051	552	56	4	3	534	37	587	0	985	99	535	587
"Om001G000130"	"AT4G17330.1"	"AT4G17330.1"	"AT4G17330.1"	"N0.HOG0012011"	"AT4G17330.1"	"OG0006118"	"AT4G17330.1"	"AT4G17330.1"	1978	2037	84	81	1676	73.21	2191	"AT4G17330.1"	73.254	1690	403	18	308	1977	377	2037	0	2226	84	1978	2037
"Om001G000140"	"AT4G17340.1"	"AT4G17340.1"	"AT4G17340.1"	"N0.HOG0007969"	"AT4G17340.1"	"OG0003061"	"AT4G17340.1, AT5G47450.1"	"AT4G17340.1"	251	250	99	99	249	95.582	462	"AT4G17340.1"	95.582	249	11	0	1	249	1	249	1.2e-167	462	99	251	250
"Om001G000150"	"AT4G17350.1"	"AT4G17350.1"	"AT4G17350.1"	"N0.HOG0006230"	"AT4G17350.1"	"OG0002122"	"AT4G17350.1, AT5G47440.1"	"AT4G17350.1"	401	405	99	100	405	90.37	711	"AT4G17350.1"	90.37	405	34	2	1	400	1	405	0	729	99	401	405
"Om001G000160"	"AT4G17360.1"	"AT4G17360.1"	"AT4G17360.1"	"N0.HOG0007726"	"AT4G17360.1"	"OG0002921"	"AT4G17360.1, AT5G47435.1"	"AT4G17360.1"	316	328	98	96	316	90.823	592	"AT4G17360.1"	90.823	316	22	2	7	315	13	328	0	592	98	316	328
"Om001G000170"	"AT4G17370.1"	"AT4G17370.1"	"AT4G17370.1"	"N0.HOG0019677"	"AT4G17370.1"	"OG0013182"	"AT4G17370.1"	"AT4G17370.1"	363	368	99	98	360	89.722	682	"AT4G17370.1"	89.722	360	37	0	3	362	9	368	0	682	99	363	368
