"Arabidopsis_lyrata_NCBI"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"XP_002862155.2"	256	"AT5G54190.1"	"AT5G54190.1"	"other"	NA	"N0.HOG0006705"	"AT5G54190.1"	"OG0002377"	"AT4G27440.1, AT5G54190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54190.1"	"98.406"	"251"	"4"	"0"	"1"	"251"	"122"	"372"	"0"	"530"	"98"	"256"	"405"
"XP_002862157.2"	116	"AT3G13120.1"	"AT3G13120.1"	"other"	NA	"N0.HOG0010378"	"AT3G13120.1"	"OG0004728"	"AT3G13120.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13120.1"	"100"	"116"	"0"	"0"	"1"	"116"	"76"	"191"	"1.2e-83"	"241"	"100"	"116"	"191"
"XP_002862158.2"	189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G15290.1"	"95.238"	"189"	"9"	"0"	"1"	"189"	"1"	"189"	"2.76e-128"	"362"	"100"	"189"	"294"
"XP_002862161.2"	114	"AT1G80620.1"	"AT1G80620.1"	"other"	NA	"N0.HOG0011296"	"AT1G80620.1"	"OG0005506"	"AT1G80620.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G80620.1"	"99.123"	"114"	"1"	"0"	"1"	"114"	"301"	"414"	"5.32e-79"	"237"	"100"	"114"	"414"
"XP_002862163.2"	236	"AT1G78480.1"	"AT1G78480.1"	"orthologue"	"AT1G78480.1"	"N0.HOG0016840"	"AT1G78480.1"	"OG0010573"	"AT1G78480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G78970.1"	"93.249"	"237"	"15"	"1"	"1"	"236"	"1"	"237"	"3.84e-162"	"466"	"100"	"236"	"757"
"XP_002862164.2"	156	"AT1G80340.1"	"AT1G80340.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G80340.1"	"94.839"	"155"	"8"	"0"	"1"	"155"	"1"	"155"	"7.93e-104"	"300"	"99"	"156"	"347"
"XP_002862166.2"	218	"AT5G66990.1"	"AT5G66990.1"	"orthologue"	"AT5G66990.1"	"N0.HOG0011119"	"AT5G66990.1"	"OG0005357"	"AT5G66990.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66990.1"	"93.056"	"216"	"14"	"1"	"3"	"218"	"63"	"277"	"2.5e-139"	"390"	"99"	"218"	"277"
"XP_002862167.1"	90	"AT5G43518.1, AT5G43510.2, AT5G43525.1, AT5G43513.1, AT5G43285.1"	"AT5G43285.1"	"orthologue"	"AT5G43518.1, AT5G43510.2, AT5G43525.1, AT5G43513.1, AT5G43285.1"	"N0.HOG0026887"	"AT5G43518.1, AT5G43510.2, AT5G43525.1, AT5G43513.1, AT5G43285.1"	"OG0020047"	"AT5G43285.1, AT5G43510.2, AT5G43513.1, AT5G43518.1, AT5G43525.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G43285.1"	"72.222"	"90"	"25"	"0"	"1"	"90"	"1"	"90"	"2.66e-41"	"130"	"100"	"90"	"94"
"XP_002862168.1"	90	"AT5G43518.1, AT5G43510.2, AT5G43525.1, AT5G43513.1, AT5G43285.1"	"AT5G43285.1"	"orthologue"	"AT5G43518.1, AT5G43510.2, AT5G43525.1, AT5G43513.1, AT5G43285.1"	"N0.HOG0026887"	"AT5G43518.1, AT5G43510.2, AT5G43525.1, AT5G43513.1, AT5G43285.1"	"OG0020047"	"AT5G43285.1, AT5G43510.2, AT5G43513.1, AT5G43518.1, AT5G43525.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G43285.1"	"72.222"	"90"	"25"	"0"	"1"	"90"	"1"	"90"	"5.09e-42"	"132"	"100"	"90"	"94"
"XP_002862173.2"	284	"AT3G22330.1"	"AT3G22330.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G22330.1"	"96.797"	"281"	"2"	"2"	"5"	"284"	"342"	"616"	"0"	"519"	"99"	"284"	"616"
"XP_002862175.2"	175	"AT5G56470.1"	"AT5G56470.1"	"orthologue"	"AT5G56470.1"	"N0.HOG0027468"	"AT5G56470.1"	"OG0020573"	"AT5G56470.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G46760.1"	"95.429"	"175"	"8"	"0"	"1"	"175"	"429"	"603"	"1.18e-122"	"357"	"100"	"175"	"603"
"XP_002862180.1"	96	"AT4G26850.1"	"AT4G26850.1"	"other"	NA	"N0.HOG0006217"	"AT4G26850.1"	"OG0002115"	"AT4G26850.1, AT5G55120.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G55120.1"	"93.548"	"93"	"6"	"0"	"1"	"93"	"1"	"93"	"2.08e-59"	"187"	"97"	"96"	"431"
"XP_002862182.2"	145	"AT3G15000.1"	"AT3G15000.1"	"other"	NA	"N0.HOG0007894"	"AT3G15000.1"	"OG0003019"	"AT3G15000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G15000.1"	"91.724"	"145"	"7"	"1"	"1"	"145"	"1"	"140"	"4.8e-90"	"266"	"100"	"145"	"395"
"XP_002862189.2"	163	"AT3G06390.1"	"AT3G06390.1"	"orthologue"	"AT3G06390.1"	"N0.HOG0020283"	"AT3G06390.1"	"OG0013766"	"AT3G06390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G06390.1"	"68.844"	"199"	"25"	"4"	"1"	"162"	"1"	"199"	"8.38e-72"	"214"	"99"	"163"	"199"
"XP_002862190.2"	171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G18670.1"	"65.116"	"172"	"58"	"2"	"1"	"171"	"1"	"171"	"1.63e-69"	"219"	"100"	"171"	"536"
"XP_002862194.1"	127	"AT5G49550.1"	"AT5G49550.1"	"orthologue"	"AT5G49550.1"	"N0.HOG0010471"	"AT5G49550.1"	"OG0004810"	"AT5G49550.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G49550.1"	"96.85"	"127"	"4"	"0"	"1"	"127"	"1"	"127"	"1.4e-86"	"247"	"100"	"127"	"127"
"XP_002862195.2"	209	"AT3G17205.1"	"AT3G17205.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G17205.1"	"95.531"	"179"	"8"	"0"	"31"	"209"	"52"	"230"	"1.55e-117"	"357"	"86"	"209"	"1029"
"XP_002862198.1"	232	"AT2G35240.1"	"AT2G35240.1"	"orthologue"	"AT2G35240.1"	"N0.HOG0006952"	"AT1G32580.1, AT2G35240.1"	"OG0002502"	"AT1G32580.1, AT2G35240.1"	"AT2G35240.1"	232	232	100	100	232	95.259	461	"AT2G35240.1"	"95.259"	"232"	"11"	"0"	"1"	"232"	"1"	"232"	"1.34e-167"	"461"	"100"	"232"	"232"
"XP_002862200.1"	417	"AT3G19100.1"	"AT3G19100.1"	"other"	NA	"N0.HOG0004415"	"AT3G19100.1"	"OG0001209"	"AT1G49580.1, AT3G19100.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G19100.1"	"98.321"	"417"	"7"	"0"	"1"	"417"	"183"	"599"	"0"	"849"	"100"	"417"	"599"
"XP_002862201.1"	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G19120.1"	"99.153"	"118"	"1"	"0"	"1"	"118"	"329"	"446"	"1.05e-83"	"250"	"100"	"118"	"446"
"XP_002862203.1"	702	"AT2G45540.2"	"AT2G45540.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G45540.2"	"98.14"	"699"	"13"	"0"	"1"	"699"	"172"	"870"	"0"	"1429"	"99"	"702"	"3001"
"XP_002862207.1"	393	"AT3G03730.1"	"AT3G03730.1"	"orthologue"	"AT3G03730.1"	"N0.HOG0005906"	"AT3G03730.1"	"OG0001965"	"AT1G67160.1, AT3G03726.1, AT3G03730.1, AT3G22333.1, AT3G22337.1, AT3G22345.1, AT4G12810.1, AT4G12820.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G03730.1"	"92.112"	"393"	"29"	"2"	"1"	"392"	"1"	"392"	"0"	"716"	"99"	"393"	"393"
"XP_002862208.1"	81	"AT2G27535.1"	"AT2G27535.1"	"orthologue"	"AT2G27535.1"	"N0.HOG0029966"	"AT2G27535.1"	"OG0022878"	"AT2G27535.1"	"AT2G27535.1"	81	81	99	99	80	81.25	124	"AT2G27535.1"	"81.25"	"80"	"15"	"0"	"1"	"80"	"1"	"80"	"3.71e-39"	"124"	"99"	"81"	"81"
"XP_002862211.2"	81	"AT5G44190.1"	"AT5G44190.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G44190.1"	"94.937"	"79"	"4"	"0"	"1"	"79"	"250"	"328"	"2.68e-44"	"145"	"98"	"81"	"386"
"XP_002862214.2"	245	"AT1G79510.1"	"AT1G79510.1"	"orthologue"	"AT1G79510.1"	"N0.HOG0007083"	"AT1G79510.1"	"OG0002567"	"AT1G16320.1, AT1G79510.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G79510.1"	"95.528"	"246"	"8"	"2"	"1"	"245"	"1"	"244"	"3.56e-174"	"479"	"100"	"245"	"275"
"XP_002862216.2"	202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G48900.1"	"97.525"	"202"	"5"	"0"	"1"	"202"	"1"	"202"	"1.55e-147"	"416"	"100"	"202"	"417"
"XP_002862217.2"	136	"AT2G39975.1"	"AT2G39975.1"	"orthologue"	"AT2G39975.1"	"N0.HOG0027229"	"AT2G39975.1"	"OG0020358"	"AT2G39975.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G39975.1"	"90.4"	"125"	"12"	"0"	"12"	"136"	"1"	"125"	"7.91e-83"	"238"	"92"	"136"	"125"
"XP_002862218.1"	137	"AT2G39970.1"	"AT2G39970.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G39970.1"	"99.18"	"122"	"1"	"0"	"1"	"122"	"1"	"122"	"8.83e-85"	"250"	"89"	"137"	"331"
"XP_002862221.2"	287	"AT3G03960.1"	"AT3G03960.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G03960.1"	"43.293"	"164"	"77"	"5"	"1"	"156"	"303"	"458"	"1.23e-28"	"114"	"54"	"287"	"549"
"XP_002862227.2"	82	"AT3G25265.1"	"AT3G25265.1"	"orthologue"	"AT3G25265.1"	"N0.HOG0003287"	"AT5G48543.1, AT3G43083.1, AT2G15535.1, AT2G27145.1, AT2G28355.1, AT2G28405.1, AT3G25265.1, AT2G25344.1"	"OG0000726"	"AT2G15535.1, AT2G25344.1, AT2G27145.1, AT2G28355.1, AT2G28405.1, AT3G25265.1, AT3G43083.1, AT5G48543.1"	"AT3G25265.1"	82	81	100	100	82	76.829	118	"AT3G25265.1"	"81.707"	"82"	"14"	"1"	"1"	"82"	"1"	"81"	"2.68e-45"	"139"	"100"	"82"	"81"
"XP_002862228.1"	82	"AT2G40995.2"	"AT2G40995.2"	"orthologue"	"AT2G40995.2"	"N0.HOG0026866"	"AT2G41997.1, AT2G40995.2"	"OG0020026"	"AT2G40995.2, AT2G41997.1"	"AT2G40995.2"	82	83	100	98	82	91.463	154	"AT2G40995.2"	"91.463"	"82"	"6"	"1"	"1"	"82"	"3"	"83"	"2.5e-51"	"154"	"100"	"82"	"83"
"XP_002862229.2"	88	"AT2G41997.1"	"AT2G41997.1"	"orthologue"	"AT2G41997.1"	"N0.HOG0026866"	"AT2G41997.1, AT2G40995.2"	"OG0020026"	"AT2G40995.2, AT2G41997.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G41997.1"	"71.765"	"85"	"22"	"1"	"5"	"87"	"1"	"85"	"3.25e-40"	"127"	"94"	"88"	"89"
"XP_002862231.1"	174	"AT2G38255.1"	"AT2G38255.1"	"orthologue"	"AT2G38255.1"	"N0.HOG0002849"	"AT2G38255.1"	"OG0000569"	"AT2G27320.1, AT2G35250.1, AT2G38255.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G35250.1"	"88.824"	"170"	"19"	"0"	"1"	"170"	"1"	"170"	"4.9e-110"	"317"	"98"	"174"	"342"
"XP_002862234.2"	138	"AT1G19920.1"	"AT1G19920.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G19920.1"	"91.791"	"134"	"11"	"0"	"1"	"134"	"52"	"185"	"4.93e-84"	"253"	"97"	"138"	"476"
