Orthogroup	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
OG0034764	Ag046G4530100																		
OG0034765	Ag046G4532900																		
OG0034766	Ag046G4533000																		
OG0034767	Ag093G5460100																		
OG0034768	Ag055G4906400																		
OG0034769	Ag055G4915500																		
OG0034770	Ag055G4915600																		
OG0034771	Ag055G4929700																		
OG0034772	Ag047G4540500																		
OG0034773	Ag013G1348900																		
OG0034774	Ag013G1362000																		
OG0034775	Ag013G1366800																		
OG0034776	Ag013G1372600																		
OG0034777	Ag013G1379700																		
OG0034778	Ag013G1389400																		
OG0034779	Ag013G1392700																		
OG0034780	Ag013G1399100																		
OG0034781	Ag013G1407800																		
OG0034782	Ag013G1413300																		
OG0034783	Ag013G1414100																		
OG0034784	Ag013G1415300																		
OG0034785	Ag013G1416800																		
OG0034786	Ag013G1420800																		
OG0034787	Ag013G1423800																		
OG0034788	Ag013G1427200																		
OG0034789	Ag013G1429900																		
OG0034790	Ag013G1431900																		
OG0034791	Ag013G1433000																		
OG0034792	Ag013G1436600																		
OG0034793	Ag013G1443500																		
OG0034794	Ag013G1461800																		
OG0034795	Ag013G1463600																		
OG0034796	Ag013G1472400																		
OG0034797	Ag013G1473100																		
OG0034798	Ag013G1473400																		
OG0034799	Ag013G1477200																		
OG0034800	Ag013G1478600																		
OG0034801	Ag013G1479800																		
OG0034802	Ag013G1488800																		
OG0034803	Ag013G1489500																		
OG0034804	Ag013G1491300																		
OG0034805	Ag013G1493600																		
OG0034806	Ag013G1501000																		
OG0034807	Ag013G1506700																		
OG0034808	Ag013G1512000																		
OG0034809	Ag013G1514800																		
OG0034810	Ag013G1516900																		
OG0034811	Ag013G1517600																		
OG0034812	Ag013G1521600																		
OG0034813	Ag013G1523100																		
OG0034814	Ag013G1530400																		
OG0034815	Ag013G1531900																		
OG0034816	Ag013G1540400																		
OG0034817	Ag013G1542700																		
OG0034818	Ag013G1546800																		
OG0034819	Ag013G1551500																		
OG0034820	Ag013G1554100																		
OG0034821	Ag013G1558300																		
OG0034822	Ag013G1558500																		
OG0034823	Ag013G1564100																		
OG0034824	Ag013G1568200																		
OG0034825	Ag013G1569000																		
OG0034826	Ag013G1569100																		
OG0034827	Ag013G1569400																		
OG0034828	Ag013G1569800																		
OG0034829	Ag013G1569900																		
OG0034830	Ag013G1570400																		
OG0034831	Ag013G1575900																		
OG0034832	Ag013G1576300																		
OG0034833	Ag013G1577000																		
OG0034834	Ag013G1579000																		
OG0034835	Ag013G1584000																		
OG0034836	Ag013G1589900																		
OG0034837	Ag013G1592200																		
OG0034838	Ag013G1594300																		
OG0034839	Ag013G1598500																		
OG0034840	Ag013G1600400																		
OG0034841	Ag013G1603400																		
OG0034842	Ag013G1604000																		
OG0034843	Ag013G1615900																		
