Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_glauca
OG0000000	AL3G23500, AL3G28120, AL7G39870	Cg005G1542700
OG0000000	AL3G39580, AL2G19540	Cg001G0384000
OG0000000	AL5G18640	Cg006G1881000
OG0000000	AL2G10230, AL4G12690, AL532U10010, AL8G16910, AL1G56620, AL5G26440, AL3G26530, AL7G44950, AL8G15150, AL7G49620, AL8G11050, AL2G12570, AL4G43860	Cg002G0506900
OG0000000	AL6G33910, AL4G36510	Cg002G0574500
OG0000000	AL3G48680	Cg001G0315700
OG0000000	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180	Cg007G2381100
OG0000000	AL8G17990, AL4G17570	Cg004G1415700
OG0000002	AL4G14300	Cg001G0121200
OG0000002	AL8G20200	Cg002G0472400, Cg005G1504200
OG0000003	AL7G30150, AL5G20380, AL488U10010, AL4G29570	Cg008G2696300, Cg007G2280100
OG0000003	AL4G12920, AL2G17030, AL668U10010, AL2G31940	Cg001G0323400, Cg008G2981700
OG0000004	AL1G59120	Cg014G3042600
OG0000004	AL7G43300	Cg005G1712500, Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400, Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900, Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	AL70U10050, AL1G65560, AL4G11460	Cg004G1187900
OG0000004	AL2G17020	Cg005G1717800, Cg002G0635300, Cg007G2539100, Cg002G0579000
OG0000004	AL1G65200	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600
OG0000005	AL97U10030, AL8G11290	Cg006G1917400
OG0000005	AL7G43820, AL7G43690	Cg004G1316700, Cg001G0326200, Cg001G0340800
OG0000005	AL3G54340	Cg001G0307500
