Orthogroup	Arabidopsis_lyrata_Rawat	Alyssum_gmelinii
OG0000000	AL6G27580	Ag067G5184800, Ag001G0043700, Ag062G5062000
OG0000000	AL1G62960	Ag058G4984200, Ag063G5070800, Ag002G0202300, Ag078G5360800, Ag016G2390300, Ag014G2113800
OG0000000	AL1G56600	Ag039G4294900, Ag016G2393600
OG0000000	AL3G39580, AL2G19540	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900
OG0000000	AL5G18640	Ag036G4123700
OG0000000	AL2G10230, AL4G12690, AL532U10010, AL8G16910	Ag077G5323300, Ag003G0363000, Ag013G1740700
OG0000000	AL1G56620, AL5G26440, AL3G26530, AL7G44950, AL8G15150, AL7G49620, AL8G11050, AL2G12570, AL4G43860	Ag055G4904400
OG0000000	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270	Ag061G5017100, Ag078G5391400, Ag048G4660900, Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100, Ag078G5385300, Ag040G4340700, Ag052G4868500
OG0000000	AL6G33910, AL4G36510	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700
OG0000000	AL3G48680	Ag058G4977700
OG0000000	AL5G12810	Ag013G1386400, Ag033G3486500
OG0000000	AL6G49130	Ag020G2571600, Ag013G1635500
OG0000000	AL7G47010	Ag034G3852600
OG0000000	AL1G56670	Ag011G1121000, Ag019G2526000, Ag051G4805800, Ag023G2823300
OG0000000	AL8G17990, AL4G17570	Ag067G5173700
OG0000002	AL8G20200	Ag027G3030200, Ag013G1414500
OG0000003	AL1G64130, AL5G19200, AL5G16490, AL6G17120, AL3G42610, AL1G59200, AL3G47980, AL6G47170, AL3G48090, AL6G41430, AL1G46060, AL4G47110, AL6G10850, AL8G41490, AL4G39950, AL363U10020, AL7G48880	Ag022G2672700, Ag014G2084900
OG0000003	AL3G36810, AL433U10010, AL4G19540	Ag067G5203100
OG0000003	AL3G39680, AL5G39250, AL5G19450, AL2G17040, AL6G19270	Ag004G0525300
OG0000003	AL3G46190	Ag025G2976100
OG0000003	AL4G12920, AL2G17030, AL668U10010, AL2G31940	Ag013G1682200, Ag011G1271000
OG0000003	AL7G34100, AL3G40240, AL2G10360	Ag011G1183800
OG0000004	AL4G19570, AL1G59120	Ag033G3561100
OG0000004	AL7G43300	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600, Ag010G0992800, Ag014G1774700
OG0000004	AL1G57270, AL8G19530	Ag050G4758900
OG0000004	AL1G65560	Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400
OG0000004	AL6G45170	Ag038G4178200, Ag004G0763800
OG0000004	AL1G65200	Ag066G5158800
OG0000005	AL2G18790	Ag041G4377100
OG0000008	AL877U10020, AL6G44830	Ag014G2109900
OG0000008	AL5G32180, AL5G32140, AL5G32150	Ag001G0025300
OG0000009	AL6G36520	Ag002G0216700, Ag075G5300000, Ag004G0685200
OG0000009	AL6G10570	Ag014G2149700
OG0000009	AL3G41770	Ag027G3009300
OG0000009	AL2G12600	Ag014G2163600
OG0000009	AL4G10690	Ag078G5396800, Ag034G3985100, Ag014G2137100, Ag030G3127000
OG0000009	AL8G14160	Ag040G4348900, Ag088G5430700
OG0000009	AL7G37950	Ag058G4969600, Ag052G4854400
OG0000009	AL2G39630	Ag016G2319900, Ag025G2919200
OG0000011	AL6G32670	Ag015G2211300
OG0000011	AL8G22980	Ag019G2529100, Ag039G4286000
OG0000011	AL1G17050	Ag062G5062600, Ag036G4099700, Ag055G4926900, Ag031G3381800, Ag031G3386200, Ag001G0035100, Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700
OG0000011	AL8G24370, AL6G47490	Ag027G3007700
OG0000014	AL9U11460	Ag012G1285000
OG0000015	AL25U10010, AL6G22310, AL7G26200	Ag034G3936100
OG0000015	AL8G27740, AL429U10010, AL792U10020, AL1G20970, AL8G24680, AL1G15850	Ag012G1294500
OG0000015	AL3G46050	Ag018G2438800
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	Ag068G5227400
OG0000020	AL6G40580, AL7G44020, AL3G44050, AL460U10020	Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500
OG0000020	AL4G19770	Ag039G4234300
OG0000021	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170, AL7G47350, AL7G51150	Ag013G1488900, Ag031G3408800
OG0000022	AL1G24190	Ag034G3829100
OG0000022	AL1G24380	Ag034G3823300, Ag034G3823600, Ag034G3830900, Ag034G3837600, Ag034G3827100
OG0000022	AL1G16610, AL2G10190, AL2G10200	Ag024G2896000
OG0000022	AL7G48260	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000022	AL3G29640	Ag014G2040000
OG0000024	AL4G16470	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300
OG0000024	AL3G45420, AL4G35160, AL5G38280, AL5G39160, AL5G39170, AL5G23680, AL1G45210	Ag013G1754200
OG0000025	AL6G41860	Ag015G2255100
OG0000025	AL9U11280, AL5G16730, AL2G12870	Ag067G5188200, Ag030G3132300
OG0000025	AL460U10010	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900, Ag064G5112200
OG0000027	nbis-gene-1639, AL6G45930	Ag021G2619200
OG0000027	AL6G45970	Ag021G2619800
OG0000027	AL6G46000	Ag021G2619900
OG0000027	AL6G45910	Ag077G5325000, Ag033G3496200
OG0000027	AL7G30160	Ag077G5325100, Ag033G3496300, Ag033G3642400
OG0000027	AL1G66280	Ag021G2620200
OG0000027	AL7G30280	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600
OG0000028	AL8G29780	Ag078G5387500
OG0000030	AL3G33700, AL275U10020, AL3G33320, AL3G33690, AL3G33370	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700
OG0000030	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	AL5G29320, AL5G29310, AL5G29340, AL2G23050	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000030	AL3G24770	Ag013G1357800
OG0000030	AL5G24990	Ag014G1839700, Ag014G1840100
OG0000031	AL2G19770	Ag018G2463100
OG0000031	AL2G29770	Ag014G2001300, Ag025G2974400, Ag067G5204400, Ag016G2379700, Ag064G5091800, Ag014G2046100, Ag002G0264600, Ag021G2582900, Ag026G3000600, Ag073G5260500, Ag034G3746100, Ag067G5192300
OG0000031	AL1G56200	Ag030G3130300
OG0000031	AL1G41870	Ag011G1132700, Ag003G0359800
OG0000031	AL5G21210	Ag057G4960600
OG0000032	AL4G17980	Ag011G1160200, Ag011G1160300, Ag011G1160400
OG0000034	AL7G30290	Ag093G5459200, Ag033G3498700
OG0000034	AL7G32680, AL7G32670	Ag048G4579800
OG0000034	AL7G30310, AL7G30350	Ag033G3500200, Ag093G5460400
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000035	AL7G43840	Ag023G2841600, Ag033G3643700, Ag036G4119400, Ag002G0276700, Ag036G4121400
OG0000035	AL1G64690	Ag093G5463700
OG0000040	AL2G11290, AL3G43050	Ag031G3415700
OG0000040	AL364U10020	Ag038G4173200
OG0000042	AL1G54660	Ag046G4535300, Ag066G5171000, Ag024G2870100, Ag007G0876900, Ag096G5474100
OG0000042	AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850	Ag011G1070600
OG0000042	AL8G14180	Ag014G2104800
OG0000042	AL1G42210	Ag009G0976800, Ag006G0824100
OG0000043	AL3G46620	Ag074G5273900, Ag048G4698800
OG0000043	AL1G50770	Ag020G2574500
OG0000043	AL8G34940, AL1G48950, AL5G15500, AL7G45030, AL983U10010	Ag036G4114100
OG0000043	AL8G31450, AL236U10040	Ag022G2736700, Ag016G2284200
OG0000043	AL8G19930	Ag013G1650200
OG0000044	AL8G11930	Ag016G2313400
OG0000046	AL4G10770	Ag019G2498100
OG0000046	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640, AL3G40680, AL1G60090, AL7G41120, AL6G41380, AL1G53510, AL4G20190, AL3G44690, AL6G40760	Ag004G0691700
OG0000048	AL4G27770, AL4G27390	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300
OG0000048	AL2G14000, AL2G14020	Ag032G3445200, Ag048G4573000
OG0000049	AL6G39930	Ag055G4909600, Ag034G3947200, Ag034G3947100
OG0000049	AL5G16120, AL5G16140	Ag061G5034500
OG0000050	AL1G24220	Ag002G0166000
OG0000051	AL1G20340	Ag034G3687900
OG0000051	AL4G40940	Ag003G0386800
OG0000051	AL4G40960	Ag003G0386200
OG0000051	AL2G15770	Ag003G0387300
OG0000051	AL4G40930	Ag003G0387500
OG0000055	nbis-gene-725, AL3G41130	Ag034G4065400
OG0000055	AL3G30730, AL3G30470, AL3G38080, AL769U10010	Ag014G2041700
OG0000055	AL3G29740	Ag014G2041600
OG0000055	AL3G53160, AL3G53140	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100
OG0000056	AL2G13390	Ag002G0158500
OG0000056	AL2G13900	Ag011G1149600, Ag011G1148500
OG0000056	AL5G26170	Ag002G0180000
OG0000058	AL5G26550, AL920U10010	Ag010G1012100, Ag001G0033300, Ag033G3511000, Ag006G0820100
OG0000058	AL3G40670	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500
OG0000058	AL6G37450, AL6G45120, AL4G17610, AL3G30200, AL1G60100	Ag027G3040100, Ag048G4695000, Ag056G4940000
OG0000060	AL4G23280	Ag034G3746900
OG0000060	AL8G36210, AL5G24600	Ag034G3744900
OG0000061	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300
OG0000061	AL1G54400	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600
OG0000061	AL6G23310, nbis-gene-1510	Ag025G2914700
OG0000061	AL1G53180	Ag013G1477400, Ag013G1477100, Ag013G1476800
OG0000061	AL4G24650	Ag013G1627600
OG0000062	AL9U10060	Ag043G4453200
OG0000062	AL8G40700, AL8G15100	Ag044G4491100, Ag016G2329800, Ag034G3892100
OG0000062	AL7G40460, AL2G19460, AL8G34860, AL8G13000	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400
OG0000063	AL2G36550	Ag025G2961700
OG0000063	AL1G44840	Ag012G1327000
OG0000065	AL2G25320, AL2G25210	Ag016G2372900, Ag016G2372400
OG0000066	AL6G20900	Ag004G0438400
OG0000066	AL1G66190	Ag013G1525800
OG0000066	AL6G20890	Ag016G2348500, Ag034G3765900, Ag034G3780100
OG0000066	AL6G21580	Ag048G4702700
OG0000066	AL7G12350	Ag011G1062400
OG0000067	AL3G45170	Ag013G1533100
OG0000067	AL5G32340	Ag015G2210000
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000069	AL3G40410, AL8G35170	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500
OG0000069	AL5G45620	Ag048G4644300, Ag048G4643100
