Orthogroup	Arabidopsis_lyrata_Rawat	Raphanus_sativus
OG0000000	AL1G56600	XP_018448502.1, XP_018460857.1
OG0000000	AL3G23500, AL3G28120, AL7G39870	XP_018435931.1
OG0000000	AL3G39580, AL2G19540	XP_018488005.1, XP_018435927.1, XP_018479789.1, XP_018463775.1
OG0000000	AL2G10230, AL4G12690, AL532U10010, AL8G16910	XP_018462157.1
OG0000000	AL7G44950	XP_018460558.1
OG0000000	AL2G12570, AL4G43860	XP_018472282.1
OG0000000	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270	XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018435702.1, XP_018463622.1, XP_018443673.1, XP_018453689.1, XP_018475855.1, XP_018479455.1
OG0000000	AL6G33910, AL4G36510	XP_018479790.1, XP_018487667.1, XP_018488079.1, XP_018473662.1
OG0000000	AL6G49130	XP_018461626.1
OG0000000	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180	XP_018479791.1, XP_018435819.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1, XP_018461587.1, XP_018479550.1, XP_018473616.1
OG0000000	AL7G47010	XP_018466708.1
OG0000000	AL6G44150, AL5G22440	XP_018458409.1, XP_018458407.1
OG0000000	AL8G17990, AL4G17570	XP_018453573.1, XP_018462059.1
OG0000000	AL7G35400	XP_018463022.1
OG0000002	AL8G20200	XP_018436085.1, XP_018453671.1, XP_018459832.1
OG0000003	AL1G64130, AL5G19200, AL5G16490, AL6G17120, AL3G42610, AL1G59200, AL3G47980, AL6G47170, AL3G48090, AL6G41430, AL1G46060, AL4G47110, AL6G10850, AL8G41490, AL4G39950, AL363U10020	XP_018453894.1
OG0000003	AL4G18120	XP_018436038.1
OG0000003	AL433U10010	XP_018479479.1, XP_018458947.1
OG0000003	AL4G19540	XP_018460607.1
OG0000003	AL5G39250	XP_018458309.1, XP_018477029.1
OG0000003	AL3G42970	XP_018453463.1
