Orthogroup	Arabidopsis_lyrata_Rawat	Cochlearia_excelsa
OG0000000	AL6G27580	g14627, g14949, g4309, g8694, g53158
OG0000000	AL7G44730	g23875, g4482
OG0000000	AL3G23500, AL3G28120, AL7G39870, AL1G31370, AL5G15620, AL7G44660, AL3G50410, AL47U10020	g15642
OG0000000	AL2G28000	g11716, g40876, g40054
OG0000000	AL3G15150	g53018, g52608, g29057
OG0000000	AL2G10230, AL4G12690, AL532U10010, AL8G16910	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292
OG0000000	AL3G48680	g53079, g43739, g16627
OG0000000	AL4G39790	g34709, g4497, g26082, g48927
OG0000000	AL8G17890	g45106, g24897, g34861, g52921, g13894, g26632
OG0000000	AL6G49130	g23493
OG0000000	AL1G43930	g3283, g14651, g4075, g42183, g41805, g31286, g53554, g25561, g25201, g53774, g1649, g1657, g16219, g4653, g35401, g26200, g42029, g24646, g15042, g47937, g16448, g26041, g12832, g32880, g24793, g18671, g41057, g35660
OG0000000	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040	g44562, g51061, g1238, g44545, g28474, g44506
OG0000000	AL6G34180	g29058, g23419, g19097, g2263
OG0000000	AL8G39910, AL1G63670	g30907
OG0000000	AL7G47010	g14416, g10434, g12783, g43405, g3096
OG0000000	AL7G35400	g41948
OG0000002	AL3G37080, AL1G57360	g12053, g52853, g57, g36475, g33085, g32227
OG0000002	AL4G14300	g45380
OG0000002	AL8G20200	g11234, g13620, g25759, g5204, g43183, g50380, g36398, g6668, g13329, g17143, g23133, g2533, g42581, g19246, g29102, g53818, g35831, g54196, g18045, g22726, g5655, g53912, g22441, g43884, g51104, g47320, g38468, g39577, g40258, g23771, g52214, g49137, g47542, g26461, g4894, g16056, g36079, g50077, g3932, g28791, g41750, g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950, g45382, g23050
OG0000003	AL1G46060, AL4G47110, AL6G10850	g18622
OG0000003	AL8G41490, AL4G39950, AL363U10020	g25137
OG0000003	AL7G48880	g45682, g1467
OG0000003	AL4G19540	g24632
OG0000003	AL2G17040	g14202
OG0000003	AL3G36170	g39352, g43844, g39389
OG0000003	AL3G42620	g34726
OG0000003	AL481U10010	g41610, g51431, g41609
OG0000003	AL3G46190	g12346, g2655, g14239, g52812
OG0000003	AL668U10010, AL2G31940	g53942, g4056, g32055, g3715
OG0000004	AL1G59120	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059
OG0000004	AL5G28990	g15065
OG0000004	AL2G22640	g33193, g3782, g9018, g37863
OG0000004	AL7G43300	g48661, g33568, g18221, g8678, g51092, g10991, g52741, g52421, g21073, g42791, g34845, g30252, g9059, g9287, g52509, g9224, g36650, g21099, g52367, g20888, g21409, g43220, g38581, g14594, g39193, g3480, g3485, g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889, g36307, g14311, g22564, g16722, g52330, g15795, g30550, g30376, g43381, g43271, g52452, g41990, g52465, g34225, g45199, g9313, g34234, g34239, g9300, g43277, g33824, g48660, g3805, g12233, g8324, g33593, g33825, g30503, g3496, g27039, g30161, g9209, g42645, g48261, g41664, g49210, g26280, g14798, g33617, g33194, g33196, g49131, g52631, g33159, g33162, g8795, g8799, g8814, g42851, g54402, g42876, g54422, g42880, g6413, g42788, g42838, g52873, g38593, g48815, g20696, g44996, g15614, g48195, g24604, g13930, g3519, g50316, g42490, g54130, g36924, g20637, g15496, g19970, g21983, g42984, g20893, g26400, g20569, g25307, g35496, g22187, g30034, g35136, g53148, g26496, g23263, g19433, g53231, g5034, g16879, g34609, g30041, g8348, g18470, g43270, g20927, g21387, g53257, g32762, g25182, g53206, g53402, g42012, g49243, g19888, g15221, g48834, g14943, g8471, g3588, g40872, g15611, g20848, g42568, g33231, g52412, g35580, g35834, g15847, g15509, g42990, g32807, g49050, g3533, g43274, g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323, g9185, g43736, g38628, g52657, g22577, g35938, g20554, g3532, g21616, g16001, g22041, g9161, g14835, g32831, g30173, g16047, g9043, g44884, g54140, g1368, g34921, g5669, g14984, g15061, g20703, g35818, g33600, g26147, g15064, g38611, g51042, g35409, g35603, g3515, g25767, g15746, g47598, g30366, g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847
