Orthogroup	Arabidopsis_lyrata_Rawat	Capsella_rubella
OG0000000	AL7G44730	XP_023632598.1
OG0000000	AL3G23500, AL3G28120, AL7G39870	XP_023644510.1, XP_023644490.1
OG0000000	AL2G10230, AL4G12690, AL532U10010, AL8G16910, AL1G56620, AL5G26440, AL3G26530, AL7G44950, AL8G15150, AL7G49620, AL8G11050, AL2G12570, AL4G43860, AL7G35240	XP_023637681.1
OG0000000	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270	XP_023633614.1
OG0000000	AL6G33910, AL4G36510	XP_023634268.1, XP_023644256.1
OG0000000	AL396U10020, AL4G14390	XP_023636065.1, XP_023634315.1
OG0000000	AL5G12810	XP_023633818.1
OG0000000	AL8G13780, AL5G13370, AL3G47190, AL8G30500, AL1G48610, AL7G43930, AL4G15390, AL5G12120, AL5G12320, AL5G21300, AL2G19780, AL6G42260, AL4G14060, AL7G38790, AL5G30910, AL5G11100, AL8G22530, AL6G50660, AL110U10010, AL2G18100	XP_023634340.1
OG0000000	AL4G31100, AL4G37840, AL7G43450, AL4G13050, AL5G14690	XP_023642406.1, XP_023644536.1
OG0000000	AL8G39910, AL1G63670	XP_023640443.1, XP_023633512.1
OG0000000	AL6G44150, AL5G22440	XP_023638968.1
OG0000000	AL1G56670	XP_023635799.1
OG0000000	AL8G17990, AL4G17570	XP_023632892.1
OG0000000	AL4G28670, AL4G26210, AL8G16780, AL1G59080, AL5G14470, AL7G39190, AL5G26100, AL3G22550, AL3G46930, AL2G10670	XP_023634342.1, XP_006300431.2
OG0000002	AL3G37080, AL1G57360, AL4G14300	XP_023638855.1
OG0000003	AL7G30150, AL5G20380, AL488U10010, AL4G29570	XP_023641338.1
OG0000003	AL3G36810	XP_023638041.1
OG0000003	AL7G45130	XP_023637460.1, XP_023637566.1
OG0000003	AL3G44960, AL4G18440, AL8G19180, AL27U10030	XP_023644456.1
OG0000004	AL1G59120	XP_023638874.1
OG0000004	AL70U10050	XP_023639960.1
OG0000004	AL1G65560	XP_023633832.1
OG0000005	AL63U10040	XP_023633718.1
OG0000005	AL7G13490	XP_023640321.1
OG0000005	AL97U10030, AL8G11290	XP_023639598.1
OG0000005	AL3G54340	XP_023640434.1, XP_023642103.1
OG0000007	AL9U10810, AL8G24640	XP_023640317.1
OG0000007	AL8G18310, AL1G37680, AL3G20440	XP_023639048.1, XP_023644546.1
OG0000007	AL2G22610	XP_023643663.1
OG0000007	AL5G15300	XP_023640335.1, XP_023643356.1, XP_023634292.1
OG0000007	AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130	XP_023644418.1
OG0000007	AL5G42560, AL4G15130, AL1G41850, AL7G40730, AL6G17970	XP_023636143.1, XP_023633251.1, XP_023633686.1, XP_023640302.1
OG0000008	AL6G25540, AL39U10050, AL6G49380, AL226U10010, AL8G21160, AL8G41980, AL66U10030, AL7G10810, AL747U10010, AL8G17730, AL7G48840, AL4G21710, AL5G16170, AL1G29200, AL1G65090, AL7G51050, AL1G63180, AL7G50980, AL8G11530	XP_023644880.1, XP_006303816.2
OG0000008	AL2G17460, AL6G27010, AL5G18950, AL7G45220	XP_023633343.1
OG0000008	AL8G21520, AL3G44870, AL6G46960, AL2G19610, AL5G20410, AL4G18090, AL1G45690, AL3G40710, AL5G24310, AL2G22310, AL4G13380, AL3G52160	XP_023633617.1
OG0000008	AL4G20310, AL4G18790, AL4G37240, AL3G44010, AL7G44440, AL2G20270, AL9U11800, AL298U10010, AL4G19160	XP_006305876.2
OG0000008	AL5G32180	XP_023638567.1
OG0000009	AL8G42570	XP_023639614.1, XP_023644435.1, XP_023644436.1
OG0000009	AL2G39630	XP_023640352.1
OG0000011	AL6G32670	XP_023638113.1, XP_023633028.1
OG0000011	AL1G17050	XP_023636996.1, XP_023635713.1, XP_023636144.1, XP_023636084.1, XP_023637727.1, XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1
OG0000011	AL2G26450	XP_023643301.1, XP_023638031.1
OG0000011	AL8G24370	XP_023641182.1
OG0000011	AL2G22330	XP_023638956.1
OG0000012	AL7G40740, AL6G17980	XP_023640438.1
OG0000012	AL4G10450, AL3G45980, AL4G24110	XP_023633714.1
OG0000012	AL5G20450	XP_023636126.1
OG0000012	AL971U10010	XP_023645773.1
OG0000014	AL8G19810, AL2G20440	XP_023644214.1
OG0000014	AL8G23060	XP_023638462.1, XP_023634279.1
OG0000015	AL3G46060	XP_023633382.1
OG0000015	AL2G24310	XP_023638902.1
OG0000015	AL1G29330, AL6G27260	XP_023636914.1
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	XP_006279199.1
OG0000020	AL6G40580, AL7G44020, AL3G44050, AL460U10020	XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1
OG0000021	AL39U10070	XP_006303531.2, XP_023644562.1, XP_023641377.1
OG0000021	AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440	XP_023638098.1
OG0000021	AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300	XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1
OG0000021	AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400	XP_023645856.1, XP_023634319.1
OG0000021	AL7G47350, AL7G51150	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1
OG0000022	AL6G27650	XP_023636761.1
OG0000022	AL2G13120	XP_006302102.1
OG0000022	AL2G13070	XP_006301814.1
OG0000022	AL1G24190	XP_006306232.1
OG0000022	AL1G23970, AL1G24080	XP_006303680.2, XP_006303621.1
OG0000022	AL1G23630, AL1G24180, AL1G23620	XP_006306401.2, XP_006303167.1
OG0000022	AL2G10190	XP_023643559.1
OG0000022	AL2G10200	XP_006302132.1
OG0000022	AL7G48260	XP_023635463.1
OG0000022	AL3G29640	XP_006297483.1
OG0000023	AL7G44260	XP_023633772.1
OG0000023	AL5G21700, AL7G45880	XP_023636242.1
OG0000024	AL1G45240, AL1G45470, AL1G45480, AL1G45490, AL1G45350, AL1G45520	XP_023643300.1, XP_023632994.1
OG0000024	AL1G45280, AL1G45290, AL1G45300, AL1G45270	XP_023633131.1
OG0000024	AL1G45540, AL1G45590, nbis-gene-188, AL1G45230, AL1G45550	XP_023632988.1
