Orthogroup	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana
OG0000007	AL9U10810	AT2G13770.1
OG0000008	AL5G32140	AT3G51690.1
OG0000008	AL5G32150	AT3G51700.1
OG0000009	AL5G15340	AT3G27495.1
OG0000009	AL1G62100	AT2G06845.1
OG0000011	AL6G32670	AT3G30370.1, AT1G18050.1
OG0000011	AL1G17050	AT5G15685.1
OG0000012	AL2G23040, AL5G42550, AL1G61200, AL3G31820, AL5G24930, AL4G33280	AT3G47680.1
OG0000020	AL5G20560	AT2G11570.1
OG0000020	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630	AT2G06420.1
OG0000021	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	AT1G52950.1
OG0000021	AL7G47350, AL7G51150	AT3G31925.1
OG0000022	AL6G27650	AT5G16640.1
OG0000022	AL2G12810, AL2G13140, AL2G12820	AT1G62914.1
OG0000022	AL2G13170, AL2G12830	AT1G62670.1
OG0000022	AL2G13120	AT1G62680.1
OG0000022	AL2G13280	AT1G63400.1, AT1G62590.1
OG0000022	AL2G13150	AT1G63080.1
OG0000022	AL2G13130	AT1G62930.1
OG0000022	AL2G12460, AL2G12500, AL2G12780, AL2G11490	AT1G63070.1
OG0000022	AL2G13070	AT1G62720.1
OG0000022	AL3G36780	AT3G22470.1
OG0000022	AL1G24190	AT1G12700.2
OG0000022	AL1G23970, AL1G24080	AT1G12620.1
OG0000022	AL1G23630, AL1G24180, AL1G23620	AT1G12300.1, AT1G12775.1
OG0000022	AL1G16610	AT1G06580.1
OG0000022	AL2G10190	AT1G64583.1
OG0000022	AL2G10200	AT1G64580.1
OG0000022	AL7G48260	AT5G41170.1
OG0000022	AL3G29640	AT3G16710.1
OG0000024	AL1G45240, AL1G45470, AL1G45480, AL1G45490, AL1G45350, AL1G45520	AT1G30925.1
OG0000024	AL1G45280, AL1G45290, AL1G45300, AL1G45270	AT1G30930.1
OG0000024	AL1G45570, AL1G45600	AT1G31090.1
OG0000024	nbis-gene-553	AT1G67130.1
OG0000024	AL1G45610, AL1G45580	AT5G42430.1
OG0000024	AL1G47320	AT1G33020.1
OG0000024	AL1G46270, AL1G46260	AT1G33010.1
OG0000024	AL5G38280	AT3G56890.1
OG0000024	AL5G39160	AT3G57580.1
OG0000024	AL5G39170	AT3G57590.1
OG0000027	nbis-gene-1639	AT4G11480.1
OG0000027	AL6G45930	AT4G11470.2
OG0000027	AL6G45910	AT4G11460.1
OG0000027	AL7G30160	AT4G23260.1
OG0000027	AL7G30170	AT4G23250.2
OG0000027	AL1G66280	AT4G11530.1
OG0000027	AL6G46070	AT4G11521.1
OG0000027	AL7G30280	AT4G23190.1
OG0000027	AL7G30260	AT4G23210.3
OG0000028	AL7G42840	AT4G13680.1
OG0000028	AL8G29750	AT5G55870.1, AT5G54330.1
OG0000028	AL8G29760	AT5G54320.1
OG0000028	AL8G30820	AT5G55270.1
OG0000028	AL236U10020	AT5G55880.1, AT5G55890.1
OG0000028	AL8G29780	AT5G54450.1
OG0000028	nbis-gene-2112	AT5G52930.1
OG0000028	nbis-gene-2113	AT5G52940.1
OG0000028	AL8G29920	AT5G54560.1, AT5G54550.1
OG0000030	AL3G33700	AT3G20030.1
OG0000030	AL1G40160, AL1G40170	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	AL5G29320	AT3G49510.1
OG0000030	AL5G29310, AL5G29340	AT3G49520.1
OG0000030	AL2G23050	AT1G66490.1
OG0000030	AL3G25710	AT3G13680.1
OG0000034	AL7G30290	AT4G23180.1
OG0000034	AL7G30330	AT4G23150.1
OG0000034	AL7G32680	AT4G21400.1
OG0000034	AL7G32670	AT4G21410.3
OG0000034	AL7G30340	AT4G23140.2
OG0000034	AL5G24540	AT3G45860.1
OG0000034	AL7G30350	AT4G23130.2
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	AT2G07240.1
OG0000035	AL6G50990, AL7G43840, AL4G18470, AL8G13010, AL8G34850, AL7G40470, AL7G45660, AL2G19470, AL1G64690, AL7G52740, nbis-gene-1381, AL2G19330, AL4G18050, AL1G57000, AL6G38880, AL6G49460, AL782U10010, AL7G30300	AT4G04957.1
OG0000038	AL2G20150, AL1G38790, AL3G17400	AT4G23160.2
OG0000040	AL364U10020	AT2G19146.1
OG0000044	AL8G11940	AT5G46500.1
OG0000044	AL6G42230	AT4G08450.1
OG0000044	AL5G18720	AT5G46450.1
OG0000044	AL8G12190	AT5G46260.1
OG0000044	AL8G11920	AT1G31540.2, AT5G46490.2
OG0000044	AL7G37760	AT4G16890.1, AT4G16957.1, AT4G16857.2, AT4G16920.2, AT4G16860.1, AT4G16950.1
