Orthogroup	Arabidopsis_lyrata_Rawat	Arabis_alpina
OG0000002	AL3G37080	Aa_G417360.h1.t1, Aa_G109850.h1.t1
OG0000002	AL4G14300	Aa_G973590.h1.t1
OG0000002	AL8G20200	Aa_G166190.h1.t1, Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000002	AL8G36900, AL5G16580, AL1G63470, AL5G20000, AL2G19560, AL122U10020, AL6G39770, AL8G20740, AL987U10010, AL4G19260, AL4G18310, AL6G46170, AL5G15420, AL4G14990, AL7G51360, AL7G51800, AL1G67410, AL1G66540, AL4G21030, AL5G12150	Aa_G497900.h1.t1, Aa_G169610.h1.t1, Aa_G62810.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G211950.h2.t1, Aa_G211950.h1.t1, Aa_G884540.h1.t1, Aa_G181880.h1.t1, Aa_G945300.h1.t1, Aa_G1002640.h1.t1, Aa_G441820.h1.t1, Aa_G919120.h1.t1, Aa_G934630.h1.t1, Aa_G396950.h1.t1, Aa_G36530.h1.t1, Aa_G571690.h1.t1, Aa_G17980.h1.t1, Aa_G55520.h1.t1, Aa_G450290.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G395200.h1.t1, Aa_G272260.h1.t1, Aa_G272260.h2.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G294770.h1.t1, Aa_G277830.h1.t1, Aa_G202910.h1.t1
OG0000004	AL7G43300	Aa_G305790.h1.t1
OG0000005	AL63U10040	Aa_G301670.h1.t1
OG0000005	AL97U10030, AL8G11290	Aa_G418640.h1.t1
OG0000007	AL4G23810	Aa_G85610.h1.t1
OG0000007	AL5G15300	Aa_G188000.h1.t1, Aa_G596260.h1.t1
OG0000007	AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130	Aa_G437570.h1.t1
OG0000008	AL5G32180, AL5G32140, AL5G32150	Aa_G302250.h1.t1
OG0000011	AL6G32670	Aa_G396980.h1.t1
OG0000012	AL5G20450	Aa_G1031570.h1.t1
OG0000014	AL4G20510	Aa_G102160.h1.t1, Aa_G108660.h1.t1
OG0000015	AL25U10010, AL6G22310, AL7G26200	Aa_G982290.h1.t1
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100, AL6G40580, AL7G44020, AL3G44050, AL460U10020	Aa_G135640.h1.t1
OG0000022	AL6G27650	Aa_G447870.h1.t1
OG0000022	AL1G24070	Aa_G10820.h1.t1
OG0000022	AL1G23630, AL1G24180, AL1G23620	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1
OG0000022	AL1G16610	Aa_G22660.h1.t1
OG0000022	AL7G48260, AL3G29640	Aa_G97120.h1.t1
OG0000023	AL5G18610, AL1G66070, AL2G22450	Aa_G297380.h1.t1
OG0000024	AL1G45240, AL1G45470, AL1G45480, AL1G45490, AL1G45350, AL1G45520, AL1G45280, AL1G45290, AL1G45300, AL1G45270	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000024	AL5G38280, AL5G39160, AL5G39170, AL5G23680	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
