Orthogroup	Arabidopsis_lyrata_Rawat	Noccaea_praecox
OG0000000	AL6G27580	Np002G1063700, Np003G1750900
OG0000000	AL5G18640	Np003G1708100, Np006G3568800, Np003G1709000
OG0000000	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270	Np004G2263100, Np001G0314800, Np002G0926900, Np004G2012200
OG0000000	AL3G48680	Np006G3485200
OG0000000	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180	Np001G0404400, Np005G3184700, Np001G0462400
OG0000000	AL8G39910, AL1G63670	Np002G0913600, Np003G1515800, Np003G1649400, Np001G0236600, Np003G1751900, Np003G1819000, Np006G3224000, Np005G3184600
OG0000000	AL7G47010	Np002G1103800
OG0000000	AL8G17990, AL4G17570	Np002G1002000
OG0000002	AL3G37080	Np008G4260500
OG0000002	AL1G57360	Np002G1057800, Np002G1036100, Np011G4364100
OG0000002	AL8G20200	Np002G1056700, Np003G1705400, Np002G0924900, Np009G4293000, Np002G1029600, Np006G3468100
OG0000002	AL8G36900, AL5G16580, AL1G63470, AL5G20000, AL2G19560, AL122U10020, AL6G39770, AL8G20740, AL987U10010, AL4G19260, AL4G18310, AL6G46170, AL5G15420, AL4G14990, AL7G51360, AL7G51800, AL1G67410, AL1G66540, AL4G21030, AL5G12150	Np001G0430400, Np007G4054400
OG0000003	AL7G30150, AL5G20380, AL488U10010, AL4G29570	Np007G3935700
OG0000003	AL433U10010	Np003G1537900
OG0000003	AL7G45130, AL6G42590, AL2G14550, AL9U11720, AL4G19380, AL5G12450, AL2G12980, AL1G66530	Np006G3546100, Np001G0132800, Np004G1961000, Np002G0878000, Np004G2165400, Np005G2971100, Np004G2177600, Np001G0443800
OG0000003	AL3G39680, AL5G39250, AL5G19450, AL2G17040, AL6G19270, AL1G54810, AL3G36170, AL3G42970	Np006G3523600
OG0000003	AL3G46190, AL8G18370	Np003G1349400
OG0000004	AL1G59120	Np005G2950600, Np010G4347300, Np007G4015400
OG0000004	AL7G43300	Np004G2079000, Np003G1676800, Np002G1072700, Np004G2202000
OG0000004	AL6G45170	Np004G2093200, Np007G3994400, Np005G2976000, Np005G3035100, Np002G0985300
OG0000005	AL8G18430	Np006G3606800
OG0000005	AL2G18790	Np001G0309600, Np006G3467000, Np003G1728300
OG0000005	AL7G43820, AL7G43690	Np003G1689900, Np005G2966500
OG0000005	AL3G45600, AL1G65770	Np004G2216500, Np004G2220500, Np004G2217900
OG0000005	AL3G44970	Np003G1727100, Np005G2940800, Np006G3455900, Np009G4299700, Np003G1685100
OG0000007	AL1G53130	Np008G4270000, Np002G0921200
OG0000007	AL8G18310, AL1G37680, AL3G20440, AL2G22610, AL5G31160, AL1G46310, AL5G15300, AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130, AL5G42560, AL4G15130, AL1G41850, AL7G40730, AL6G17970	Np003G1457500
OG0000008	AL2G17460, AL6G27010, AL5G18950, AL7G45220	Np002G1031900, Np005G3077900
OG0000008	AL5G20470	Np002G0964800
OG0000008	AL5G32180, AL5G32140, AL5G32150	Np001G0535300
OG0000009	AL6G10570	Np002G0805000
OG0000009	AL5G14390, AL5G21470	Np004G1970100
OG0000009	AL7G37950	Np006G3596800, Np001G0374200, Np001G0291600
OG0000009	AL4G34770	Np004G1970200
OG0000009	AL2G39630	Np003G1663900, Np001G0129200, Np003G1783000
OG0000009	AL1G62100	Np002G0744000
OG0000011	AL8G22980	Np004G2119600
OG0000011	AL1G50520, AL5G34620, AL5G17780	Np002G1062300, Np003G1667700
OG0000011	AL1G17050	Np001G0298900, Np004G2255700, Np001G0314400
OG0000011	AL2G23260	Np001G0276200
OG0000011	AL2G22330	Np007G4050800, Np001G0276100
OG0000012	AL5G20450, AL971U10010, AL5G12390	Np001G0263200
OG0000014	AL9U11460	Np001G0363000, Np006G3544600, Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900
OG0000014	AL8G23060	Np009G4305300
OG0000015	AL25U10010, AL6G22310, AL7G26200	Np001G0295000, Np001G0361200
OG0000015	AL3G46060	Np008G4270200
OG0000016	AL5G12380, AL5G12270	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400
OG0000021	AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000022	AL1G23630, AL1G24180, AL1G23620	Np004G2449100
OG0000022	AL7G48260	Np005G3189900
OG0000023	AL2G18620	Np002G1180000
OG0000023	AL8G19620	Np002G1103400
OG0000023	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450	Np004G2177800
OG0000023	AL5G18610	Np003G1695200, Np006G3508300
OG0000023	AL1G66070	Np007G4040200
OG0000023	AL2G22450	Np005G3091400
OG0000024	AL4G16470	Np004G1980700, Np004G1980500
OG0000024	AL3G45420, AL4G35160	Np004G2150800
OG0000024	AL5G38280, AL5G39160, AL5G39170, AL5G23680	Np001G0579500, Np001G0579400
OG0000024	AL1G45210	Np004G2148800, Np004G2148600, Np005G2717400
OG0000025	AL9U11280, AL5G16730, AL2G12870	Np003G1727000
OG0000027	AL6G45930	Np003G1806500
OG0000027	AL7G30260	Np005G2838800
OG0000028	AL594U10010, AL7G42840	Np003G1643200
OG0000028	AL8G29780	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300
OG0000028	nbis-gene-2112, nbis-gene-2113, AL8G29920, AL8G28780, AL8G29950	Np003G1604900
OG0000029	AL5G20350, AL3G41570	Np003G1680700, Np003G1751100
OG0000029	nbis-gene-1243	Np006G3568700
OG0000030	AL1G40180, AL1G40160, AL1G40170	Np001G0090700
OG0000030	AL1G21870	Np004G2249500, Np004G2249800
OG0000030	AL3G24770	Np004G2250000
OG0000030	AL3G25930, AL3G25710, AL3G25690	Np007G4070000
OG0000031	AL1G56200	Np005G2850000
OG0000032	AL4G17980	Np004G2267700
OG0000034	AL7G30290	Np005G2840700, Np005G2840600
OG0000034	AL7G30310	Np005G2841700
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	Np004G2088100, Np005G3165600
OG0000035	AL1G64690	Np002G0910400
OG0000035	AL2G19330, AL4G18050, AL1G57000, AL6G38880, AL6G49460	Np005G2829500, Np004G2306200, Np004G2311400
OG0000038	AL7G52690, AL3G36940, AL4G43300, AL2G17230, AL4G20860, AL3G40380, AL3G29370, AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350, AL6G51820, AL6G35520, AL1G48000, AL109U10030, AL5G23080, AL4G27640, AL4G12180, AL2G24020, AL5G19730, AL2G18440, AL5G12950, AL2G20150, AL1G38790, AL3G17400, AL3G48900, AL9U10400, AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380, AL6G16840, AL7G52520, AL6G30230, AL3G51220, AL9U11250, AL3G29600, AL1G64180	Np007G3978400
OG0000040	AL677U10010	Np006G3694800, Np006G3353400
OG0000040	AL6G48140	Np004G1916700, Np002G0779200
OG0000041	AL6G37950	Np002G1205400
OG0000041	AL4G11230	Np004G2543000
OG0000042	AL1G54660	Np004G2298700
OG0000042	AL8G14180, AL1G42210	Np006G3478400
OG0000043	AL7G45030	Np002G0941700
OG0000043	AL983U10010	Np003G1677700
OG0000043	AL1G50370	Np006G3675100
OG0000043	AL8G19930	Np002G1248100
OG0000046	AL4G10770, AL5G16920, AL7G43910, AL3G42580	Np004G2388700, Np001G0160700
