Orthogroup	Arabidopsis_lyrata_Rawat	Arabidopsis_arenosa
OG0000000	AL6G27580	jg16911, jg12161, jg21611, jg27990
OG0000000	AL1G62960	jg5331, jg11875, jg33137
OG0000000	AL7G44730	jg7218
OG0000000	AL1G56620, AL5G26440, AL3G26530, AL7G44950	jg26753
OG0000000	AL2G12570, AL4G43860	jg25591
OG0000000	AL396U10020, AL4G14390, AL4G39790, nbis-gene-231, AL8G17890, AL5G12810, AL6G49130	jg27616
OG0000000	AL1G56670	jg25786
OG0000002	AL7G45780, AL7G43430, AL5G25580, AL2G27160, AL1G53170, AL9U10140, AL5G30280, AL3G49840, AL3G15910	jg2023, jg27584
OG0000002	AL3G37080	jg11830
OG0000002	AL4G14300	jg21985
OG0000002	AL6G39770, AL8G20740, AL987U10010	jg1034
OG0000002	AL4G19260	jg12348, jg27118
OG0000002	AL5G12150	jg1783
OG0000003	AL433U10010	jg27926
OG0000003	AL4G18440	jg13879
OG0000004	AL7G43300	jg27064, jg6905, jg12072, jg12472, jg1749
OG0000005	AL4G12740	jg14786
OG0000005	AL3G44970	jg1672
OG0000008	AL5G32180	jg15054, jg15062, jg15069, jg15057
OG0000009	AL251U10020, AL3G32130	jg1846, jg6872
OG0000009	AL1G49730	jg3218, jg20691
OG0000009	AL6G36520	jg12452, jg19324, jg23533
OG0000009	AL8G14080	jg13874, jg12267, jg12278
OG0000009	AL4G46120, AL8G23160	jg13081, jg20041
OG0000011	AL6G32670	jg21637
OG0000011	AL8G22980	jg26287
OG0000011	AL7G34180	jg4816, jg25269
OG0000011	AL7G52850	jg16702
OG0000011	AL1G50520	jg13838
OG0000011	AL5G34620, AL5G17780	jg27639
OG0000011	AL1G17050	jg7016, jg25810, jg18104, jg33105, jg17517, jg32960, jg20959
OG0000011	AL8G24370	jg21692
OG0000011	AL6G47490	jg32528
OG0000011	AL2G23260	jg6805
OG0000012	AL8G15640, AL3G37530	jg9712
OG0000012	AL6G20560	jg17246
OG0000012	AL2G23040, AL5G42550, AL1G61200, AL3G31820, AL5G24930, AL4G33280	jg14895, jg31555
OG0000012	AL7G32640, AL2G22620	jg16352, jg8938
OG0000012	AL1G46320	jg6738
OG0000012	AL4G10450	jg22437, jg1376
OG0000012	AL3G45980, AL4G24110	jg33243
OG0000012	AL2G22540	jg13806
OG0000012	AL971U10010	jg13807
OG0000014	AL9U11460	jg1574
OG0000015	AL3G46050	jg21086
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	jg27354
OG0000020	AL6G40580	jg32618
OG0000020	AL5G20560	jg11846
OG0000020	AL5G20700, AL4G18270, AL4G19490, AL5G11530	jg6982
OG0000020	AL6G46630	jg14690
OG0000020	AL7G16690, AL7G11240, AL4G42290	jg32222, jg15995
OG0000021	AL39U10070	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287
OG0000021	AL8G31610, AL7G45200, AL2G25080, AL5G20460	jg27179
OG0000021	AL4G20340	jg32393, jg11989, jg32560, jg4400
OG0000021	AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	jg26774
OG0000021	AL7G47350, AL7G51150	jg25715
OG0000022	AL6G27650	jg5495
OG0000022	AL2G18840	jg643
OG0000022	AL2G13140	jg617
OG0000022	AL2G12820	jg616
OG0000022	AL2G13170	jg618
