Orthogroup	Arabidopsis_lyrata_Rawat	Brassica_rapa
OG0000000	AL3G23500, AL3G28120, AL7G39870	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1
OG0000000	AL3G39580, AL2G19540	XP_009150345.1
OG0000000	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270	XP_033128765.1, XP_009108636.2, XP_033132438.1
OG0000000	AL6G33910, AL4G36510	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1
OG0000000	AL4G39790	XP_033129351.1
OG0000000	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180	XP_033147264.1, XP_033134838.1, XP_033130352.1, XP_033142250.1, XP_009114092.1, XP_009138592.1, XP_009103531.2
OG0000000	AL8G39910, AL1G63670	XP_033134325.1, XP_033135924.1
OG0000000	AL8G17990, AL4G17570	XP_009124577.2
OG0000002	AL8G36900, AL5G16580, AL1G63470, AL5G20000, AL2G19560, AL122U10020, AL6G39770, AL8G20740, AL987U10010, AL4G19260, AL4G18310, AL6G46170, AL5G15420, AL4G14990, AL7G51360, AL7G51800, AL1G67410, AL1G66540, AL4G21030, AL5G12150	XP_033148513.1
OG0000003	AL8G41490, AL4G39950, AL363U10020	XP_009123480.1
OG0000003	AL4G18120	XP_033131784.1
OG0000003	AL4G19540	XP_033129527.1
OG0000003	AL6G19270	XP_009136045.1
OG0000003	AL3G42970	XP_033133942.1
OG0000003	AL1G50760	XP_033138751.1
OG0000003	AL3G44960	XP_009138649.2
OG0000003	AL4G18440	XP_033133979.1
OG0000003	AL3G46190	XP_009102097.1, XP_033129330.1
OG0000003	AL8G18370	XP_009118886.2
OG0000003	AL4G12920, AL2G17030, AL668U10010, AL2G31940	XP_033136094.1
OG0000004	AL1G59120	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1
OG0000004	AL7G43300	XP_033140624.1, XP_033138950.1, XP_033130324.1, XP_033136136.1, XP_033145979.1, XP_033148872.1, XP_033133487.1, XP_033132457.1, XP_033132962.1
OG0000004	AL6G45170	XP_033129968.1, XP_033131705.1, XP_033129977.1, XP_033146608.1
OG0000005	AL8G18430	XP_033147058.1
OG0000005	AL63U10040	XP_033144892.1
OG0000005	AL7G13490	XP_018511976.2
OG0000005	AL97U10030, AL8G11290	XP_009113007.1, XP_033148226.1, XP_009106784.1, XP_033147287.1, XP_018514447.1
OG0000007	AL9U10810	XP_033140542.1
