Orthogroup	Camelina_sativa	Arabidopsis_lyrata_NCBI
OG0000000	XP_010419000.1, XP_010431245.1	XP_020890704.1, XP_020869115.1
OG0000000	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1	XP_020887909.1
OG0000000	XP_010484733.1, XP_010507009.1	XP_020885673.1
OG0000000	XP_019084310.1, XP_010484878.1	XP_020883444.1
OG0000000	XP_010495688.1, XP_010468497.1	XP_020888529.1
OG0000000	XP_010463143.1	XP_020867739.1
OG0000000	XP_010507174.1	XP_020890732.1
OG0000000	XP_010481232.1, XP_010480989.1, XP_010513536.1, XP_019094536.1, XP_010445465.1, XP_010418809.1, XP_010468748.2, XP_010445461.1, XP_010424753.1, XP_010446022.1, XP_019101856.1, XP_010412448.1, XP_019094471.1, XP_010506884.1, XP_010430691.1, XP_019089246.1, XP_010468536.1, XP_019091159.1, XP_019096517.1, XP_010513001.1, XP_010484944.1, XP_010507233.1, XP_019099624.1, XP_010424289.1, XP_010468779.1, XP_010513530.1, XP_019094514.1, XP_010495329.1, XP_010495217.1, XP_010481146.1, XP_010446169.1, XP_010424493.1, XP_010481092.1, XP_010468192.1, XP_010424608.1, XP_010451493.1, XP_010451645.1, XP_010490248.1, XP_019085377.1, XP_010495306.1, XP_010480636.1, XP_010468796.1, XP_010495441.1, XP_019093256.1, XP_019085449.1	XP_020874113.1
OG0000003	XP_010430863.1, XP_010436564.1, XP_019082654.1, XP_010489852.1, XP_010419362.1, XP_019094392.1, XP_010507045.1, XP_010490042.1, XP_010412489.1, XP_010418577.1, XP_010501871.1, XP_010501997.1, XP_010445721.1, XP_010445560.1, XP_019082529.1, XP_019100691.1	XP_020889841.1
OG0000003	XP_019089103.1	XP_020883515.1
OG0000003	XP_010495645.1	XP_020887717.1
OG0000004	XP_019098283.1	XP_020870151.1, XP_020870162.1
OG0000004	XP_019097715.1	XP_020886397.1, XP_020866436.1
OG0000004	XP_019096757.1	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1
OG0000004	XP_010518611.1	XP_020889539.1
OG0000004	XP_019085476.1, XP_019091276.1	XP_020874109.1
OG0000004	XP_010445376.1	XP_020878681.1
OG0000004	XP_019095344.1, XP_019085777.1, XP_019094874.1, XP_019088092.1	XP_020865758.1
OG0000005	XP_019085415.1, XP_010450321.1, XP_010445703.1, XP_010497063.1	XP_020871957.1, XP_020866342.1, XP_020887113.1
OG0000005	XP_010490329.1	XP_020880760.1, XP_020877199.1
OG0000007	XP_019086691.1, XP_019100941.1	XP_020870157.1, XP_020870555.1
OG0000007	XP_010468495.1, XP_010445987.1, XP_010463082.1, XP_010507576.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019097408.1, XP_019094446.1, XP_010480912.1	XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1
OG0000007	XP_019084200.1, XP_010490462.1, XP_010485011.1, XP_010462584.1, XP_010485291.1, XP_010478660.1, XP_010500080.1, XP_019082601.1, XP_019090940.1, XP_019094917.1, XP_019093341.1, XP_019087695.1, XP_010470530.1, XP_019089183.1, XP_019101696.1, XP_019087470.1, XP_010513731.1, XP_010495913.1, XP_010507724.1, XP_010424263.1, XP_010501166.1, XP_019093691.1	XP_020871008.1
OG0000007	XP_019099816.1, XP_010463256.1	XP_020866419.1
OG0000008	XP_010445484.1	XP_020871586.1
OG0000008	XP_010484838.1, XP_010425247.1, XP_010480908.1, XP_010451894.1	XP_020881833.1
OG0000008	XP_019098037.1, XP_010507054.1	XP_020882642.1, XP_020879664.1
OG0000008	XP_019087530.1, XP_010419093.1, XP_019096488.1, XP_010419095.1	XP_020882276.1
OG0000008	XP_019085490.1, XP_010451904.1	XP_020876690.1, XP_020867861.1
OG0000008	XP_010431254.1, XP_010507402.1	XP_020881885.1, XP_020881611.1
OG0000008	XP_010507400.1, XP_019101905.1, XP_010431252.2	XP_020881699.1
OG0000008	XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2	XP_020879836.1
OG0000008	XP_019097389.1, XP_019092334.1	XP_020879665.1, XP_020882645.1
OG0000008	XP_010480870.1	XP_020879646.1, XP_020872716.1
OG0000008	XP_019084336.1	XP_020874196.1
OG0000009	XP_019101780.1, XP_010446224.1, XP_010424733.1, XP_019085473.1	XP_020887659.1
OG0000009	XP_010481118.1	XP_020883429.1
OG0000009	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1	XP_020877155.1, XP_020876055.1
OG0000009	XP_010445906.1, XP_010473781.1	XP_020876464.1
OG0000009	XP_010495420.1	XP_020881689.1
OG0000009	XP_019089031.1	XP_020867197.1
OG0000011	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1	XP_020876758.1, XP_020889800.1, XP_020881514.1
OG0000011	XP_010516924.1	XP_020891537.1
OG0000011	XP_019082510.1, XP_019090103.1, XP_019093634.1	XP_020866192.1, XP_020877161.1
OG0000011	XP_010419507.1, XP_010424482.1, XP_010436780.1, XP_019082511.1, XP_010436492.1, XP_010451471.1, XP_010480806.1, XP_010424296.1, XP_019095651.1, XP_010471617.2, XP_019093372.1, XP_010474558.1, XP_019094504.1, XP_019084280.1, XP_010412776.1, XP_010501674.1, XP_010507749.1, XP_010418236.1, XP_010419113.1, XP_019090188.1, XP_010424237.1, XP_010418869.1	XP_020887011.1
OG0000011	XP_010496928.1, XP_010501572.1	XP_020872379.1, XP_020877201.1, XP_020879405.1
OG0000011	XP_019087271.1	XP_020881858.1
OG0000011	XP_010424212.1	XP_020888576.1
OG0000011	XP_010504520.2	XP_020887134.1
