Orthogroup	Camelina_sativa	Cardamine_hirsuta
OG0000000	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1	CARHR228880, CARHR142010
OG0000000	XP_010424208.1, XP_019101571.1, XP_019092328.1, XP_019087439.1, XP_010456766.1, XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1, XP_019101890.1, XP_010463143.1, XP_019098912.1, XP_010507174.1	CARHR153350
OG0000007	XP_010431602.1, XP_010495651.1	CARHR258710
OG0000007	XP_019086691.1	CARHR180980, CARHR287750
OG0000007	XP_010436667.1, XP_010435400.1	CARHR058800, CARHR052910, CARHR152010, CARHR154010
OG0000007	XP_010481225.1	CARHR144660, CARHR100290
OG0000007	XP_010507307.1	CARHR060230, CARHR133710, CARHR271640, CARHR058320
OG0000007	XP_010511600.1, XP_010507587.1	CARHR096020
OG0000007	XP_019087477.1	CARHR029260, CARHR156010, CARHR051850
OG0000007	XP_010485281.1	CARHR151410
OG0000007	XP_010421049.1, XP_010468811.1	CARHR214530
OG0000007	XP_010485291.1, XP_010478660.1, XP_010500080.1	CARHR150730
OG0000007	XP_019083796.1, XP_010469173.1, XP_010444914.1	CARHR024460
OG0000007	XP_010501823.1	CARHR060220
OG0000007	XP_010428435.1	CARHR271650
OG0000007	XP_019099816.1, XP_010463256.1	CARHR055800, CARHR216040, CARHR051840
OG0000008	XP_010484914.2	CARHR046080, CARHR116420
OG0000008	XP_010418963.1, XP_010494551.1, XP_019090719.1	CARHR101910
OG0000008	XP_019085413.1	CARHR159360
OG0000008	XP_019084270.1	CARHR258310, CARHR217850
OG0000008	XP_010490195.1	CARHR183140
OG0000008	XP_010468434.1, XP_019086304.1, XP_010496023.1, XP_010484923.1, XP_010474067.1, XP_019094615.1, XP_010484960.1, XP_010473823.2, XP_010506903.1	CARHR056560, CARHR114970, CARHR150550
OG0000008	XP_010484838.1, XP_010425247.1, XP_010480908.1, XP_010451894.1	CARHR293430
OG0000008	XP_010423670.1, XP_010507012.1	CARHR035430, CARHR217860
OG0000008	XP_019087530.1, XP_010419093.1, XP_019096488.1, XP_010419095.1	CARHR118900
OG0000008	XP_010431254.1, XP_010507402.1	CARHR161340
OG0000008	XP_010507400.1, XP_019101905.1, XP_010431252.2	CARHR161350
OG0000008	XP_010456996.1	CARHR217020, CARHR131120, CARHR164530, CARHR288680
OG0000008	XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2	CARHR103530
OG0000008	XP_010445494.1	CARHR257810, CARHR218380
OG0000008	XP_019087202.1	CARHR259120
OG0000008	XP_010495176.1, XP_010497048.1	CARHR119350, CARHR214330
OG0000008	XP_019100926.1, XP_010451668.1, XP_010434876.2, XP_010495526.1, XP_010445463.1, XP_010445485.1	CARHR286130, CARHR178960
OG0000008	XP_019097389.1, XP_019092334.1, XP_010480870.1, XP_019084336.1	CARHR118910, CARHR216990, CARHR111800
OG0000009	XP_019096542.1	CARHR217600, CARHR160220
OG0000009	XP_019090183.1	CARHR091740
OG0000009	XP_010506896.1, XP_010507310.1, XP_019093287.1, XP_010495420.1, XP_010456726.1	CARHR114650
OG0000009	XP_019089031.1	CARHR153540
OG0000012	XP_010420789.1	CARHR032720
OG0000012	XP_010464671.1, XP_010500083.1, XP_010517357.1, XP_010446274.1, XP_010474320.1, XP_010418947.1, XP_010451621.1, XP_010436204.1, XP_010445208.1, XP_010463434.1	CARHR032710
OG0000014	XP_019091121.1, XP_019086291.1	CARHR287490
OG0000015	XP_010480818.1, XP_010497195.1, XP_010456599.1, XP_010420917.1, XP_019089071.1, XP_010462823.1, XP_019101915.1, XP_010490066.1, XP_010472228.1, XP_010490468.1, XP_010445504.1, XP_010481162.1	CARHR258200, CARHR258330
OG0000015	XP_010427798.1, XP_010450099.1, XP_010445653.1, XP_019101582.1, XP_010517126.1, XP_010488852.1, XP_019089569.1, XP_010412816.1, XP_010470614.1, XP_010474544.1, XP_010484774.1	CARHR110600
OG0000020	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1	CARHR113350, CARHR034150, CARHR049310
OG0000020	XP_019082585.1	CARHR213120
OG0000021	XP_010436809.1, XP_010424537.1, XP_010506965.1	CARHR146600
OG0000022	XP_010438694.1, XP_010448208.1, XP_010433436.1	CARHR234420
OG0000022	XP_010453827.1, XP_019084725.1, XP_010492576.1	CARHR196550
OG0000022	XP_019082759.1, XP_019087557.1	CARHR051050, CARHR048810
OG0000022	XP_010473491.1, XP_010418269.1, XP_010430336.1	CARHR049170
OG0000022	XP_010419464.1	CARHR048480, CARHR048800
OG0000022	XP_019085675.1	CARHR048840
OG0000022	XP_019082755.1, XP_019087757.1, XP_010419472.1, XP_010430432.1	CARHR048440, CARHR047970
OG0000022	XP_019093419.1	CARHR045470, CARHR051030
OG0000022	XP_010462675.2	CARHR048220
OG0000022	XP_010474584.1, XP_019085228.1, XP_010419465.1	CARHR049120
OG0000022	XP_010458700.1	CARHR013000
OG0000022	XP_010418533.1, XP_019085324.1	CARHR046360
OG0000022	XP_010418529.1, XP_010430597.1	CARHR046370
OG0000022	XP_010447152.1, XP_010436064.1	CARHR213210
OG0000022	XP_019096254.1, XP_010504570.1, XP_010465692.1	CARHR091960
OG0000024	XP_019082533.1	CARHR030400
OG0000024	XP_010480482.1, XP_010480750.1	CARHR031230, CARHR030890
OG0000024	XP_019091876.1, XP_010501690.1, XP_010478534.1	CARHR126510, CARHR030870
OG0000024	XP_019094488.1	CARHR116780
OG0000024	XP_010478551.1	CARHR174240
OG0000024	XP_010480848.1, XP_010478732.1, XP_010463094.1	CARHR113190
OG0000024	XP_010463028.1, XP_019094489.1	CARHR112760
OG0000025	XP_010438543.1, XP_010496538.1, XP_010424792.1	CARHR288360
OG0000027	XP_010434897.1, XP_010455557.1, XP_010455558.1	CARHR255070
OG0000027	XP_019089721.1	CARHR255040
OG0000027	XP_010439188.2, XP_010433919.1	CARHR057450
OG0000027	XP_010445177.2	CARHR230630
OG0000027	XP_019087868.1, XP_019089322.1	CARHR230470, CARHR230480
OG0000027	XP_019089325.1, XP_010433927.1	CARHR230510
OG0000027	XP_019086460.1	CARHR230500
OG0000027	XP_010427119.1, XP_010514748.1, XP_010503063.1	CARHR230410
OG0000027	XP_019090217.1, XP_019084079.1	CARHR254910, CARHR254920
OG0000027	XP_010422102.1	CARHR254880
OG0000027	XP_010445185.2	CARHR230560
OG0000027	XP_010439208.1, XP_010433929.1, XP_010448752.1	CARHR230300
OG0000027	XP_019087878.1	CARHR055330
OG0000027	XP_019089062.1, XP_010448746.1, XP_010439203.1	CARHR230350
OG0000027	XP_010451236.1	CARHR230440
OG0000027	XP_019088139.1	CARHR230330, CARHR230640
OG0000028	XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1	CARHR285330
OG0000028	XP_019095667.1	CARHR220000, CARHR100780
OG0000028	XP_010478410.1, XP_010480737.1, XP_019094483.1, XP_019094842.1	CARHR030090
OG0000028	XP_010456475.1	CARHR289310
OG0000028	XP_010450245.1	CARHR269250
OG0000028	XP_010449339.1, XP_010450257.1, XP_010450330.1, XP_010485150.2	CARHR268630
OG0000028	XP_010485121.1, XP_010446111.1, XP_019086647.1, XP_010482860.1, XP_010485122.1, XP_010485123.1	CARHR267520
OG0000028	XP_010446868.1	CARHR242050
OG0000028	XP_010446182.1	CARHR267840
OG0000028	XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1	CARHR267700
OG0000030	XP_010419044.1	CARHR060010, CARHR059990
OG0000030	XP_019100742.1	CARHR134370
OG0000030	XP_010462898.1	CARHR162370
OG0000030	XP_010506941.1, XP_010481243.1	CARHR260760, CARHR260790
OG0000030	XP_019099946.1, XP_019099931.1, XP_010431180.1	CARHR158520, CARHR158510, CARHR158530
OG0000030	XP_019096643.1	CARHR088850
OG0000030	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1	CARHR088860, CARHR095910, CARHR026350
OG0000032	XP_010419309.1	CARHR158150, CARHR057520, CARHR108030, CARHR217640
OG0000032	XP_010446026.1	CARHR289940
OG0000032	XP_010457003.2, XP_010412532.1, XP_010451598.1, XP_010494552.1	CARHR284240
OG0000032	XP_019100224.1	CARHR287680, CARHR287700, CARHR266450
OG0000032	XP_010418918.1, XP_010436558.1	CARHR266460
OG0000034	XP_010433941.1, XP_010439209.1, XP_010448753.1	CARHR230270, CARHR230290
OG0000034	XP_010439226.1, XP_010439227.1	CARHR055320
OG0000034	XP_019086474.1	CARHR228000
OG0000034	XP_019089519.1, XP_010434185.1	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	XP_019088150.1, XP_019089518.1	CARHR289950
OG0000034	XP_010467326.1	CARHR106160
OG0000034	XP_019087869.1	CARHR230360
OG0000034	XP_010439201.1, XP_019089065.1, XP_010448744.1	CARHR230320
OG0000034	XP_010433930.1, XP_019087874.1, XP_010448768.1	CARHR230230, CARHR230200
OG0000038	XP_019087577.1, XP_019095590.1, XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1	CARHR187570
OG0000038	XP_019090156.1, XP_019096519.1	CARHR259820
OG0000039	XP_019100868.1, XP_019082678.1	CARHR117850
OG0000042	XP_010412443.1	CARHR258550
OG0000042	XP_010424173.1	CARHR154720
OG0000042	XP_010513423.1, XP_010473769.1, XP_010513486.1	CARHR260310
OG0000042	XP_010463124.1	CARHR181500
OG0000043	XP_010471448.1	CARHR288090
OG0000043	XP_019097453.1	CARHR216370
OG0000043	XP_010474216.1	CARHR121910
OG0000044	XP_019089124.1	CARHR223510
OG0000044	XP_019090872.1	CARHR175840, CARHR175230
OG0000044	XP_010494828.1	CARHR175060
OG0000044	XP_010496021.1	CARHR174840
OG0000044	XP_019095933.1	CARHR116350
OG0000044	XP_019086125.1	CARHR223530
OG0000044	XP_010434750.1, XP_010440077.1, XP_010440087.1	CARHR222470
OG0000046	XP_019091484.1	CARHR104690, CARHR258020
OG0000046	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1	CARHR159290
