Orthogroup	Odontarrhena_muralis	Eutrema_salsugineum
OG0000000	Om007G305590	XP_024010229.1, XP_024014993.1
OG0000000	Om005G215690, Om007G308190	XP_024011370.1, XP_024016564.1, XP_024009381.1, XP_024016539.1, XP_024009341.1
OG0000000	Om007G313100	XP_024016570.1
OG0000002	Om007G305030	XP_024006401.1, XP_024014700.1
OG0000002	Om002G054700	XP_024013327.1, XP_024006099.1, XP_024009744.1, XP_024011203.1, XP_024007922.1, XP_024014218.1, XP_024015242.1, XP_024014055.1, XP_024010428.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024013910.1, XP_024005018.1, XP_024015965.1, XP_024004035.1, XP_024014994.1, XP_024011225.1, XP_024015835.1, XP_024009787.1, XP_024010274.1, XP_024014545.1, XP_024015894.1, XP_024010275.1, XP_024010359.1, XP_024004942.1, XP_024014437.1, XP_024014547.1, XP_024016288.1, XP_024013299.1, XP_024013567.1, XP_024010360.1, XP_024016271.1, XP_024015836.1, XP_024016289.1, XP_024016302.1
OG0000002	Om007G309520, Om002G043270	XP_024016294.1
OG0000002	Om003G105370, Om003G107650, Om008G342070, Om003G102030	XP_024013294.1
OG0000002	Om004G152900	XP_024013097.1, XP_024010604.1, XP_024009251.1, XP_024009451.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024011258.1, XP_024016116.1, XP_024010553.1, XP_024013954.1, XP_024013993.1, XP_024016193.1, XP_024013210.1, XP_024015869.1, XP_024009904.1, XP_024010307.1, XP_024015923.1, XP_024013058.1
OG0000003	Om007G276690	XP_006391417.2, XP_024011134.1, XP_024010447.1, XP_024013113.1, XP_024016241.1, XP_024013903.1, XP_006404995.2, XP_024013358.1, XP_006402217.2, XP_024016125.1, XP_024003648.1, XP_024013775.1
OG0000003	Om004G173160	XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1
OG0000003	Om008G354600	XP_024009759.1, XP_024009236.1, XP_024007306.1
OG0000003	Om002G078910, Om007G310130	XP_024009771.1
OG0000003	Om001G015910	XP_024015858.1
OG0000003	Om006G262980	XP_024014001.1
OG0000003	Om005G217810, Om005G210700	XP_024015845.1
OG0000003	Om008G345700	XP_024016373.1
OG0000003	Om004G155100	XP_024014528.1, XP_024014499.1, XP_024006399.1
OG0000003	Om007G309660	XP_024010472.1
OG0000003	Om005G217790	XP_024016094.1, XP_024013092.1, XP_024009493.1
OG0000004	Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730	XP_024004906.1, XP_024016239.1
OG0000004	Om008G333050	XP_024014707.1
OG0000004	Om004G154430, Om006G235390	XP_024006398.1
OG0000004	Om007G313270	XP_024014264.1
OG0000004	Om001G019850	XP_024004139.1
OG0000004	Om004G159780	XP_024016341.1, XP_024015975.1, XP_024008064.1, XP_024010299.1, XP_024010421.1, XP_024015192.1, XP_024014000.1, XP_024010207.1, XP_024004991.1, XP_024013215.1, XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024008027.1, XP_024013218.1, XP_024015971.1, XP_024004414.1, XP_024016203.1, XP_024012343.1, XP_024010239.1, XP_024011123.1
OG0000005	Om002G083130	XP_024014484.1, XP_024013044.1, XP_024009292.1
OG0000005	Om002G053280	XP_024010426.1
OG0000005	Om001G005070	XP_006408923.1
OG0000005	Om003G112550	XP_024010394.1
OG0000005	Om003G097810, Om006G275350	XP_024009751.1
OG0000005	Om005G212800, Om006G268170, Om002G071580	XP_024013918.1, XP_024007904.1
OG0000005	Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510	XP_024004860.1, XP_024006562.1
OG0000005	Om007G282810, Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060	XP_006404467.1
OG0000005	Om002G076060	XP_024016213.1
OG0000005	Om004G151870, Om002G089170, Om004G141530	XP_024014912.1
OG0000005	Om007G309960, Om001G015550, Om009G364000	XP_024004039.1
OG0000005	Om006G261840	XP_024006395.1
OG0000006	Om005G227740	XP_024016122.1
OG0000008	Om007G284450, Om008G361640, Om007G313430	XP_024013171.1, XP_024010288.1, XP_024007970.1, XP_024013997.1, XP_024014486.1, XP_024004792.1, XP_024009495.1, XP_024006454.1, XP_024013969.1, XP_024009322.1, XP_024009407.1, XP_024015209.1, XP_024010682.1, XP_024009967.1, XP_024013989.1, XP_024014489.1
OG0000008	Om004G146620	XP_024014781.1, XP_024006483.1
OG0000008	Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680	XP_024010377.1, XP_024010217.1
OG0000010	Om008G341420	XP_024014048.1, XP_006408809.2
OG0000010	Om003G108840	XP_024011382.1, XP_024005930.1, XP_024013196.1
OG0000010	Om002G089070	XP_024006470.1
OG0000011	Om005G184900	XP_024010246.1, XP_024010847.1, XP_024006310.1, XP_024014087.1, XP_024006789.1, XP_024013645.1, XP_024010196.1
OG0000012	Om004G146180	XP_024016167.1
OG0000012	Om005G215090, Om003G105470, Om004G154660	XP_024013199.1
OG0000012	Om008G343540	XP_024009473.1
OG0000012	Om003G106630	XP_024004033.1
OG0000012	Om004G153330, Om018G374000	XP_024016113.1
OG0000012	Om008G342970	XP_024013159.1, XP_024015863.1, XP_024015862.1, XP_024010078.1, XP_024016374.1
OG0000013	Om008G346820, Om005G224220	XP_024013108.1, XP_024013090.1
OG0000013	Om002G088760, Om001G031100, Om003G113450, Om006G258780	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1
OG0000013	Om002G089030	XP_024009217.1, XP_024010471.1, XP_024016668.1, XP_024004795.1, XP_024015926.1, XP_024006469.1, XP_024007909.1, XP_024006481.1, XP_024010423.1, XP_024016274.1
