Orthogroup	Odontarrhena_muralis	Noccaea_praecox
OG0000000	Om007G305590	Np007G401540, Np010G434720, Np005G295050
OG0000000	Om008G349060	Np004G209310, Np005G297590, Np007G399430
OG0000000	Om007G313100	Np005G293490
OG0000000	Om004G155360, Om001G016100, Om008G346050, Om007G315370, Om008G345840, Om005G216480, Om008G360230, Om002G080940, Om011G365800	Np005G303490, Np007G403630, Np002G098520, Np005G296390
OG0000000	Om008G350840	Np005G293500
OG0000000	Om004G142780, Om003G104870, Om003G105610	Np003G167670, Np002G107260, Np004G207890
OG0000002	Om002G054700	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920
OG0000002	Om007G309520, Om002G043270	Np008G427570, Np002G103600, Np002G105770, Np011G436400, Np008G426050, Np005G296560
OG0000002	Om004G152900	Np007G405440
OG0000002	Om005G222520, Om004G148400, Om001G016090	Np006G346800, Np002G102950
OG0000003	Om007G276690	Np001G048710, Np006G360670
OG0000003	Om004G173160	Np008G429060, Np001G031010, Np002G099380
OG0000003	Om002G078910, Om007G310130	Np005G296640, Np003G168980
OG0000003	Om003G107890, Om007G304830	Np003G172820
OG0000003	Om006G262980	Np006G345580, Np005G294070
OG0000003	Om005G217810, Om005G210700	Np009G429960, Np003G168500
OG0000003	Om008G345700	Np006G346690
OG0000003	Om005G217790	Np003G170760
OG0000004	Om008G333050	Np002G100200
OG0000004	Om007G317080, Om007G314040, Om006G243290, Om001G014830	Np002G096870
OG0000004	Om004G151610, Om003G106990	Np006G348510
OG0000004	Om004G159780	Np003G181890, Np006G322390, Np003G175180, Np001G023660, Np002G091360, Np003G151570, Np003G164930, Np001G040440, Np005G318460, Np001G046240, Np001G038320, Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650, Np005G318450
OG0000004	Om008G320930	Np005G308780, Np001G054660
OG0000005	Om005G219680, Om008G356930, Om004G145060	Np002G080500
OG0000005	Om001G028590, Om007G295980	Np004G197000
OG0000005	Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900	Np003G166380
OG0000005	Om007G300980, Om001G001060, Om006G273080	Np003G178290, Np001G012920
OG0000005	Om003G112550	Np002G098860
OG0000005	Om004G141520	Np001G027520
OG0000005	Om007G300990	Np006G359670
OG0000005	Om008G339980	Np001G029160, Np001G037420
OG0000005	Om007G282810	Np004G203550, Np005G265280
OG0000005	Om003G112530, Om008G348300	Np002G098830
OG0000005	Om003G121930	Np002G093480
OG0000005	Om002G076060	Np001G012890, Np001G012870, Np001G029170
OG0000005	Om004G151870, Om002G089170, Om004G141530	Np008G427710
OG0000005	Om007G307980	Np003G170890, Np003G170800
OG0000005	Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940	Np006G355750, Np002G110360
OG0000007	Om006G253570, Om001G035080, Om001G019950, Om007G300730	Np007G402900, Np001G003900
OG0000007	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480	Np005G307400
OG0000007	Om001G019860	Np003G129790, Np005G315800, Np003G152970
OG0000007	Om007G283730	Np003G126450
OG0000007	Om007G297600	Np004G201210, Np004G226300, Np002G092690, Np001G031480
OG0000007	Om006G268360, Om002G076040	Np006G356870
OG0000008	Om007G284450, Om008G361640, Om007G313430	Np002G102670, Np005G307780, Np002G103180
OG0000008	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880, Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680	Np001G053530
OG0000010	Om006G235910	Np001G027540, Np002G098260
OG0000010	Om002G089070	Np004G221660
OG0000012	Om004G146180	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280
OG0000012	Om003G105470, Om004G154660	Np005G318540, Np002G106560
OG0000012	Om008G343540	Np002G117990
OG0000012	Om007G307770	Np004G217770
OG0000012	Om008G342970	Np006G341500
OG0000013	Om008G346820, Om005G224220	Np005G297160
OG0000013	Om002G088760, Om001G031100, Om003G113450, Om006G258780	Np002G102600, Np003G173130
OG0000014	Om004G169570	Np001G042570, Np002G073300
OG0000015	Om008G350280	Np005G274380
OG0000015	Om003G105790, Om004G154560	Np007G416100, Np001G036120
OG0000015	Om007G305020	Np001G029500
OG0000017	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900	Np003G166290
OG0000017	Om003G101880, Om004G153720	Np003G171300
OG0000018	Om008G335480, Om007G284460, Om008G361630	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010, Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980
OG0000019	Om004G154810, Om003G104700, Om002G077910	Np001G027620
OG0000019	Om006G268990	Np001G029890
OG0000020	Om002G078790	Np004G226740
OG0000021	Om005G226540, Om001G020790	Np005G303890
OG0000021	Om001G038730	Np007G393560
OG0000021	Om007G288300, Om001G003370, Om007G291430, Om002G057270, Om005G225300	Np004G199140
OG0000021	Om001G020780, Om001G006810, Om002G059070	Np007G402490, Np003G147560, Np002G120150, Np002G109960, Np003G148260
OG0000023	Om001G010360, Om001G009290	Np003G180610, Np005G283850, Np005G283730
OG0000023	Om001G010200	Np005G284120
OG0000023	Om001G011570	Np005G284070
OG0000024	Om008G342080, Om001G017150	Np002G092500
OG0000024	Om001G030080, Om007G305000	Np002G100170, Np001G029650, Np002G091590, Np007G393480
OG0000026	Om002G080990	Np003G172690
OG0000026	Om005G219100, Om002G081000, Om002G080320	Np006G365240
OG0000028	Om007G314890	Np003G175100
OG0000028	Om007G308810, Om003G104130	Np006G356860
OG0000028	Om001G019310	Np002G105400, Np003G145220, Np003G175090
OG0000029	Om008G343780	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	Om004G147450	Np003G172500
OG0000029	Om006G262550, Om004G151510	Np002G113330, Np005G304980
OG0000029	Om007G298330	Np003G172510
OG0000030	Om004G153710	Np004G229860
OG0000030	Om001G038800, Om006G253510	Np006G347830
OG0000030	Om005G226380	Np002G096140, Np004G216100, Np006G330890
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	Np004G244900
OG0000031	Om007G317990	Np005G318980
OG0000032	Om007G313850	Np002G100550
OG0000033	Om001G010240	Np005G284050, Np005G284060
OG0000033	Om001G010210	Np005G284130
OG0000033	Om001G011550	Np005G284080
OG0000033	Om001G010110	Np005G284160
OG0000034	Om003G107450	Np007G396340
OG0000034	Om008G345340	Np001G040260, Np002G107010
OG0000034	Om008G349540	Np006G350340
OG0000034	Om002G079430	Np002G102640, Np002G107950, Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530, Np006G341510
OG0000034	Om003G110790	Np006G345750, Np009G431360
OG0000034	Om002G074540, Om005G222580, Om009G363250	Np003G168290
OG0000034	Om008G344620	Np001G007970
OG0000035	Om006G273920, Om002G042810	Np002G092640, Np006G364470
OG0000035	Om007G280220, Om007G279280, Om006G269650, Om008G331040	Np006G356560
OG0000035	Om002G060840, Om004G132400, Om008G334460, Om007G279790, Om003G126360, Om003G126370	Np005G313520
OG0000037	Om001G018180	Np001G045190
OG0000037	Om005G188070	Np001G010230, Np005G278320, Np002G088180, Np002G110300, Np005G302190, Np006G359940
OG0000038	Om005G196570, Om004G131590	Np004G226960, Np002G071800, Np001G060270, Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	Om006G262290	Np007G415720
OG0000039	Om008G321840	Np002G110420, Np004G205120
OG0000039	Om006G250590, Om002G057780	Np003G169970, Np003G173960, Np005G281640, Np005G291080, Np002G114120, Np002G083010, Np006G358200, Np006G358160, Np003G164590, Np005G289260, Np005G309180, Np003G166870, Np003G169960, Np002G105450, Np002G106970, Np002G100620, Np005G297660, Np009G432470
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	Np001G009070
OG0000040	Om007G309130	Np004G224990
OG0000041	Om007G301270, Om004G141670, Om009G364080, Om007G307140	Np003G171490, Np002G100930
OG0000041	Om002G075010, Om001G018420	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530
OG0000042	Om004G177160	Np004G191660
OG0000044	Om007G314900, Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	Om003G112290, Om002G088970, Om006G255110	Np006G334530
OG0000045	Om001G031280	Np002G098570, Np005G284990, Np007G389140
OG0000046	Om006G241220	Np005G314650
OG0000046	Om001G001860	Np005G292150, Np005G292140
OG0000046	Om006G253990	Np005G313330
OG0000048	Om007G296190, Om007G296250	Np003G145430, Np003G145400, Np003G145550
OG0000048	Om007G296260	Np003G145440, Np003G145490, Np003G145410
OG0000050	Om007G308990	Np002G095340
OG0000050	Om002G077490	Np002G095850
OG0000050	Om006G268560	Np002G095350
OG0000050	Om002G080880	Np003G176510
OG0000050	Om008G341390, Om005G201890, Om005G219290	Np002G099150
OG0000052	Om005G179650, Om008G361390	Np004G255200
OG0000052	Om005G180640	Np007G384340
OG0000052	Om008G326600	Np002G116290, Np002G116590
OG0000052	Om008G326650	Np006G328590, Np006G328570, Np006G328580
OG0000052	Om008G326590	Np003G173020
OG0000052	Om008G326540	Np006G328480
OG0000053	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830	Np001G040210, Np005G311290, Np006G327430
OG0000054	Om008G359460, Om008G361290	Np005G274000, Np001G042780, Np006G332680
OG0000055	Om005G224080	Np002G119410
OG0000055	Om001G019570, Om001G031910	Np002G119400
