Orthogroup	Odontarrhena_muralis	Cardamine_amara
OG0000000	Om007G305590	evm.model.RL_6.432, evm.model.RL_4.710
OG0000000	Om008G350840	evm.model.RL_3.693
OG0000000	Om004G142780, Om003G104870, Om003G105610	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	evm.model.RL_2.738, evm.model.RL_4.733, evm.model.RL_1.3301
OG0000000	Om004G154060, Om009G363570, Om004G177240, Om006G269410	evm.model.RL_8.1072
OG0000000	Om004G155370	evm.model.RL_2.1335, evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374
OG0000003	Om007G276690	evm.model.RL_5.2420, evm.model.RL_2.1084
OG0000003	Om003G107890, Om007G304830	evm.model.RL_1.2632
OG0000003	Om005G217810, Om005G210700	evm.model.RL_5.2494
OG0000003	Om007G309690, Om008G345700	evm.model.RL_6.652
OG0000003	Om005G217800, Om004G150180, Om001G017380	evm.model.RL_1.2635
OG0000003	Om004G155100	evm.model.RL_6.663, evm.model.RL_2.668, evm.model.RL_3.810
OG0000003	Om007G309660	evm.model.RL_7.2055, evm.model.RL_6.631
OG0000003	Om005G217790	evm.model.RL_7.2059, evm.model.RL_6.676, evm.model.RL_1.2633
OG0000004	Om003G114900, Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730, Om008G333050	evm.model.RL_2.303
OG0000004	Om004G151610, Om003G106990	evm.model.RL_2.401
OG0000004	Om004G159780	evm.model.RL_2.402
OG0000005	Om004G139040	evm.model.RL_2.975, evm.model.RL_4.402
OG0000005	Om001G028590, Om007G295980	evm.model.RL_7.1952, evm.model.RL_8.339
OG0000005	Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900	evm.model.RL_1.1902
OG0000005	Om007G300990	evm.model.RL_2.1105
OG0000005	Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060	evm.model.RL_1.1086
OG0000005	Om003G112530, Om008G348300	evm.model.RL_1.3117
OG0000005	Om002G076060	evm.model.RL_1.1904, evm.model.RL_2.461
OG0000005	Om006G257980	evm.model.RL_2.1096
OG0000007	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480	evm.model.RL_2.1094
OG0000007	Om006G249530	evm.model.RL_3.2011
OG0000007	Om005G219310, Om006G244810, Om006G267880, Om011G365910, Om003G114390	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223
OG0000007	Om006G268350	evm.model.RL_1.2700, evm.model.RL_2.507
OG0000007	Om007G297600, Om005G190610, Om004G164520, Om006G258000	evm.model.RL_2.539
OG0000007	Om008G348570, Om007G299940, Om006G268360, Om002G076040	evm.model.RL_2.2279
OG0000008	Om007G284450, Om008G361640, Om007G313430	evm.model.RL_4.1914
OG0000010	Om006G235910	evm.model.RL_7.2083, evm.model.RL_3.1061, evm.model.RL_2.724, evm.model.RL_2.751, evm.model.RL_2.615, evm.model.RL_2.220, evm.model.RL_7.2000, evm.model.RL_3.814, evm.model.RL_7.1970
OG0000010	Om008G341420	evm.model.RL_6.734, evm.model.RL_8.1076
OG0000010	Om003G108840	evm.model.RL_4.113
OG0000011	Om005G184900	evm.model.RL_1.2267
OG0000012	Om004G146180	evm.model.RL_4.165
OG0000012	Om008G343540	evm.model.RL_6.730, evm.model.RL_5.2582
OG0000013	Om008G350670	evm.model.RL_5.2507
OG0000013	Om002G088760, Om001G031100, Om003G113450, Om006G258780	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358
OG0000013	Om002G089030	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397
OG0000013	Om003G108850, Om006G268640	evm.model.RL_6.796
OG0000014	Om008G343710	evm.model.RL_3.2284
OG0000015	Om008G350280	evm.model.RL_1.3215
OG0000015	Om003G105790, Om004G154560	evm.model.RL_2.1121
OG0000015	Om007G305020	evm.model.RL_8.879
OG0000015	Om002G088840	evm.model.RL_4.1007
OG0000017	Om003G112310, Om004G148090	evm.model.RL_7.1888
OG0000017	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040	evm.model.RL_6.717
OG0000017	Om003G101880, Om004G153720	evm.model.RL_7.1516
OG0000018	Om008G335480, Om007G284460, Om008G361630	evm.model.RL_4.1915, evm.model.RL_6.190, evm.model.RL_7.1872
OG0000020	Om007G308530, Om007G308500	evm.model.RL_7.2127
OG0000020	Om008G361920	evm.model.RL_2.3364
OG0000020	Om007G309390	evm.model.RL_7.2129
OG0000021	Om005G226540, Om001G020790	evm.model.RL_7.92, evm.model.RL_2.444, evm.model.RL_5.2428, evm.model.RL_6.438
OG0000021	Om001G020780, Om001G006810, Om002G059070	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	Om001G010400	evm.model.RL_2.1848
OG0000023	Om001G010360, Om001G009290	evm.model.RL_2.1843, evm.model.RL_2.1842
OG0000023	Om008G351580	evm.model.RL_8.636
OG0000023	Om008G351640, Om008G351650	evm.model.RL_8.624, evm.model.RL_8.626, evm.model.RL_8.623, evm.model.RL_8.630
OG0000023	Om001G010200	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	Om001G010250	evm.model.RL_2.1825.3.687c86e4
OG0000024	Om008G342080, Om001G017150	evm.model.RL_7.2066, evm.model.RL_8.1089
OG0000024	Om001G030080, Om007G305000	evm.model.RL_5.2480
OG0000025	Om002G073490, Om002G073430	evm.model.RL_2.872
OG0000028	Om001G022770	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	Om003G104120, Om007G318240, Om004G149360, Om007G299950, Om006G268370, Om001G035430, Om006G267550, Om004G151300, Om007G308810, Om003G104130, Om001G019310	evm.model.RL_4.1689
OG0000029	Om008G343780	evm.model.RL_8.656
OG0000029	Om005G216790	evm.model.RL_4.797
OG0000029	Om004G147450	evm.model.RL_2.306
OG0000030	Om004G152960	evm.model.RL_5.2340, evm.model.RL_6.2259
OG0000030	Om011G364950	evm.model.RL_5.2342
OG0000032	Om008G348900	evm.model.RL_1.3081
OG0000033	Om001G010240	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	Om001G011550	evm.model.RL_2.1828
OG0000033	Om001G010220	evm.model.RL_2.1847, evm.model.RL_2.1846
OG0000033	Om001G010110	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000034	Om003G107450, Om008G350440, Om004G148920, Om008G345340	evm.model.RL_5.2588
OG0000034	Om003G111610	evm.model.RL_2.4
OG0000034	Om005G219940	evm.model.RL_5.2587, evm.model.RL_2.749
OG0000034	Om006G267380	evm.model.RL_5.2586
OG0000034	Om007G303110, Om003G111210, Om003G106810, Om001G013580	evm.model.RL_2.719, evm.model.RL_6.542
OG0000034	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190	evm.model.RL_4.675
OG0000034	Om005G219960, Om002G081730	evm.model.RL_7.2041
OG0000035	Om006G273920, Om002G042810	evm.model.RL_6.1297
OG0000037	Om008G355590	evm.model.RL_1.63
OG0000037	Om005G188070	evm.model.RL_3.518
OG0000038	Om006G262290	evm.model.RL_7.1446
OG0000039	Om008G321840	evm.model.RL_3.1691
OG0000039	Om006G250590, Om002G057780	evm.model.RL_1.3015, evm.model.RL_3.1690
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	evm.model.RL_7.2097
OG0000042	Om007G298450	evm.model.RL_3.4
OG0000042	Om004G177160	evm.model.RL_6.2221
OG0000043	Om002G089060	evm.model.RL_6.636
OG0000044	Om006G265780	evm.model.RL_6.541
OG0000044	Om007G314900	evm.model.RL_3.633, evm.model.RL_7.2338
OG0000044	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660	evm.model.RL_2.659
