Orthogroup	Odontarrhena_muralis	Arabis_alpina
OG0000000	Om006G263990	Aa_G305790.h1.t1
OG0000002	Om003G106310	Aa_G973590.h1.t1, Aa_G919120.h1.t1, Aa_G523140.h1.t1, Aa_G139860.h1.t1, Aa_G544990.h1.t1
OG0000002	Om002G054700	Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1, Aa_G440660.h1.t1, Aa_G6650.h1.t1, Aa_G429320.h1.t1
OG0000002	Om007G309520, Om002G043270	Aa_G504380.h1.t1, Aa_G843080.h1.t1, Aa_G109850.h1.t1, Aa_G417360.h1.t1
OG0000002	Om003G105370, Om003G107650, Om008G342070, Om003G102030, Om004G152900	Aa_G202910.h1.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G36530.h1.t1, Aa_G272260.h2.t1, Aa_G272260.h1.t1, Aa_G571690.h1.t1
OG0000002	Om005G222520, Om004G148400, Om001G016090	Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000003	Om007G276690	Aa_G301670.h1.t1
OG0000003	Om004G155100	Aa_G169510.h1.t1
OG0000005	Om005G219680, Om008G356930, Om004G145060	Aa_G1025960.h1.t1
OG0000005	Om001G028590, Om007G295980	Aa_G122060.h1.t1
OG0000007	Om006G262590, Om005G223090, Om005G223110, Om005G223130, Om002G079350, Om007G294980, Om007G304460, Om006G253570, Om001G035080, Om001G019950, Om007G300730, Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480, Om001G019860	Aa_G60120.h1.t1
OG0000007	Om007G283730	Aa_G175710.h1.t1
OG0000010	Om008G341420	Aa_G227980.h1.t1, Aa_G162930.h1.t1, Aa_G286860.h1.t1, Aa_G7690.h1.t1, Aa_G848940.h1.t1
OG0000012	Om004G146180	Aa_G297380.h1.t1
OG0000013	Om003G108850, Om006G268640	Aa_G790.h1.t1
OG0000015	Om005G217510	Aa_G522550.h1.t1
OG0000015	Om003G105790, Om004G154560	Aa_G962140.h1.t1
OG0000015	Om007G305020	Aa_G183280.h1.t1, Aa_G533220.h1.t1, Aa_G982290.h1.t1
OG0000017	Om003G112310	Aa_G135640.h1.t1
OG0000020	Om010G364780, Om008G361310, Om002G078780	Aa_G907350.h1.t1
OG0000021	Om005G226540, Om001G020790	Aa_G505500.h1.t1
OG0000023	Om001G010360, Om001G009290	Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1
OG0000023	Om008G351620, Om008G351630	Aa_G597270.h1.t1
OG0000023	Om001G010200	Aa_G200900.h1.t1
OG0000023	Om001G011570	Aa_G191740.h1.t1
OG0000025	Om002G073490, Om002G073430	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1
OG0000025	Om003G114490, Om003G114450	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000026	Om002G080990	Aa_G387540.h1.t1
OG0000028	Om001G022770, Om007G314890	Aa_G248570.h1.t1
OG0000029	Om005G216790	Aa_G1055220.h1.t1, Aa_G1055220.h2.t1, Aa_G205300.h1.t1
OG0000029	Om005G225700, Om001G013080, Om001G020560, Om002G078670, Om007G309080, Om007G298320	Aa_G154360.h1.t1
OG0000029	Om004G147450	Aa_G302660.h1.t1
OG0000029	Om006G262550, Om004G151510	Aa_G342490.h1.t1
OG0000030	Om004G153710	Aa_G67230.h1.t1
OG0000030	Om001G018460, Om005G215420, Om004G165210	Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1
OG0000030	Om001G015000, Om006G265800	Aa_G963460.h1.t1, Aa_G338960.h1.t1
OG0000030	Om005G226380	Aa_G500830.h1.t1
OG0000031	Om006G252510	Aa_G447870.h1.t1
OG0000031	Om002G063040	Aa_G97120.h1.t1
OG0000032	Om007G313850	Aa_G631350.h1.t1
OG0000032	Om008G348890	Aa_G586180.h1.t1, Aa_G177110.h1.t1, Aa_G288650.h1.t1, Aa_G240420.h1.t1, Aa_G153590.h1.t1, Aa_G492670.h1.t1
OG0000033	Om001G010240	Aa_G619140.h1.t1, Aa_G782810.h1.t1
OG0000033	Om001G011550	Aa_G191730.h1.t1
OG0000033	Om001G007120	Aa_G58920.h1.t1
OG0000033	Om001G010220	Aa_G474070.h1.t1
OG0000033	Om001G010110	Aa_G191690.h1.t1
OG0000034	Om010G364590, Om008G356530, Om001G014760	Aa_G997690.h1.t1
OG0000035	Om007G280400, Om005G227290, Om004G176320, Om007G280390	Aa_G584300.h1.t1
OG0000035	Om006G273920, Om002G042810	Aa_G43710.h1.t1
