Orthogroup	Odontarrhena_muralis	Erysimum_linariifolium
OG0000000	Om005G215690, Om007G308190	El001G044730
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	El001G044760, El004G210980, El005G262990, El005G263050, El005G264050, El003G177780
OG0000000	Om004G155370	El003G182470
OG0000000	Om006G261490, Om004G177230, Om005G216380, Om003G113470, Om007G306250	El006G298040
OG0000000	Om006G263990	El004G209750
OG0000002	Om007G309520, Om002G043270	El002G130320
OG0000002	Om003G105370, Om003G107650, Om008G342070, Om003G102030	El006G293750
OG0000003	Om007G276690	El003G189560, El002G128770, El004G210360, El007G351530
OG0000003	Om001G015910	El003G181050
OG0000003	Om005G217800, Om004G150180, Om001G017380	El007G350820, El007G350790
OG0000004	Om008G333050	El002G127280
OG0000004	Om004G159780	El005G268230, El006G301060, El006G321800
OG0000005	Om002G083130, Om004G139040, Om005G219680, Om008G356930, Om004G145060	El001G038630
OG0000005	Om001G028590, Om007G295980	El003G166140, El001G039730
OG0000005	Om004G141520	El002G135600
OG0000005	Om007G300990	El003G186250, El001G082120
OG0000005	Om005G212800, Om006G268170, Om002G071580	El006G304740, El004G194240, El006G320990
OG0000005	Om007G299590	El001G081400
OG0000005	Om006G258880, Om005G188370, Om004G177200, Om002G082890, Om008G348310	El002G096830
OG0000005	Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510	El002G122730
OG0000005	Om007G282810	El003G167150
OG0000005	Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060	El002G104670, El006G315290, El001G049310, El004G194230
OG0000005	Om003G112530, Om008G348300	El002G120930, El007G348880
OG0000005	Om002G076060	El002G122720, El007G349440, El001G070000
OG0000005	Om008G339990	El002G135590, El005G263180
OG0000005	Om004G151870, Om002G089170, Om004G141530	El006G313170
OG0000005	Om003G110250	El003G183090
OG0000005	Om003G100620	El002G106850
OG0000005	Om006G257980	El007G348140
OG0000007	Om006G253570, Om001G035080, Om001G019950, Om007G300730	El007G349510
OG0000007	Om008G342300	El002G108270
OG0000007	Om007G297600	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	Om006G268360, Om002G076040	El002G114670
OG0000007	Om007G299920	El006G311600, El002G119880
