Orthogroup	Odontarrhena_muralis	Alyssum_gmelinii
OG0000000	Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830	Ag006G573260
OG0000000	Om005G215690, Om007G308190	Ag004G340890, Ag001G084200
OG0000000	Om003G126140, Om001G002280, Om004G151360, Om007G308180, Om008G324080, Om005G218420	Ag003G248650, Ag004G363090
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	Ag002G167150
OG0000000	Om004G155370	Ag007G637890, Ag001G032720
OG0000000	Om006G261490, Om004G177230	Ag008G692330, Ag002G155080
OG0000000	Om005G216380, Om003G113470, Om007G306250	Ag008G696910
OG0000002	Om007G309520, Om002G043270	Ag005G410720
OG0000002	Om005G222520, Om004G148400, Om001G016090	Ag005G437270, Ag005G410710
OG0000003	Om007G276690	Ag001G024370
OG0000003	Om004G173160	Ag007G617260
OG0000003	Om001G017050	Ag003G271610
OG0000003	Om008G345700	Ag001G046010
OG0000003	Om004G155100, Om007G309660, Om005G217790	Ag007G647490
OG0000004	Om008G341980	Ag004G349770
OG0000004	Om003G114900	Ag002G133140
OG0000004	Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730	Ag008G711060, Ag006G542780, Ag002G121010, Ag006G552510, Ag004G374310
OG0000004	Om007G317080, Om007G314040, Om006G243290, Om001G014830	Ag004G314450
OG0000004	Om004G154430, Om006G235390	Ag005G473260, Ag001G034430, Ag003G239450
OG0000004	Om003G099290	Ag008G684310
OG0000004	Om004G151610, Om003G106990, Om007G313270	Ag005G427550
OG0000004	Om008G320930	Ag006G503330
OG0000005	Om005G219680	Ag005G473830
OG0000005	Om008G356930, Om004G145060	Ag001G076570
OG0000005	Om002G053280, Om005G220370	Ag005G452100
OG0000005	Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900	Ag005G434290
OG0000005	Om007G299590	Ag005G414560, Ag002G110220, Ag005G402610
OG0000005	Om007G289620	Ag004G325230, Ag002G102270
OG0000005	Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760
OG0000005	Om007G282810	Ag006G527380
OG0000005	Om003G109540	Ag005G456210, Ag004G378640, Ag002G184410, Ag007G622960
OG0000005	Om005G203430	Ag003G281680, Ag006G516620, Ag002G162490
OG0000005	Om003G112530	Ag008G663850
OG0000005	Om008G348300	Ag004G399930
OG0000005	Om008G339990	Ag003G219140, Ag007G614800
OG0000005	Om005G217130	Ag004G356110
OG0000005	Om007G307980	Ag004G390840, Ag004G351220, Ag006G508910
OG0000005	Om007G309960, Om001G015550, Om009G364000	Ag001G040530
OG0000005	Om006G257980	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130
OG0000005	Om006G261840	Ag005G488800
OG0000006	Om005G227740	Ag005G455250
OG0000007	Om006G262590, Om005G223090, Om005G223110, Om005G223130, Om002G079350, Om007G294980, Om007G304460	Ag006G558310, Ag005G454430, Ag006G564860, Ag001G013150, Ag004G317600, Ag006G566160
OG0000007	Om006G253570	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070
OG0000007	Om001G035080, Om001G019950, Om007G300730	Ag005G410540
OG0000007	Om004G138310, Om002G075780, Om007G295140, Om006G263650	Ag007G600770, Ag006G520860, Ag004G322400
OG0000007	Om006G268070	Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220
OG0000007	Om001G019860	Ag003G269320
OG0000007	Om005G219310, Om006G244810, Om006G267880, Om011G365910, Om003G114390	Ag008G681210
OG0000007	Om006G268350	Ag005G466650
OG0000007	Om007G297600	Ag006G520850, Ag003G220210
OG0000007	Om005G190610, Om004G164520, Om006G258000	Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480
OG0000007	Om008G348570	Ag001G006450, Ag006G516390
OG0000007	Om002G076040	Ag004G330770, Ag002G136200, Ag001G003030
OG0000007	Om001G014950	Ag007G654560, Ag004G331620, Ag002G167090
OG0000007	Om003G094710	Ag006G551560, Ag008G700460, Ag002G133570, Ag003G295790, Ag004G355850, Ag001G076690, Ag006G507940, Ag003G272760
OG0000007	Om004G143180	Ag002G128050, Ag001G045970
OG0000007	Om005G227520	Ag004G393060, Ag004G376540
OG0000007	Om003G110160	Ag006G574510, Ag002G195530, Ag002G132070
OG0000007	Om007G308670, Om005G224350	Ag002G132800
OG0000008	Om007G308850	Ag002G148400
OG0000008	Om009G364060	Ag005G451490
OG0000008	Om004G146620	Ag007G618290, Ag001G044380, Ag008G677680, Ag004G365860
OG0000008	Om009G364160, Om009G364180	Ag001G065030, Ag001G070290
OG0000008	Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230	Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440
OG0000008	Om004G145980, Om007G313990, Om006G260180, Om002G073680	Ag002G180130, Ag003G281500
OG0000012	Om004G146180	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790
OG0000012	Om005G215090	Ag007G633420
OG0000012	Om004G153330, Om018G374000	Ag003G250910
OG0000013	Om008G346820, Om005G224220	Ag006G559810
OG0000013	Om002G088760	Ag004G396400
OG0000013	Om001G031100, Om003G113450, Om006G258780	Ag004G380450
OG0000013	Om001G020870	Ag008G708120, Ag001G014560
OG0000014	Om004G169570	Ag003G252810
OG0000015	Om008G350280	Ag008G676660
OG0000015	Om003G105790, Om004G154560	Ag008G675720
OG0000017	Om003G112310	Ag005G432180, Ag001G042370
OG0000017	Om004G148090	Ag001G058750
OG0000017	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900	Ag002G124100, Ag004G375560, Ag001G050140
OG0000018	Om008G335480, Om007G284460, Om008G361630	Ag007G609170
OG0000019	Om002G077910	Ag003G263160, Ag006G497030
OG0000019	Om006G268990	Ag007G613770, Ag002G147220, Ag003G285010
OG0000021	Om005G226540, Om001G020790	Ag008G685590
OG0000021	Om007G288300, Om001G003370	Ag008G663740
OG0000021	Om007G291430, Om002G057270	Ag002G135150
OG0000021	Om001G020780, Om001G006810, Om002G059070	Ag002G201670
OG0000023	Om001G010400, Om001G010370, Om001G010380	Ag006G545600, Ag006G549030
OG0000023	Om001G010360, Om001G009290	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	Om008G351580	Ag002G145500
OG0000023	Om008G351620, Om008G351630	Ag002G145450
OG0000023	Om001G010200	Ag006G547270
OG0000023	Om001G010350	Ag006G545440
OG0000023	Om001G010250	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000024	Om010G364470, Om004G152890	Ag005G441710
OG0000025	Om002G073490, Om002G073430	Ag003G230310
OG0000026	Om002G080990	Ag013G741580
OG0000027	Om002G070390	Ag006G546200, Ag005G439390
OG0000027	Om005G224020	Ag007G580660
OG0000028	Om003G104120, Om007G318240, Om004G149360, Om007G299950, Om006G268370, Om001G035430, Om006G267550, Om004G151300, Om007G308810, Om003G104130, Om001G019310	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	Om008G343780	Ag006G523440
OG0000029	Om005G216790	Ag002G168100, Ag004G354120
OG0000029	Om005G225700, Om001G013080	Ag002G175390
OG0000029	Om001G020560, Om002G078670, Om007G309080, Om007G298320	Ag005G441680, Ag006G519730
OG0000029	Om006G262550, Om004G151510	Ag002G186330, Ag006G491400
OG0000029	Om007G298330	Ag003G258710
OG0000030	Om020G374410, Om004G155320	Ag008G659630, Ag006G491030
OG0000030	Om004G152960	Ag004G349980, Ag003G277490
OG0000030	Om001G005680	Ag002G201000, Ag003G292120
OG0000030	Om011G364950, Om004G165220	Ag007G611240
OG0000030	Om005G215420	Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430
OG0000030	Om004G165210	Ag004G380470
OG0000030	Om001G015000	Ag004G398140
OG0000030	Om006G265800	Ag003G263120
OG0000030	Om005G226380	Ag001G021090, Ag003G292130, Ag005G430740, Ag003G292140
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	Om007G317990	Ag002G111150, Ag002G107580
OG0000033	Om001G010240	Ag006G547230, Ag006G549390
OG0000033	Om001G010210	Ag006G547260, Ag006G549410
OG0000033	Om001G010160, Om001G021690	Ag006G549590, Ag006G547470
OG0000033	Om001G010190, Om001G010170, Om001G010150	Ag006G547300, Ag006G549510, Ag006G549470, Ag006G549530
OG0000033	Om001G011550	Ag006G543630, Ag006G543880
OG0000033	Om001G007120	Ag006G564890, Ag003G210460
OG0000033	Om001G010220	Ag006G547250, Ag006G549400
OG0000033	Om001G010110	Ag006G547380, Ag006G549570
OG0000034	Om006G264160	Ag004G372350
OG0000034	Om003G107450	Ag007G621770, Ag002G147590, Ag004G329060, Ag002G126640, Ag006G537230, Ag001G041740, Ag004G365370, Ag004G364780
OG0000034	Om008G350440, Om004G148920	Ag005G434950
OG0000034	Om003G111610	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870
OG0000034	Om007G308590	Ag007G644830
OG0000034	Om008G343530	Ag007G637970
OG0000034	Om001G019560	Ag007G610710, Ag002G120190
OG0000034	Om008G349540	Ag004G354480
OG0000034	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190	Ag008G692130, Ag002G161700
OG0000034	Om005G219960, Om002G081730	Ag005G441910
