Orthogroup	Odontarrhena_muralis	Cardamine_glauca
OG0000000	Om007G305590	Cg004G132730, Cg008G288880
OG0000000	Om004G142780, Om003G104870, Om003G105610	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390, Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590
OG0000000	Om006G263990	Cg005G186000
OG0000002	Om002G054700	Cg005G163330
OG0000003	Om007G276690	Cg006G209840
OG0000003	Om008G354600	Cg001G036970
OG0000003	Om005G217790	Cg005G182650
OG0000004	Om003G114900	Cg001G033800
OG0000004	Om008G333050	Cg004G154080
OG0000004	Om004G159780	Cg007G260170
OG0000005	Om004G139040	Cg007G268560
OG0000005	Om006G258880	Cg001G022240
OG0000005	Om002G076060	Cg003G087270
OG0000005	Om005G217130, Om007G307980, Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940, Om007G309960, Om001G015550, Om009G364000, Om003G110250, Om003G100620, Om006G257980, Om005G226590, Om008G346020	Cg006G213190
OG0000007	Om006G253570, Om001G035080, Om001G019950, Om007G300730	Cg003G103180
OG0000007	Om006G268350, Om007G297600, Om005G190610, Om004G164520, Om006G258000	Cg002G061850
OG0000008	Om007G308850	Cg002G071170
OG0000008	Om001G020680	Cg007G263310
OG0000010	Om008G341420	Cg001G010610
OG0000012	Om004G146180	Cg003G089470, Cg006G226210
OG0000012	Om005G215090	Cg007G260780
OG0000013	Om002G088760, Om001G031100, Om003G113450, Om006G258780	Cg007G257070, Cg005G184830
OG0000014	Om007G309000	Cg007G266660
OG0000015	Om003G098660	Cg004G140320
OG0000015	Om003G105790, Om004G154560	Cg007G254560, Cg001G025880
OG0000017	Om003G112310, Om004G148090	Cg004G142150
OG0000018	Om008G335480, Om007G284460, Om008G361630	Cg003G095700, Cg006G204250, Cg003G087690, Cg003G087660, Cg003G089030, Cg003G095110
OG0000019	Om005G222770	Cg008G308170
OG0000019	Om003G104700	Cg005G182050
OG0000021	Om005G226540, Om001G020790	Cg006G208570
OG0000021	Om001G038730	Cg003G100100
OG0000021	Om008G331340	Cg003G084910
OG0000021	Om007G291430, Om002G057270	Cg003G103950
OG0000021	Om001G020780, Om001G006810, Om002G059070	Cg003G080250
OG0000023	Om001G010400	Cg001G017560
OG0000023	Om001G010360, Om001G009290	Cg003G082360, Cg001G017610, Cg001G017600
OG0000023	Om008G351580	Cg003G082320
OG0000023	Om008G351620, Om008G351630	Cg003G082240
OG0000023	Om001G010200	Cg001G017750
OG0000023	Om001G010250	Cg001G017690
OG0000025	Om002G073490, Om002G073430	Cg003G106740
OG0000026	Om002G080990	Cg005G183380
OG0000027	Om002G070390	Cg001G041530
OG0000027	Om005G224020	Cg007G250820
OG0000028	Om001G022770	Cg001G041970
OG0000029	Om006G261190	Cg003G107860
OG0000029	Om008G343780	Cg007G253930
OG0000029	Om007G298330	Cg006G212710
OG0000030	Om004G152960	Cg008G322770
OG0000030	Om004G165220	Cg007G253140
OG0000030	Om005G226380	Cg005G188990
OG0000031	Om007G317990	Cg001G042060
OG0000031	Om002G063040	Cg004G133170
OG0000033	Om001G010240	Cg001G017700
OG0000033	Om001G010210	Cg001G017740, Cg001G017730
OG0000033	Om001G011550	Cg001G017780
OG0000033	Om001G007120	Cg001G019630
OG0000033	Om001G010110	Cg001G017790
OG0000034	Om010G364590, Om008G356530, Om001G014760	Cg005G182400
OG0000034	Om003G107450	Cg002G066600
OG0000036	Om005G184480	Cg004G147460, Cg007G255830, Cg004G147450, Cg007G253380, Cg004G140700, Cg006G210150
OG0000036	Om007G312960	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000038	Om005G196570, Om004G131590	Cg008G285210, Cg008G285280, Cg005G159520
OG0000038	Om006G262290	Cg002G057430
OG0000038	Om001G029210	Cg001G007650
OG0000039	Om008G321840	Cg004G126960, Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	Cg006G217350, Cg001G030090
OG0000040	Om002G067320	Cg004G136640
OG0000042	Om007G298450	Cg006G198550, Cg003G083590
OG0000042	Om004G177160	Cg005G183270, Cg003G113100, Cg008G310640, Cg008G309000
OG0000044	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660	Cg003G096230
OG0000045	Om003G112290, Om002G088970, Om006G255110	Cg003G091810
OG0000045	Om001G031280	Cg002G064420
OG0000046	Om006G241220	Cg003G097180
OG0000046	Om001G001860	Cg001G022610
OG0000046	Om006G253990	Cg001G037990
OG0000046	Om005G206750	Cg007G266760
OG0000047	Om007G314310, Om002G071890, Om005G222620	Cg006G206340
OG0000052	Om005G179650, Om008G361390, Om005G180640	Cg006G242960
OG0000052	Om008G354070, Om008G326640	Cg005G163550
OG0000052	Om008G326650	Cg005G173390, Cg013G330370
OG0000052	Om008G326590	Cg005G163540
OG0000052	Om008G326580	Cg005G187360
OG0000054	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290, Om001G013850	Cg005G189800, Cg005G189790
OG0000055	Om005G224080	Cg007G248410
OG0000055	Om001G019570, Om001G031910	Cg006G223020
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	Cg007G248540, Cg007G248530
OG0000056	Om008G340700, Om005G220800, Om001G027140	Cg007G265440, Cg006G204190
OG0000056	Om005G209160, Om002G073230, Om001G006930, Om005G212260	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290
OG0000058	Om006G269070, Om006G268950, Om004G151670	Cg007G261210
OG0000058	Om007G299580, Om006G274770, Om007G313880, Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940, Om004G141540	Cg005G189250
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	Cg006G215030, Cg003G077990
OG0000061	Om006G238480	Cg003G083990, Cg008G318200
OG0000061	Om001G020570, Om005G225030, Om004G146510, Om001G027660	Cg007G263690, Cg007G267630
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320	Cg007G260660, Cg005G180090
OG0000063	Om006G254290	Cg005G178340
OG0000063	Om006G245470	Cg006G238240
OG0000063	Om006G245820	Cg003G107650
OG0000064	Om001G041080	Cg001G000750
OG0000064	Om004G157800	Cg008G325030
OG0000065	Om005G217710	Cg001G020190
OG0000066	Om004G164550	Cg007G276160, Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880
OG0000066	Om008G337830, Om006G231860	Cg008G290840
OG0000066	Om004G165570	Cg003G113360
OG0000067	Om001G023220	Cg004G154470
OG0000070	Om007G311790	Cg002G063700
OG0000070	Om008G343830, Om005G215790	Cg005G186370
OG0000071	Om001G016290, Om004G163830	Cg005G184980
OG0000071	Om008G360280, Om004G166900	Cg007G264730, Cg003G105600, Cg006G240460
OG0000071	Om001G039370	Cg008G307480, Cg003G105610
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	Cg008G307960, Cg001G029810, Cg001G029820, Cg008G307970
OG0000073	Om002G052330	Cg008G302430
OG0000074	Om004G144350	Cg006G222160
OG0000074	Om004G144100	Cg006G222230, Cg006G222200, Cg006G222240, Cg006G222220
OG0000074	Om004G144220, Om004G144230	Cg006G222190
OG0000074	Om004G143840	Cg006G222350
OG0000075	Om005G191180	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300
OG0000075	Om005G194550	Cg008G323300
OG0000075	Om008G342390, Om001G025890, Om001G025920	Cg006G218700
OG0000076	Om006G242520	Cg007G272900
OG0000076	Om003G090370	Cg002G071650
OG0000077	Om001G039420	Cg004G151030
OG0000077	Om005G191300	Cg005G160440
OG0000079	Om003G122890, Om003G122910, Om003G122930, Om003G122940, Om003G123020	Cg002G047470
OG0000079	Om003G122800, Om003G122790	Cg005G185620
OG0000079	Om003G122880, Om003G122870	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	Om004G135430	Cg005G158270
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	Cg004G150150, Cg005G177050, Cg005G176650, Cg005G177060
OG0000081	Om003G096460	Cg006G198910
OG0000082	Om007G305200, Om007G305330	Cg003G082510, Cg003G083500
OG0000083	Om005G206370	Cg005G178780
OG0000087	Om006G238380	Cg008G303510
OG0000087	Om007G282390	Cg005G177380
OG0000087	Om006G235110	Cg003G110470
OG0000087	Om004G162490	Cg008G292710
OG0000087	Om008G339690	Cg005G171830
OG0000087	Om008G355890	Cg008G320640
OG0000087	Om001G006430	Cg001G020160
OG0000087	Om004G137360	Cg007G276340
OG0000088	Om003G119630	Cg005G181240, Cg002G059450, Cg002G059900, Cg002G059930, Cg002G059530
OG0000088	Om006G242180	Cg001G039390, Cg008G300920
OG0000089	Om004G166350	Cg008G290150
OG0000089	Om002G065930	Cg004G135460
OG0000089	Om002G055730	Cg004G127880
OG0000089	Om006G254270, Om008G335280	Cg005G168860
OG0000090	Om005G202290, Om005G179690	Cg006G225800
OG0000090	Om004G136810	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	Om003G098630, Om003G099040	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850
OG0000090	Om002G055690, Om003G124430	Cg001G005770
OG0000090	Om006G274160	Cg002G074060
OG0000093	Om003G122050	Cg002G047960
OG0000093	Om003G122010	Cg002G047970
OG0000093	Om003G121950	Cg002G048030
OG0000093	Om003G121760	Cg002G048080
OG0000093	Om003G121730, Om003G121770, Om003G121750	Cg002G048040
OG0000096	Om007G301150, Om003G093070, Om006G274060	Cg002G073910, Cg002G073940, Cg002G073930
OG0000096	Om004G143550, Om008G360980	Cg003G082280
OG0000096	Om005G187930	Cg006G236390
OG0000097	Om008G355550, Om008G355560	Cg003G079780, Cg003G094240
OG0000097	Om008G355570	Cg003G079770, Cg003G094250
OG0000097	Om008G355700	Cg003G079730, Cg003G094300
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	Cg003G094290, Cg003G079740
OG0000099	Om005G227480	Cg007G246280, Cg007G246260, Cg007G246270
OG0000099	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970, Om005G227260, Om003G118970, Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320, Om005G227550, Om005G227510	Cg007G249510
OG0000100	Om007G304610	Cg008G316000
OG0000104	Om005G185360	Cg006G238510
OG0000104	Om007G283030	Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930
OG0000104	Om007G283020	Cg005G177920
OG0000104	Om003G095420	Cg006G200560
OG0000104	Om002G069400	Cg004G138340
OG0000104	Om003G095350	Cg006G197960, Cg006G197910
OG0000104	Om007G283060	Cg005G178070
OG0000104	Om007G283040	Cg005G177950, Cg005G177970
OG0000107	Om002G067730	Cg005G182320
OG0000108	Om003G100270, Om003G100260	Cg008G306430
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	Cg004G146470
OG0000108	Om006G273840, Om006G273820	Cg007G245680, Cg007G245670
OG0000109	Om007G296220	Cg008G318050
OG0000109	Om007G303510	Cg004G150880, Cg006G210870, Cg005G180720, Cg006G218300, Cg006G206180
OG0000110	Om003G123410	Cg002G047270
OG0000110	Om003G123400	Cg002G047280
OG0000113	Om005G227040, Om005G227030	Cg007G253910
OG0000117	Om002G088690	Cg006G208080
OG0000117	Om001G014560	Cg007G257800
OG0000119	Om004G164230, Om005G214120, Om005G222850	Cg003G096910, Cg005G178360
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680
OG0000120	Om005G221860	Cg007G250010, Cg007G249930
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	Om007G296760, Om007G296900, Om004G172660	Cg008G285500
OG0000123	Om005G193630	Cg001G014410
OG0000123	Om005G193640	Cg006G232300
OG0000124	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130	Cg008G309160
OG0000124	Om008G318760, Om007G317440	Cg002G063920, Cg003G086460
OG0000125	Om006G254380	Cg002G052860
OG0000125	Om002G052080	Cg008G283340
OG0000125	Om006G244360	Cg008G302630
OG0000125	Om005G185630	Cg006G238270
OG0000125	Om006G245540	Cg003G107610
OG0000125	Om007G283300	Cg005G178390
OG0000126	Om006G262390	Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	Om004G176300, Om004G176290	Cg008G282750
OG0000127	Om004G176280	Cg007G262300, Cg007G263860
OG0000127	Om005G189950, Om005G189960	Cg007G262280
OG0000128	Om005G217280	Cg001G020220
OG0000131	Om003G106820	Cg002G057540
OG0000132	Om008G361300	Cg008G321270
OG0000133	Om008G358290, Om008G345600, Om001G024110, Om007G315880	Cg007G269340
OG0000135	Om002G054930, Om005G226530	Cg004G138210
OG0000137	Om002G072120, Om006G268330, Om006G262830	Cg001G031800
OG0000138	Om001G026370	Cg002G067580, Cg002G067290
OG0000139	Om003G107910, Om003G108000	Cg005G182990
OG0000140	Om006G246590	Cg003G106820
OG0000140	Om006G247230, Om006G247200	Cg003G106450
OG0000140	Om006G246640	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	Om007G282660	Cg005G177630
OG0000144	Om002G077770, Om003G104710, Om008G351670, Om002G077760, Om005G218980, Om001G015950, Om001G019450, Om022G374950, Om007G317180	Cg005G182040
OG0000145	Om003G116800	Cg008G324160, Cg008G308910, Cg001G039950, Cg003G096580, Cg001G035820
OG0000146	Om003G117410	Cg003G102630
OG0000146	Om003G117350	Cg003G102600
OG0000146	Om003G097230	Cg003G098470, Cg003G098480
OG0000146	Om003G117400, Om003G117360	Cg003G102620
OG0000147	Om002G086500	Cg004G155250
OG0000147	Om001G025660	Cg001G010340
OG0000147	Om007G285990, Om006G249440	Cg003G104960
OG0000147	Om004G130850	Cg007G280860
OG0000147	Om003G106450	Cg001G032760
OG0000147	Om002G078960	Cg004G146670
OG0000149	Om006G245840	Cg003G107330, Cg003G107340
OG0000149	Om007G317470	Cg001G028530
OG0000149	Om006G256850	Cg003G082350, Cg003G107280
OG0000150	Om007G296930	Cg002G064460
OG0000150	Om001G010460	Cg002G061890
OG0000151	Om003G114720	Cg003G100170
OG0000151	Om001G021860	Cg001G012710
OG0000151	Om002G051120	Cg004G124340
OG0000151	Om002G082850	Cg004G152640
OG0000151	Om003G118410	Cg003G103430
OG0000151	Om005G227900	Cg007G246070
OG0000154	Om005G196960	Cg006G229860
OG0000154	Om002G056330	Cg004G128290
OG0000154	Om004G175620	Cg008G283240
OG0000154	Om004G175630	Cg008G283230
OG0000155	Om001G020030	Cg001G013440
OG0000155	Om001G007090	Cg001G019660
OG0000155	Om001G007100	Cg001G019650
OG0000155	Om002G055620	Cg004G127780
OG0000156	Om008G321950, Om008G321940	Cg005G160250
