Orthogroup	Odontarrhena_muralis	Brassica_rapa
OG0000000	Om007G305590	XP_033129333.1, XP_033131490.1, XP_033142309.1, XP_033130947.1
OG0000000	Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830	XP_033139509.1, XP_033139502.1, XP_033139347.1
OG0000000	Om005G215690, Om007G308190	XP_033139403.1, XP_033134206.1, XP_033139196.1, XP_033129935.1, XP_033134263.1, XP_033133987.1, XP_033142456.1, XP_033145865.1
OG0000000	Om004G142780, Om003G104870, Om003G105610	XP_033146645.1
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	XP_033140624.1, XP_033129388.1, XP_033130766.1
OG0000000	Om004G154060, Om009G363570, Om004G177240, Om006G269410	XP_033147168.1, XP_033136031.1, XP_033137222.1, XP_033132105.1
OG0000000	Om004G155370	XP_033129977.1, XP_033146608.1, XP_033129968.1, XP_033131705.1
OG0000002	Om004G152900	XP_018511523.1, XP_033140595.1, XP_033148513.1
OG0000003	Om007G276690	XP_033147287.1, XP_018514447.1, XP_033148793.1, XP_033144892.1, XP_018511976.2, XP_009106784.1, XP_033148226.1, XP_033147058.1
OG0000003	Om007G309690	XP_033138884.1, XP_033144133.1, XP_033138943.1, XP_033138945.1
OG0000003	Om005G217790	XP_033138944.1, XP_033139394.1, XP_033139482.1, XP_033139545.1, XP_033139261.1
OG0000004	Om008G333050	XP_009124577.2
OG0000004	Om004G159780	XP_009103531.2, XP_009114092.1, XP_033147264.1, XP_033130352.1, XP_033142720.1, XP_033134838.1, XP_033142250.1, XP_033131796.1, XP_033131803.1, XP_033131795.1, XP_033135014.1, XP_009128743.2, XP_033139943.1, XP_009128114.2, XP_009140640.1, XP_033144114.1, XP_033134243.1, XP_033138224.1, XP_033133402.1, XP_033131337.1, XP_033148515.1, XP_033138739.1, XP_033143353.1, XP_033148733.1, XP_033132135.1, XP_033131005.1, XP_033139405.1, XP_033143342.1, XP_033132082.1, XP_033136774.1, XP_033141150.1, XP_033133908.1, XP_033139542.1, XP_033134325.1, XP_033135924.1, XP_033134352.1, XP_033141135.1, XP_033131653.1, XP_033143400.1, XP_033132141.1, XP_033143430.1
OG0000005	Om007G300980, Om001G001060, Om006G273080	XP_009109961.2, XP_009139324.1, XP_033148561.1
OG0000005	Om007G300990, Om008G339980	XP_033128715.1
OG0000005	Om005G212800, Om006G268170, Om002G071580, Om007G299590, Om007G289620	XP_018515150.1
OG0000005	Om007G282810	XP_033141077.1, XP_009142536.1, XP_009111228.2
OG0000007	Om007G297600	XP_033132438.1, XP_033128765.1, XP_033146952.1, XP_009108636.2
OG0000007	Om006G268360, Om002G076040	XP_009103419.1
OG0000007	Om007G308670, Om005G224350	XP_033129351.1, XP_009117187.1
OG0000008	Om007G284450, Om008G361640, Om007G313430	XP_033145226.1, XP_018513989.2, XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_033129879.1, XP_033140569.1, XP_033140184.1
OG0000008	Om001G020680	XP_033131033.1, XP_033139686.1, XP_033140769.1, XP_033133054.1, XP_033128088.1
OG0000008	Om009G364160, Om009G364180	XP_033143622.1
OG0000008	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880	XP_033147955.1, XP_033146635.1
OG0000010	Om008G341420	XP_033143861.1, XP_033137204.1
OG0000011	Om005G184900	XP_033131837.1, XP_009150017.2
OG0000012	Om002G076390	XP_033134299.1
OG0000012	Om004G153330, Om018G374000	XP_009139567.2
OG0000012	Om007G307770	XP_033139271.1, XP_033139160.1
OG0000013	Om002G089030	XP_033138760.1, XP_009124167.1, XP_033134220.1, XP_033148484.1, XP_033131813.1, XP_009123338.2, XP_033131808.1, XP_033133991.1, XP_033131108.1, XP_033129945.1, XP_033143385.1, XP_033139571.1, XP_033143261.1, XP_033139051.1, XP_033134223.1, XP_033146993.1, XP_033147620.1, XP_009123559.2, XP_033129441.1
OG0000015	Om008G350280	XP_033136397.1, XP_033137014.1, XP_033138269.1, XP_009113103.2
OG0000015	Om003G098660	XP_018509062.1, XP_009118914.1
OG0000015	Om003G105790, Om004G154560	XP_033130405.1
OG0000015	Om006G270800	XP_009107707.1
OG0000015	Om002G088840	XP_033148829.1, XP_033148475.1
OG0000018	Om008G335480, Om007G284460, Om008G361630	XP_033143299.1, XP_009113298.1, XP_033129326.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033135948.1, XP_033145970.1, XP_033141768.1, XP_033139918.1, XP_033128905.1, XP_033131029.1, XP_033129353.1, XP_033148520.1, XP_033129522.1, XP_033141116.1, XP_033129361.1, XP_009119482.2, XP_018513563.2, XP_033131843.1, XP_033141097.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033136202.1, XP_033146808.1, XP_009124449.2
OG0000020	Om007G308530, Om007G308500	XP_033134048.1
OG0000020	Om010G364780, Om008G361310	XP_033134461.1
OG0000020	Om008G361920	XP_033142724.1, XP_033143202.1
OG0000021	Om005G226540, Om001G020790	XP_033145314.1, XP_033133938.1, XP_009145336.1
OG0000021	Om001G038730	XP_009106506.2
OG0000021	Om001G020780, Om001G006810, Om002G059070	XP_009119509.1, XP_009113517.1, XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1, XP_033146253.1
OG0000023	Om001G010400	XP_009136778.1, XP_009136797.2
OG0000023	Om001G010360, Om001G009290	XP_033132923.1, XP_009139620.1, XP_009137326.1, XP_009137327.1, XP_009108600.1
OG0000023	Om008G351580	XP_033142038.1
OG0000023	Om008G351620, Om008G351630	XP_009108162.1
OG0000023	Om008G351640, Om008G351650	XP_009108168.1
OG0000023	Om001G010350	XP_009137325.1
OG0000023	Om001G010250	XP_009108593.2, XP_033132924.1, XP_033143803.1, XP_009136374.2, XP_009114807.1, XP_009137330.1
OG0000028	Om001G022770, Om007G314890	XP_009119478.1
OG0000028	Om003G104120	XP_009105534.2, XP_033129358.1, XP_009106480.1, XP_009102786.1, XP_009111952.1, XP_009118510.1
OG0000028	Om007G318240	XP_033138230.1, XP_033138123.1, XP_033128758.1
OG0000029	Om005G216790	XP_033135931.1
OG0000029	Om004G147450	XP_033130775.1
OG0000030	Om011G364950, Om004G165220	XP_033148072.1
OG0000030	Om001G038800, Om006G253510, Om004G148440, Om006G271430, Om006G263330	XP_033145843.1
OG0000030	Om004G165210	XP_009120611.1
OG0000030	Om005G226380	XP_009108258.2
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	XP_033134453.1
OG0000031	Om006G252510	XP_009121467.1
OG0000031	Om007G317990	XP_009140073.1
OG0000031	Om002G063040	XP_009114567.1
OG0000031	Om001G018890	XP_009142868.1
OG0000032	Om008G348890	XP_033145294.1
OG0000033	Om001G010240	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1
OG0000033	Om001G011550	XP_033135404.1, XP_009137324.1
OG0000033	Om001G007120	XP_009137188.1, XP_009134716.1
OG0000033	Om001G010110	XP_009137317.1, XP_009108599.1
OG0000034	Om003G107450	XP_033143708.1, XP_033133157.1
OG0000034	Om008G350440, Om004G148920	XP_009145453.2, XP_033138396.1
OG0000034	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190	XP_033139273.1, XP_033139162.1
OG0000034	Om002G079430	XP_033130130.1
OG0000034	Om002G074540, Om005G222580, Om009G363250, Om008G344620	XP_033146625.1, XP_033146692.1, XP_033139028.1
