"legend"	"Aethionema_saxatile"	"Alyssum_gmelinii"	"Arabidopsis_arenosa"	"Arabidopsis_lyrata_NCBI"	"Arabidopsis_lyrata_Rawat"	"Arabis_alpina"	"Brassica_napus"	"Brassica_oleracea"	"Brassica_rapa"	"Camelina_sativa"	"Capsella_rubella"	"Cardamine_amara"	"Cardamine_glauca"	"Cardamine_hirsuta"	"Cochlearia_excelsa"	"Conringia_planisiliqua"	"Erysimum_linariifolium"	"Euclidium_syriacum"	"Eutrema_salsugineum"	"Noccaea_praecox"	"Odontarrhena_muralis"	"Raphanus_sativus"
"A: OrthoFinder orthologues"	19191	22518	24343	25082	24215	20795	61897	30763	30364	64195	23061	20734	21391	22788	21750	19688	23161	21332	21035	21419	20924	35769
"B: BLAST Reciprocal Best Hits"	13501	15873	21330	22709	21556	16650	17632	17103	17034	20817	20115	17949	18645	18697	14644	16575	10892	15686	18064	9603	16305	6787
"A + B"	19709	23173	24669	25349	24513	21570	62970	31696	31300	64688	23362	21179	21801	23271	22593	20373	23359	21678	21722	21793	21532	36190
"C: Shared N0 hierarchical orthogroups"	19182	24032	26549	26786	26346	22240	68177	33844	33211	69183	24556	21798	22457	24685	24058	20752	24880	21127	22666	22777	22141	39394
"A + B + C"	20292	24890	26753	26903	26496	22934	69730	34652	34026	69660	24715	22187	22789	25125	24892	21447	25111	22104	23210	23304	22825	40197
"D: Shared Orthogroups"	20863	26316	27660	27516	27312	23872	73283	36319	35481	71654	25309	22872	23403	26189	26081	22479	26063	24300	24164	24403	23888	42162
"A + B + C + D"	20876	26326	27717	27542	27336	23908	73364	36340	35525	71741	25320	22887	23408	26214	26195	22498	26069	24327	24173	24407	23896	42176
"E: BLAST hits (pident > 40, qcovhsp > 50)"	21063	28339	28224	27993	27943	25798	77391	38059	36808	76397	25211	23384	23624	28200	28375	22974	27082	25208	23729	25387	24578	44795
"A + B + C + D + E"	21719	29355	29512	28567	29248	26819	81046	39765	38164	78372	25786	24026	24078	28634	30826	24076	27778	26341	24782	26334	25557	46349
"Genes with multiple orthologues/homologues"	2336	3742	2636	2114	2222	2956	8542	3883	3861	6199	2207	1802	2009	3088	2835	2183	2594	3606	2412	2596	2861	5070
"Genes without orthologues/homologues"	749	1848	1878	878	2045	2294	7945	3672	2638	3345	488	939	445	470	12583	2903	1201	2073	1793	1608	1875	2837
