	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
Aethionema_saxatile	0.0	18613.0	19202.0	19399.0	19257.0	19191.0	18390.0	19544.0	19170.0	19103.0	19589.0	19145.0	18669.0	18850.0	19220.0	18253.0	18159.0	19404.0	19244.0	19150.0	19089.0	19045.0	19154.0
Alyssum_gmelinii	20598.0	0.0	22929.0	23177.0	23145.0	22518.0	21775.0	23567.0	22817.0	22628.0	23787.0	22531.0	21618.0	22132.0	22726.0	21063.0	20913.0	22928.0	23457.0	22531.0	22873.0	25175.0	22962.0
Arabidopsis_arenosa	19934.0	21146.0	0.0	25688.0	26227.0	24343.0	20684.0	22565.0	21856.0	21754.0	24896.0	23487.0	21593.0	21869.0	23075.0	20501.0	20431.0	23703.0	23004.0	22012.0	21969.0	21443.0	21852.0
Arabidopsis_lyrata_NCBI	20111.0	21150.0	25375.0	0.0	27082.0	25082.0	20736.0	22794.0	22078.0	22128.0	25201.0	23986.0	21716.0	22062.0	23244.0	20267.0	20344.0	23347.0	22470.0	22278.0	21839.0	21268.0	22232.0
Arabidopsis_lyrata_Rawat	20169.0	21276.0	26088.0	27235.0	0.0	24215.0	20882.0	22779.0	22128.0	22040.0	24985.0	23664.0	21855.0	22043.0	23250.0	20589.0	20445.0	23656.0	22916.0	22164.0	22085.0	21491.0	22189.0
Arabidopsis_thaliana	19443.0	20182.0	23383.0	24425.0	23467.0	0.0	19887.0	21719.0	21085.0	21164.0	23677.0	22950.0	20593.0	21070.0	22360.0	19440.0	19454.0	22202.0	21424.0	21317.0	20781.0	20337.0	21208.0
Arabis_alpina	19443.0	20664.0	21010.0	21093.0	21131.0	20795.0	0.0	21354.0	20920.0	20640.0	21814.0	20571.0	19980.0	20251.0	21017.0	19533.0	19463.0	20857.0	21358.0	20599.0	20822.0	20588.0	20800.0
Brassica_napus	57234.0	59741.0	61915.0	63641.0	63490.0	61897.0	58386.0	0.0	73402.0	72236.0	65781.0	62482.0	59506.0	60409.0	62077.0	58885.0	58909.0	62789.0	64689.0	64019.0	62659.0	60942.0	71773.0
Brassica_oleracea	28537.0	29772.0	30789.0	31474.0	31524.0	30763.0	29283.0	40558.0	0.0	34777.0	32795.0	31072.0	29714.0	30072.0	30854.0	29501.0	29461.0	31322.0	32407.0	31962.0	31157.0	30202.0	35520.0
Brassica_rapa	28058.0	29137.0	30274.0	31151.0	30842.0	30364.0	28529.0	38929.0	34275.0	0.0	31848.0	30711.0	29070.0	29470.0	30353.0	28480.0	28711.0	30514.0	31430.0	31151.0	30410.0	29505.0	34493.0
Camelina_sativa	55321.0	57771.0	64020.0	65914.0	64922.0	64195.0	56529.0	62679.0	61070.0	60698.0	0.0	66416.0	59042.0	59913.0	62185.0	55856.0	55835.0	63153.0	61622.0	60796.0	59608.0	58122.0	61173.0
Capsella_rubella	19356.0	20238.0	22792.0	23447.0	22949.0	23061.0	19826.0	21876.0	21244.0	21349.0	24575.0	0.0	20710.0	21104.0	21981.0	19407.0	19491.0	22259.0	21462.0	21395.0	20849.0	20421.0	21363.0
Cardamine_amara	18778.0	19358.0	20864.0	21193.0	21107.0	20734.0	19284.0	20658.0	20258.0	20088.0	21572.0	20672.0	0.0	20856.0	21664.0	18999.0	18952.0	20986.0	20758.0	20219.0	20156.0	19661.0	20161.0
Cardamine_glauca	19208.0	19893.0	21382.0	21846.0	21566.0	21391.0	19521.0	21035.0	20619.0	20541.0	21998.0	21351.0	21214.0	0.0	22062.0	19191.0	19253.0	21505.0	20810.0	20562.0	20606.0	20038.0	20505.0
Cardamine_hirsuta	20051.0	20869.0	22705.0	23079.0	22843.0	22788.0	20670.0	22429.0	21687.0	21599.0	23515.0	22315.0	21985.0	22065.0	0.0	20114.0	20172.0	22341.0	22395.0	21546.0	21475.0	20780.0	21844.0
Cochlearia_excelsa	21399.0	21800.0	23504.0	22570.0	24008.0	21750.0	21387.0	25001.0	24091.0	22889.0	24820.0	22346.0	22287.0	21752.0	22077.0	0.0	21889.0	22881.0	24686.0	22973.0	22994.0	23103.0	22927.0
Conringia_planisiliqua	18410.0	19132.0	20199.0	20141.0	20142.0	19688.0	18727.0	21446.0	20844.0	20673.0	20630.0	19722.0	19161.0	19093.0	19892.0	19107.0	0.0	20271.0	21494.0	20268.0	20271.0	19604.0	20745.0
Erysimum_linariifolium	20308.0	21279.0	23970.0	23795.0	23990.0	23161.0	20885.0	22576.0	22073.0	21869.0	24389.0	23233.0	21802.0	22102.0	22884.0	20429.0	20573.0	0.0	22868.0	21978.0	22256.0	21638.0	21986.0
Euclidium_syriacum	19219.0	20616.0	21723.0	21616.0	21688.0	21332.0	20160.0	21859.0	21326.0	21205.0	22167.0	21190.0	20474.0	20435.0	21469.0	19863.0	20856.0	21679.0	0.0	20975.0	21142.0	20773.0	21300.0
Eutrema_salsugineum	19073.0	20052.0	21174.0	21776.0	21280.0	21035.0	19743.0	22521.0	21982.0	21886.0	22284.0	21407.0	20217.0	20244.0	20812.0	19831.0	20175.0	21043.0	21282.0	0.0	21397.0	20360.0	21765.0
Noccaea_praecox	19619.0	20832.0	21942.0	21879.0	21975.0	21419.0	20443.0	22609.0	22027.0	21797.0	22430.0	21428.0	20736.0	20926.0	21411.0	20250.0	20632.0	22018.0	22017.0	21835.0	0.0	21074.0	21858.0
Odontarrhena_muralis	19584.0	22695.0	21169.0	21377.0	21415.0	20924.0	20424.0	21732.0	21220.0	20999.0	21836.0	20890.0	20146.0	20385.0	21040.0	19789.0	19790.0	21565.0	21730.0	21000.0	21284.0	0.0	21208.0
Raphanus_sativus	32943.0	34660.0	35602.0	36705.0	36331.0	35769.0	33857.0	43251.0	40401.0	39913.0	37745.0	36164.0	34204.0	34832.0	35815.0	33779.0	33947.0	35976.0	37376.0	36809.0	36034.0	35030.0	0.0
